Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,890.8075000000001,904.6495000000001,875.9295,887.256,71.9495
2,February,2021,995.975,1016.7639999999999,981.3174999999999,999.8860000000001,69.55850000000001
3,March,2021,967.5866666666667,979.412380952381,953.0090476190476,964.9828571428571,38.214285714285715
4,April,2021,976.8394736842106,998.9900000000001,966.642105263158,986.4568421052631,61.834210526315786
5,May,2021,1126.3415,1142.3075000000001,1113.5365,1127.9215,34.5575
6,June,2021,1194.8372727272726,1210.9631818181817,1181.7154545454543,1197.31,30.62181818181818
7,July,2021,1277.3138095238096,1301.7266666666667,1266.2585714285715,1288.4652380952382,34.65809523809524
8,August,2021,1484.6580952380953,1510.7619047619048,1467.8095238095239,1493.462380952381,38.07380952380952
9,September,2021,1717.3376190476192,1742.1171428571429,1694.582857142857,1715.5080952380952,30.795714285714286
10,October,2021,1815.4450000000002,1840.1979999999999,1780.2125,1804.5275000000001,30.869999999999997
11,November,2021,1768.812,1793.1259999999997,1738.0435000000002,1763.563,24.8065
12,December,2021,1672.9634782608698,1689.6908695652173,1645.6408695652174,1665.7060869565216,24.151304347826088
1,January,2022,1716.6915000000001,1742.1329999999998,1686.7915,1712.5819999999999,32.1645
2,February,2022,1599.2925,1626.1295,1574.9360000000001,1603.3785,30.97
3,March,2022,1589.7319047619048,1612.1228571428571,1563.482380952381,1589.9914285714285,30.60809523809524
4,April,2022,1610.0284210526315,1620.9415789473685,1582.5736842105264,1595.2205263157894,25.27263157894737
5,May,2022,1318.09,1333.297619047619,1289.2895238095239,1306.0614285714287,32.329047619047614
6,June,2022,1192.9968181818183,1205.0554545454545,1168.045,1183.2677272727271,32.300909090909094
7,July,2022,1227.1671428571428,1254.432857142857,1212.8614285714286,1239.2333333333333,44.66285714285714
8,August,2022,1581.6425,1606.992,1563.714,1588.1705,40.1925
9,September,2022,1732.0654545454547,1758.6786363636363,1703.5654545454547,1726.0513636363635,41.57363636363636
10,October,2022,1689.608947368421,1703.4136842105263,1665.5478947368422,1683.457894736842,16.11894736842105
11,November,2022,1688.902857142857,1704.157142857143,1667.8461904761903,1682.4566666666665,20.886190476190478
12,December,2022,1586.8445454545456,1601.3086363636364,1567.1540909090909,1582.6868181818181,16.11909090909091
1,January,2023,1408.8442857142857,1417.2314285714285,1383.0338095238094,1394.6676190476192,27.697142857142858
2,February,2023,1368.2645,1383.0815,1347.377,1364.1045,17.915
3,March,2023,1301.722380952381,1315.9690476190476,1281.9642857142858,1294.5495238095239,19.47761904761905
4,April,2023,1320.929411764706,1333.520588235294,1307.2894117647058,1321.9817647058824,16.353529411764704
5,May,2023,1408.734090909091,1422.329090909091,1397.5495454545455,1410.4204545454545,14.760909090909092
6,June,2023,1490.1190476190477,1499.175238095238,1477.2657142857142,1488.757619047619,11.288571428571428
7,July,2023,1610.7219047619046,1629.0009523809522,1593.78,1611.23,18.926666666666666
8,August,2023,1500.5472727272727,1508.9913636363635,1481.0236363636363,1493.1818181818182,14.709545454545456
9,September,2023,1537.6190000000001,1551.257,1523.7845000000002,1538.054,13.924000000000001
10,October,2023,1600.825,1618.874,1583.3735000000001,1602.9879999999998,16.415
11,November,2023,1595.408,1611.625,1579.1174999999998,1598.4495000000002,13.447
12,December,2023,1693.0790000000002,1707.3290000000002,1678.2925,1690.8415,12.4135
1,January,2024,1646.6290476190475,1661.09,1627.6,1641.310476190476,14.172380952380953
2,February,2024,1598.2752380952381,1609.875238095238,1577.817619047619,1591.4276190476191,12.44095238095238
3,March,2024,1582.1888888888889,1602.7405555555554,1566.03,1584.3761111111112,15.104999999999999
4,April,2024,1644.607,1661.0900000000001,1626.2165,1642.3425,14.687999999999999
5,May,2024,1590.0161904761903,1605.0095238095237,1572.2280952380952,1583.12,13.412380952380953
6,June,2024,1572.798947368421,1587.6073684210526,1552.0142105263158,1570.9126315789474,19.323684210526313
7,July,2024,1597.6613636363638,1611.4613636363638,1582.6895454545454,1599.7222727272726,18.800454545454546
8,August,2024,1610.3309523809523,1629.4161904761904,1593.8233333333333,1614.037619047619,19.940952380952382
9,September,2024,1882.3376190476188,1907.4161904761904,1859.6290476190475,1887.4333333333332,25.226190476190474
10,October,2024,1826.6218181818183,1845.3068181818182,1798.5822727272725,1815.7086363636363,14.071363636363635
11,November,2024,1665.8236842105264,1677.711052631579,1640.1552631578948,1654.1631578947367,14.453684210526315
12,December,2024,1616.955238095238,1629.2452380952382,1599.0861904761903,1615.7004761904761,12.89809523809524
1,January,2025,1701.514347826087,1729.9913043478261,1681.7317391304348,1706.145652173913,19.38086956521739
2,February,2025,1827.0075000000002,1853.8564999999999,1802.2715,1833.3875,19.085
3,March,2025,1860.4584210526316,1884.4205263157894,1836.1694736842105,1864.5678947368422,23.42
4,April,2025,1986.406842105263,2016.2657894736844,1958.923157894737,1985.2926315789473,22.34684210526316
5,May,2025,2018.897142857143,2041.077142857143,1997.7119047619046,2018.7638095238096,14.899047619047618
6,June,2025,2005.2014285714283,2026.2971428571427,1979.088095238095,2003.0333333333333,22.895238095238096
7,July,2025,2015.414347826087,2029.698260869565,1993.5939130434783,2011.6308695652174,11.26478260869565
8,August,2025,1939.4821052631578,1954.9573684210527,1922.8389473684213,1935.506842105263,10.64578947368421
9,September,2025,2029.8990909090908,2047.3568181818182,2016.411818181818,2030.9986363636365,10.824545454545454
10,October,2025,2077.4180952380952,2097.205238095238,2058.752857142857,2079.1452380952383,8.00095238095238
11,November,2025,2067.2984210526315,2085.3994736842105,2041.5163157894735,2064.374736842105,12.830526315789474
12,December,2025,2051.431818181818,2066.873181818182,2031.6745454545453,2048.6554545454546,11.223636363636363
1,January,2026,1993.8942857142856,2008.89,1976.1128571428574,1990.8728571428571,11.318571428571428
2,February,2026,2023.4685000000002,2041.259,2007.3725,2025.9195,8.0295
3,March,2026,1792.675789473684,1807.8405263157895,1760.2563157894738,1779.7189473684211,17.74
4,April,2026,1769.1799999999998,1789.5485,1748.2740000000001,1770.4689999999998,13.463
5,May,2026,1774.1904761904761,1791.0804761904762,1758.8709523809525,1776.1180952380953,9.020476190476192
6,June,2026,1740.2195454545456,1755.2949999999998,1720.9040909090909,1737.3786363636364,10.174545454545454
7,July,2026,1760.0,1809.4,1741.5,1797.6,17.69
