Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,422.1615,433.96000000000004,410.907,420.9375,69.4305
2,February,2021,481.1005,497.2125,472.521,485.9375,78.5575
3,March,2021,537.1657142857142,547.6661904761904,525.6780952380952,536.4909523809523,39.30285714285714
4,April,2021,545.6921052631578,559.4547368421053,534.588947368421,547.2652631578948,47.29736842105263
5,May,2021,550.699,557.9015,536.3385000000001,547.3925,69.33500000000001
6,June,2021,547.3436363636364,553.2813636363636,537.1168181818182,544.7245454545455,31.042727272727276
7,July,2021,503.7709523809524,507.7361904761904,494.08571428571423,499.4533333333334,28.037142857142857
8,August,2021,508.23952380952386,519.537619047619,499.1166666666667,511.67952380952386,35.56142857142857
9,September,2021,573.3433333333332,584.7490476190476,562.4714285714285,572.9080952380953,24.72047619047619
10,October,2021,582.0755,596.812,571.781,583.2975,25.851999999999997
11,November,2021,607.6195,619.2715000000001,592.3,604.7755,29.542
12,December,2021,537.1126086956522,546.3130434782609,527.7178260869565,535.8778260869566,20.059565217391306
1,January,2022,591.9105000000001,606.742,582.1635,596.9145000000001,37.333999999999996
2,February,2022,659.988,675.3545,649.496,664.6505,30.702499999999997
3,March,2022,684.3604761904762,696.8380952380952,672.6861904761905,685.1819047619048,22.60047619047619
4,April,2022,721.2242105263158,732.5394736842105,708.4594736842105,719.4742105263158,26.61315789473684
5,May,2022,653.9223809523809,667.1895238095237,640.9,651.0319047619048,21.16761904761905
6,June,2022,639.7772727272727,651.805909090909,626.8940909090909,637.8763636363636,18.415454545454544
7,July,2022,651.7661904761904,662.3,642.3495238095238,653.5871428571429,19.55857142857143
8,August,2022,767.4855,779.3875,758.9295,772.2325,15.081
9,September,2022,771.3627272727273,781.1354545454545,758.9686363636364,768.5540909090909,13.882727272727273
10,October,2022,726.3136842105264,732.7778947368421,713.0063157894738,721.3642105263158,13.343157894736843
11,November,2022,719.6166666666667,728.6428571428571,710.9190476190475,720.2838095238096,15.150476190476189
12,December,2022,727.2372727272727,735.9959090909091,718.8927272727273,727.2609090909091,11.092727272727272
1,January,2023,697.9061904761905,706.2080952380953,686.1366666666667,695.7261904761905,19.122857142857143
2,February,2023,767.9145,777.957,759.9295,769.7745,13.822
3,March,2023,746.7423809523809,755.61,738.4395238095237,746.3490476190476,11.187619047619048
4,April,2023,824.6729411764707,836.7647058823529,818.0311764705882,829.3305882352942,22.47470588235294
5,May,2023,1000.7240909090909,1015.9409090909091,991.8840909090909,1006.1431818181819,24.81863636363636
6,June,2023,1084.2628571428572,1096.8890476190475,1073.6766666666667,1086.8266666666666,12.320000000000002
7,July,2023,1152.7166666666667,1167.0595238095239,1135.2228571428573,1148.782380952381,15.912380952380952
8,August,2023,1067.3359090909091,1078.5890909090908,1052.2559090909092,1066.635909090909,19.80727272727273
9,September,2023,1165.24,1186.101,1147.9524999999999,1169.0455,24.054
10,October,2023,1205.9195,1218.4225000000001,1187.2575000000002,1201.795,19.067
11,November,2023,1134.1215,1146.532,1116.2495000000001,1130.826,17.625
12,December,2023,1195.9285,1211.94,1185.6299999999999,1200.0145,19.422
1,January,2024,1248.1576190476192,1266.827142857143,1223.6785714285713,1241.0809523809523,18.38190476190476
2,February,2024,1124.5052380952382,1136.3214285714287,1101.7185714285715,1117.1471428571429,18.36095238095238
3,March,2024,1071.653888888889,1089.6122222222223,1056.4555555555555,1074.0466666666666,21.455
4,April,2024,1170.3055,1185.258,1156.3595,1169.725,10.7405
5,May,2024,1265.77,1287.4009523809523,1244.2057142857143,1265.354761904762,17.775238095238095
6,June,2024,1376.8747368421052,1399.081052631579,1354.7589473684209,1381.6094736842106,15.79421052631579
7,July,2024,1412.1127272727272,1432.08,1387.2486363636365,1409.044090909091,12.98
8,August,2024,1376.6014285714286,1397.9942857142858,1355.1538095238095,1376.3157142857144,13.66
9,September,2024,1560.2871428571427,1579.719523809524,1543.0914285714287,1562.8695238095238,15.211428571428572
10,October,2024,1457.5636363636365,1473.2172727272728,1421.891818181818,1439.534090909091,15.765909090909092
11,November,2024,1250.874210526316,1269.2268421052631,1230.4289473684212,1247.7315789473685,15.243157894736843
