Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,88.38000000000001,89.20750000000001,86.7785,87.679,151.373
2,February,2021,88.10249999999999,90.13550000000001,86.8465,88.6115,249.23499999999999
3,March,2021,93.84666666666666,94.64047619047619,92.1004761904762,92.89047619047619,160.2947619047619
4,April,2021,84.6321052631579,85.64315789473685,83.73315789473685,84.65368421052632,88.82578947368421
5,May,2021,95.329,97.083,93.8505,95.477,198.6805
6,June,2021,100.46090909090908,101.675,98.92363636363638,100.03181818181817,191.16227272727272
7,July,2021,96.31190476190476,97.0904761904762,95.39952380952381,96.0852380952381,76.07095238095238
8,August,2021,93.46857142857142,94.47952380952381,92.3495238095238,93.36095238095238,88.40571428571428
9,September,2021,106.37904761904763,108.90809523809524,104.81380952380952,107.15904761904763,221.26285714285711
10,October,2021,125.54100000000001,127.10999999999999,122.60050000000001,124.252,217.9545
11,November,2021,110.15650000000001,111.47550000000001,108.22149999999999,109.482,138.0205
12,December,2021,106.2104347826087,107.28217391304347,104.90347826086958,106.00217391304349,97.63652173913043
1,January,2022,114.05250000000001,115.883,112.74300000000001,114.4165,118.42999999999999
2,February,2022,117.2385,119.2585,115.47449999999999,117.67750000000001,129.2285
3,March,2022,135.69476190476192,138.1538095238095,133.1747619047619,135.49238095238096,230.14904761904762
4,April,2022,142.42052631578946,145.06894736842105,139.7278947368421,141.73473684210526,229.72368421052633
5,May,2022,134.00761904761904,136.48761904761903,131.48333333333335,133.95999999999998,143.8604761904762
6,June,2022,139.73227272727274,141.7890909090909,137.38545454545454,139.40136363636364,130.58454545454546
7,July,2022,142.87285714285713,144.80761904761906,141.2404761904762,143.49333333333334,85.68761904761905
8,August,2022,163.298,165.6445,161.4735,163.973,121.89949999999999
9,September,2022,171.1368181818182,172.75,168.55545454545455,170.34954545454545,79.76954545454545
10,October,2022,175.3621052631579,177.65157894736842,173.6178947368421,176.14368421052632,94.33315789473684
11,November,2022,185.69761904761904,187.46666666666667,183.33190476190475,184.86190476190475,120.02142857142856
12,December,2022,180.55409090909092,182.3881818181818,178.78863636363636,180.48545454545453,58.2
1,January,2023,175.95999999999998,177.60142857142858,173.6552380952381,175.55238095238096,70.75904761904762
2,February,2023,175.6775,176.9305,173.316,175.2375,75.078
3,March,2023,178.23761904761903,180.06714285714284,176.5295238095238,178.1904761904762,64.05952380952381
4,April,2023,185.19176470588238,187.1729411764706,184.20882352941177,186.00470588235294,46.12117647058824
5,May,2023,194.93454545454549,196.65681818181818,193.27045454545453,195.1618181818182,50.11636363636364
6,June,2023,186.65571428571428,187.58809523809524,185.23761904761906,186.4042857142857,114.60809523809523
7,July,2023,188.90142857142857,190.22809523809525,187.53190476190477,188.6038095238095,79.78666666666666
8,August,2023,191.11363636363637,192.63090909090909,189.29363636363635,190.83727272727273,94.08227272727272
9,September,2023,227.279,231.88400000000001,224.708,229.348,181.5685
10,October,2023,252.88000000000002,255.831,250.0525,253.6065,92.027
11,November,2023,279.748,282.8405,276.303,279.6475,134.60899999999998
12,December,2023,309.5085,314.347,305.4465,309.8725,143.58700000000002
1,January,2024,337.6142857142857,341.2447619047619,332.01428571428573,335.8914285714286,138.99571428571429
2,February,2024,391.21523809523813,397.1657142857143,381.8176190476191,389.75380952380954,176.78238095238098
3,March,2024,385.49111111111114,389.99,378.12944444444446,384.3983333333333,119.78222222222222
4,April,2024,393.236,397.508,388.6295,393.335,81.683
5,May,2024,415.63238095238097,422.0361904761905,407.97,415.914761904762,168.22619047619048
6,June,2024,423.99684210526317,428.4194736842105,412.61105263157896,419.55842105263156,134.45526315789473
7,July,2024,436.3168181818182,441.79954545454547,430.0586363636363,436.69045454545454,106.18636363636364
8,August,2024,464.9561904761905,469.96666666666664,458.0909523809524,463.5442857142857,117.1052380952381
9,September,2024,443.9871428571428,447.0890476190477,437.46809523809526,442.1361904761905,90.68190476190476
10,October,2024,428.82772727272726,433.34772727272724,422.2054545454546,426.79318181818184,75.23181818181818
11,November,2024,389.2278947368421,392.3984210526316,383.00736842105266,386.2815789473684,84.3957894736842
12,December,2024,372.24857142857144,374.5314285714286,367.3676190476191,370.0485714285714,72.71142857142857
1,January,2025,350.3891304347826,355.23652173913047,345.7186956521739,350.4817391304348,83.05608695652174
2,February,2025,345.2455,348.9415,339.452,343.95799999999997,57.9135
3,March,2025,359.3836842105263,364.71210526315787,355.4994736842105,360.5563157894737,67.19842105263157
4,April,2025,367.7763157894737,371.1384210526316,361.83000000000004,366.85263157894735,60.5578947368421
5,May,2025,370.37047619047615,374.26809523809527,366.73,369.92238095238093,74.4604761904762
6,June,2025,368.7690476190476,371.54761904761904,365.31428571428575,368.11857142857144,65.17952380952381
7,July,2025,360.4130434782609,362.17999999999995,357.7165217391304,359.5552173913044,47.83217391304347
8,August,2025,360.09999999999997,363.31894736842105,357.8142105263158,360.63157894736844,61.53368421052631
9,September,2025,376.22727272727275,378.5309090909091,373.49954545454545,375.89045454545453,49.23863636363637
10,October,2025,372.6252380952381,375.3347619047619,369.71761904761905,371.84666666666664,68.9204761904762
11,November,2025,374.95736842105265,376.8857894736842,372.25894736842105,374.4521052631579,51.88315789473684
12,December,2025,380.9613636363636,384.1336363636364,378.4259090909091,381.75045454545455,51.05136363636364
1,January,2026,420.5152380952381,427.50714285714287,415.7728571428571,422.00476190476195,105.54476190476191
2,February,2026,422.58900000000006,426.7135,417.28999999999996,423.06149999999997,73.787
