Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,1005.7299999999999,1012.9985,988.9770000000001,998.6834999999999,42.942
2,February,2021,903.506,915.2090000000001,888.2094999999999,899.15,76.81649999999999
3,March,2021,858.2090476190476,866.3919047619047,845.9738095238096,856.7219047619047,45.642380952380954
4,April,2021,951.2331578947369,965.6131578947369,937.0515789473684,951.1415789473683,80.3521052631579
5,May,2021,1018.9530000000001,1025.7865,1006.162,1014.3744999999999,51.676
6,June,2021,1032.4140909090909,1041.0518181818181,1023.0086363636364,1032.6086363636364,29.420909090909092
7,July,2021,1042.9809523809522,1050.757142857143,1026.9842857142855,1034.8066666666666,42.57809523809524
8,August,2021,912.2585714285715,918.357619047619,901.67,910.5019047619048,30.306190476190473
9,September,2021,948.5861904761905,955.717619047619,939.4338095238096,948.0004761904761,22.69190476190476
10,October,2021,941.4185,952.6674999999999,928.1045,938.2520000000001,23.509
11,November,2021,924.994,934.443,914.475,923.2625,19.308
12,December,2021,905.2665217391304,912.9182608695652,895.695652173913,904.8917391304349,16.69217391304348
1,January,2022,902.827,909.7524999999999,888.707,896.4770000000001,22.594
2,February,2022,833.5139999999999,841.961,824.7175,833.5020000000001,19.4315
3,March,2022,785.4047619047619,797.5076190476191,772.3671428571429,786.1480952380953,42.292857142857144
4,April,2022,832.7131578947368,840.9510526315789,822.5673684210527,829.0752631578947,17.84315789473684
5,May,2022,794.1366666666667,805.4628571428572,784.4385714285714,795.1233333333333,27.106666666666666
6,June,2022,835.9104545454545,844.5536363636364,825.2468181818182,835.4704545454545,20.23090909090909
7,July,2022,861.89,870.7009523809525,849.2080952380952,858.757142857143,26.43809523809524
8,August,2022,824.017,829.8385000000001,817.6855,825.0385,20.3585
9,September,2022,824.7154545454546,834.3227272727272,817.0799999999999,825.6813636363637,20.11909090909091
10,October,2022,857.3168421052632,865.3905263157894,847.9526315789474,856.0642105263157,18.856842105263155
11,November,2022,874.5819047619049,883.6766666666666,866.5214285714286,874.8495238095238,24.587142857142858
12,December,2022,860.5918181818182,867.0849999999999,849.9122727272727,857.5659090909091,23.634545454545457
1,January,2023,844.3314285714285,849.8533333333332,836.2352380952381,842.9119047619048,13.364761904761906
2,February,2023,874.3709999999999,880.7540000000001,865.2715000000001,873.0799999999999,15.258
3,March,2023,868.5438095238094,876.3161904761904,862.8333333333334,870.0004761904761,17.49047619047619
4,April,2023,943.0541176470588,951.2758823529412,934.9223529411765,945.9276470588236,17.664117647058823
5,May,2023,911.0922727272726,915.9177272727272,901.5313636363636,907.9840909090909,23.263636363636362
6,June,2023,940.1138095238096,950.2533333333333,935.4723809523808,943.8357142857143,20.80238095238095
7,July,2023,1037.5709523809523,1050.2742857142857,1029.6709523809525,1041.2442857142858,22.709047619047617
8,August,2023,1142.995909090909,1153.171818181818,1134.1963636363637,1141.7736363636363,31.37590909090909
9,September,2023,1110.799,1119.968,1100.264,1107.7475,19.005000000000003
10,October,2023,1086.3795,1095.6585,1075.3695,1084.221,19.173
11,November,2023,1089.4940000000001,1100.5495,1082.157,1090.662,20.631
12,December,2023,1119.002,1130.1285,1108.908,1119.522,26.5485
1,January,2024,1144.6266666666666,1156.1919047619047,1131.6514285714286,1145.7642857142857,21.723333333333333
2,February,2024,1239.3757142857144,1252.1580952380953,1228.8395238095238,1241.652857142857,20.25095238095238
3,March,2024,1236.8327777777777,1246.6888888888889,1220.5411111111111,1232.5177777777778,16.366666666666667
4,April,2024,1212.498,1222.4955,1197.8835,1208.837,17.854
5,May,2024,1183.8666666666668,1190.997142857143,1166.709523809524,1178.5066666666667,27.164285714285718
