Month,Year,Open,High,Low,Close,Volume
January,2021,794.932,804.543,778.5654999999999,789.6005,85.6725
January,2022,1032.737,1041.696,1012.9625,1026.411,57.302
January,2023,942.2904761904762,952.8423809523808,934.9838095238096,945.597619047619,36.23761904761905
January,2024,1378.5857142857142,1396.2419047619048,1361.1866666666665,1379.282380952381,33.423809523809524
January,2025,1741.4860869565218,1762.0752173913045,1718.1421739130433,1736.4673913043478,38.68521739130435
January,2026,1634.8485714285714,1648.9590476190476,1617.977619047619,1637.9442857142858,26.520952380952384
February,2021,760.6635,767.7235,749.7284999999999,757.2185,57.364
February,2022,960.5325,972.927,952.2729999999999,964.8065,35.243
February,2023,981.7175,989.4504999999999,971.3155,979.0115,31.2
February,2024,1498.7161904761906,1515.7047619047619,1482.6642857142858,1500.171904761905,26.564285714285717
February,2025,1609.9485,1624.6375,1592.888,1606.3555000000001,21.7525
February,2026,1488.2535,1503.0639999999999,1459.1164999999999,1474.7805,39.755
March,2021,777.5742857142857,789.4109523809524,766.4447619047619,778.3309523809525,59.817619047619054
March,2022,979.6323809523809,990.5404761904762,967.6242857142857,979.0128571428571,36.23761904761905
March,2023,954.9152380952381,966.0542857142857,944.1628571428571,952.6628571428571,26.423333333333332
March,2024,1480.935,1493.766111111111,1459.1938888888888,1473.5427777777777,31.05277777777778
March,2025,1487.2263157894736,1506.7794736842106,1472.5336842105262,1490.1105263157895,29.684736842105263
March,2026,1322.75,1345.2242105263158,1309.3173684210526,1325.7394736842105,32.885263157894734
April,2021,792.8615789473685,802.6189473684211,780.348947368421,788.5368421052632,71.7421052631579
April,2022,943.9,952.5963157894736,929.9131578947367,940.4268421052632,35.58052631578947
April,2023,938.615294117647,946.1358823529412,926.1664705882353,937.3629411764706,31.50941176470588
April,2024,1369.813,1384.3155000000002,1355.4955,1365.2930000000001,36.564499999999995
April,2025,1405.613157894737,1428.046842105263,1386.0173684210527,1409.7626315789475,41.002631578947366
April,2026,1344.942,1361.6475,1322.7875,1340.6485,60.217
May,2021,753.1405,759.155,747.766,754.1655,50.7105
May,2022,885.662380952381,896.4180952380951,871.2452380952382,882.9766666666666,32.07857142857143
May,2023,972.2259090909091,982.300909090909,965.0590909090909,974.9931818181817,20.18136363636364
