Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,677.143,681.9625,666.7235000000001,673.3489999999999,203.2095
2,February,2021,731.7345,744.0699999999999,721.8605,733.5195,199.35999999999999
3,March,2021,713.4042857142857,719.7504761904762,701.9252380952381,709.0390476190476,171.5742857142857
4,April,2021,665.7294736842106,674.2426315789475,656.1310526315789,665.7231578947368,248.18052631578948
5,May,2021,671.453,679.412,665.1555000000001,673.293,158.4125
6,June,2021,696.5572727272728,701.295,691.1718181818183,696.0427272727273,99.21227272727273
7,July,2021,692.0247619047619,696.7238095238096,686.8919047619047,691.4247619047619,143.22714285714287
8,August,2021,705.1871428571428,713.6709523809524,700.7728571428571,708.5552380952381,128.29619047619047
9,September,2021,735.5814285714285,742.5861904761905,730.384761904762,736.6761904761905,122.48142857142855
10,October,2021,766.2470000000001,773.8105,757.761,765.038,125.21549999999999
11,November,2021,725.3015,730.696,718.672,724.1095,129.9245
12,December,2021,695.9043478260869,701.205652173913,689.714347826087,695.0413043478261,98.12173913043479
1,January,2022,711.106,719.5085,703.7565,712.5295,156.402
2,February,2022,699.5295,707.4265,691.3165,699.525,129.636
3,March,2022,665.7066666666667,672.7833333333334,656.334761904762,665.8666666666666,204.3447619047619
4,April,2022,678.6442105263158,687.7247368421052,668.6826315789473,677.1257894736842,356.03368421052636
5,May,2022,629.9190476190475,636.8523809523809,623.3704761904762,630.3890476190476,191.08809523809524
6,June,2022,635.6772727272727,641.8081818181818,630.9172727272727,636.5681818181819,106.19045454545454
7,July,2022,651.5909523809523,657.3842857142857,647.0038095238095,652.6385714285714,135.2247619047619
8,August,2022,692.967,698.6535,687.7965,694.611,118.3385
9,September,2022,697.7395454545455,704.9404545454546,692.5268181818182,698.7540909090909,134.83545454545455
10,October,2022,680.5105263157895,686.4931578947369,676.0794736842105,681.3647368421052,120.4521052631579
11,November,2022,744.4271428571428,751.7757142857143,740.0576190476191,746.6371428571429,145.01095238095238
12,December,2022,768.8177272727273,774.7677272727273,763.8663636363636,770.3086363636364,118.3281818181818
1,January,2023,766.854761904762,773.9066666666668,759.2152380952381,766.7242857142857,145.71285714285713
2,February,2023,776.408,782.3050000000001,769.0020000000001,775.4595,126.6135
3,March,2023,749.9995238095238,756.5404761904762,744.4133333333333,749.6961904761905,267.85761904761904
4,April,2023,789.0511764705882,794.064705882353,783.5217647058823,789.6658823529411,349.0888235294118
5,May,2023,785.4168181818181,790.4704545454545,779.5918181818182,784.8040909090909,350.7409090909091
6,June,2023,776.332380952381,781.1276190476191,771.4709523809523,776.0161904761904,290.27238095238096
7,July,2023,803.5157142857144,809.0242857142856,796.1090476190477,800.6723809523809,442.25380952380954
8,August,2023,772.1854545454546,775.7918181818181,766.4386363636364,770.6590909090909,383.3481818181818
9,September,2023,759.322,764.3595,753.8245,758.9035,513.8135
10,October,2023,726.9399999999999,731.5730000000001,720.8165,725.3025,315.0875
11,November,2023,720.3805,724.17,716.749,721.2104999999999,291.2475
12,December,2023,789.473,795.3235,785.0125,791.0795,378.2645
1,January,2024,759.2580952380953,766.7923809523809,750.9771428571429,757.5719047619048,569.5395238095238
2,February,2024,681.2352380952382,686.797619047619,675.3585714285715,680.452380952381,450.4861904761904
3,March,2024,688.3666666666667,695.0616666666667,685.3266666666666,690.9644444444444,514.3905555555556
4,April,2024,724.5845,731.1885,719.3985,725.143,362.248
5,May,2024,717.947619047619,725.1814285714286,713.5485714285714,719.8009523809524,353.0161904761905
6,June,2024,782.0926315789474,790.5173684210527,773.2963157894736,783.7436842105262,481.9352631578948
7,July,2024,797.375,804.0986363636363,790.41,796.8318181818181,479.12545454545455
8,August,2024,792.7242857142857,798.0628571428572,786.6576190476192,792.1133333333333,539.3619047619047
9,September,2024,819.9352380952381,825.0300000000001,815.0904761904762,820.8842857142857,298.66333333333336
10,October,2024,823.2286363636363,832.0272727272727,816.3268181818181,823.6218181818182,329.30454545454546
11,November,2024,849.9826315789473,858.1126315789473,840.8873684210527,848.7947368421053,501.4921052631579
12,December,2024,886.5085714285715,892.5999999999999,879.4638095238096,886.4414285714286,209.3190476190476
1,January,2025,816.5326086956521,822.6134782608696,808.7543478260869,814.8873913043478,222.8613043478261
2,February,2025,825.4014999999999,833.9405,820.2025,828.9125,221.0525
3,March,2025,842.5305263157894,850.2678947368421,837.8852631578948,844.3873684210527,218.94210526315788
4,April,2025,901.1568421052631,910.4342105263158,894.3515789473685,902.15,283.0478947368421
5,May,2025,936.1485714285714,943.0304761904762,930.0290476190477,936.1628571428572,201.47714285714287
6,June,2025,949.1080952380953,956.3590476190477,944.07,951.0257142857143,199.57666666666665
7,July,2025,983.0869565217391,988.5995652173914,976.9047826086957,981.9991304347826,156.8265217391304
8,August,2025,974.218947368421,979.7221052631579,967.301052631579,971.8652631578947,153.6721052631579
9,September,2025,945.6972727272728,950.5409090909092,939.1977272727272,944.345,184.74681818181818
10,October,2025,969.6323809523809,979.6357142857142,965.0580952380953,972.7842857142857,215.06761904761905
11,November,2025,974.8947368421053,983.7026315789473,970.1321052631578,977.8931578947369,190.8063157894737
12,December,2025,976.9804545454546,983.3886363636364,972.1572727272727,977.9936363636364,161.91545454545454
1,January,2026,927.4352380952381,933.7514285714285,919.1271428571428,925.7171428571429,308.7995238095238
