Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,523.9455,529.6659999999999,516.4135,522.9845,213.4415
2,February,2021,607.27,618.8335,598.24,609.8435000000001,297.6825
3,March,2021,580.4890476190476,586.6338095238095,570.7285714285714,578.33,230.82428571428574
4,April,2021,558.561052631579,567.7294736842106,548.6594736842105,559.6742105263157,285.4342105263158
5,May,2021,600.4399999999999,608.857,595.1635,603.1885,166.0595
6,June,2021,620.295,624.2772727272727,612.5422727272727,618.5304545454545,123.30045454545456
7,July,2021,636.2757142857142,642.2561904761905,630.7276190476191,637.9138095238095,124.72238095238096
8,August,2021,677.0085714285715,682.4571428571429,669.6838095238096,677.2709523809524,120.49904761904762
9,September,2021,697.2457142857143,701.6904761904761,689.2104761904762,695.0795238095238,98.14047619047618
10,October,2021,720.215,731.4285,713.165,722.8734999999999,163.666
11,November,2021,746.5840000000001,751.522,735.426,742.0725,147.5565
12,December,2021,714.5260869565217,721.2960869565218,706.4717391304348,713.4360869565216,151.4630434782609
1,January,2022,774.3905,784.4965,767.2760000000001,777.1895000000001,139.625
2,February,2022,749.004,757.4325,739.1115,748.8345,144.127
3,March,2022,679.4442857142857,687.5380952380953,670.6342857142857,679.062380952381,201.64999999999998
4,April,2022,728.0984210526316,736.9910526315789,720.9563157894737,728.9226315789474,174.45684210526315
5,May,2022,693.1238095238095,702.442380952381,687.182380952381,694.0109523809524,128.6495238095238
6,June,2022,691.6086363636364,697.9,684.8490909090909,690.2968181818183,107.87909090909092
7,July,2022,741.2661904761904,749.062380952381,736.4480952380952,743.9595238095238,103.09142857142858
8,August,2022,831.3459999999999,840.5,825.6495000000001,834.9965,123.5995
9,September,2022,866.3772727272727,876.075909090909,859.4163636363636,866.5886363636364,117.07227272727273
10,October,2022,868.6936842105264,875.7368421052631,860.0652631578947,867.5152631578948,102.4721052631579
11,November,2022,896.9271428571429,903.9614285714285,889.7138095238096,897.384761904762,116.19047619047619
12,December,2022,892.7281818181818,898.9804545454546,884.4927272727273,890.5181818181819,105.56681818181818
1,January,2023,848.6880952380952,854.5042857142857,837.0947619047618,845.4495238095237,153.04142857142855
2,February,2023,833.075,841.731,825.5725,834.5835,127.987
3,March,2023,830.2580952380952,836.8352380952381,821.5257142857143,829.4985714285715,168.27142857142857
4,April,2023,874.3758823529412,879.9182352941177,865.6564705882353,873.7870588235294,280.9011764705882
5,May,2023,917.5845454545455,923.4754545454545,911.6259090909091,918.155,181.9309090909091
6,June,2023,914.2028571428573,918.8038095238096,906.7280952380953,911.6014285714286,150.4042857142857
7,July,2023,946.1052380952381,953.2171428571429,939.0838095238096,947.1538095238095,177.9947619047619
8,August,2023,948.9577272727273,955.1672727272727,941.6068181818181,948.1836363636364,190.85636363636365
9,September,2023,952.906,958.9834999999999,945.503,952.7065,160.69400000000002
10,October,2023,923.0695,928.7175,916.333,921.403,105.2995
11,November,2023,916.384,921.201,910.5745000000001,916.4370000000001,124.33
12,December,2023,988.4855,996.6565,980.36,989.9879999999999,168.75150000000002
1,January,2024,983.58,994.1357142857142,973.8557142857144,983.0228571428571,193.36761904761906
2,February,2024,1016.0666666666667,1026.0090476190476,1004.8804761904761,1015.7771428571428,131.26
3,March,2024,1063.0166666666667,1076.395,1056.37,1067.9544444444446,195.24944444444444
4,April,2024,1074.578,1086.4315000000001,1066.0104999999999,1077.4524999999999,144.076
5,May,2024,1108.054761904762,1118.3638095238096,1098.4919047619046,1107.6495238095238,141.83619047619047
6,June,2024,1127.622105263158,1140.8668421052632,1109.0194736842104,1125.501052631579,234.4678947368421
7,July,2024,1205.5604545454546,1217.9186363636363,1193.9954545454545,1206.145909090909,153.72545454545454
8,August,2024,1177.4419047619047,1186.1638095238095,1168.1219047619047,1177.2842857142857,120.43523809523809
9,September,2024,1256.7547619047618,1270.8676190476192,1247.6095238095238,1261.315238095238,154.9152380952381
10,October,2024,1248.25,1263.266818181818,1237.990909090909,1249.145909090909,140.52409090909092
11,November,2024,1268.9352631578947,1280.0647368421053,1257.598947368421,1268.1284210526314,123.13999999999999
12,December,2024,1301.8057142857142,1313.7885714285712,1293.5338095238094,1303.9066666666668,120.9604761904762
1,January,2025,1235.544347826087,1245.9469565217391,1223.3121739130436,1234.6860869565216,100.04913043478261
2,February,2025,1239.5700000000002,1248.964,1228.713,1238.3305,91.80449999999999
3,March,2025,1263.5494736842104,1275.7084210526316,1256.53,1266.9505263157896,124.82052631578948
4,April,2025,1355.8705263157894,1367.2189473684211,1341.7810526315789,1356.4568421052631,132.08526315789473
5,May,2025,1428.5390476190476,1440.2295238095237,1418.5214285714287,1429.3490476190477,97.99952380952382
6,June,2025,1419.7914285714285,1430.8038095238096,1410.7614285714287,1421.5109523809524,97.78238095238095
7,July,2025,1437.4778260869564,1446.0508695652172,1428.8404347826088,1438.2808695652172,86.74260869565217
8,August,2025,1432.586842105263,1438.3636842105263,1422.99,1429.4052631578948,77.00263157894737
9,September,2025,1399.05,1406.0181818181818,1390.7772727272727,1397.009090909091,105.49227272727272
10,October,2025,1378.4380952380952,1388.4333333333332,1369.5857142857142,1378.647619047619,134.66
11,November,2025,1362.078947368421,1372.4473684210527,1355.9315789473685,1365.3157894736842,117.17473684210528
12,December,2025,1365.9227272727273,1373.259090909091,1359.209090909091,1366.05,85.81318181818182
1,January,2026,1381.9761904761904,1397.3809523809523,1371.4142857142858,1385.847619047619,146.83761904761906
2,February,2026,1400.4,1409.925,1388.72,1399.3049999999998,133.643
3,March,2026,1279.8842105263157,1294.9473684210527,1266.8210526315788,1280.8578947368421,186.41842105263157
4,April,2026,1306.1100000000001,1321.15,1292.935,1307.31,199.53050000000002
5,May,2026,1259.8142857142857,1270.7714285714287,1249.9571428571428,1259.5523809523809,172.0990476190476
6,June,2026,1313.8181818181818,1329.2045454545455,1305.0272727272727,1317.6363636363637,148.38363636363636
7,July,2026,1371.4,1385.1,1367.7,1379.8,119.48
