Month_Number,Month,Year,Open,High,Low,Close,Volume
2,February,2021,2641.6126315789475,2719.141052631579,2562.248421052632,2629.374736842105,9.93578947368421
3,March,2021,2432.8314285714287,2473.923333333333,2382.174285714286,2413.844761904762,0.9947619047619047
4,April,2021,2311.008947368421,2345.0905263157897,2287.115789473684,2310.268947368421,0.36
5,May,2021,2396.8875,2444.571,2371.3365000000003,2406.228,0.9109999999999999
6,June,2021,2543.6945454545453,2582.139090909091,2507.660909090909,2542.333181818182,0.6195454545454545
7,July,2021,2544.105238095238,2574.7761904761905,2513.750476190476,2543.4557142857143,0.32285714285714284
8,August,2021,2505.0880952380953,2534.1228571428574,2459.2061904761904,2497.5985714285716,0.37476190476190474
9,September,2021,2562.954761904762,2592.0561904761903,2531.753333333333,2556.3985714285714,0.33904761904761904
10,October,2021,2468.081,2487.4900000000002,2433.1125,2455.0119999999997,0.21349999999999997
11,November,2021,2286.1615,2309.3849999999998,2257.999,2276.7084999999997,0.227
12,December,2021,2029.6686956521737,2061.2778260869563,1995.7386956521739,2021.8252173913045,0.40782608695652167
1,January,2022,2024.256,2046.5565,1994.828,2017.9990000000003,0.441
2,February,2022,1869.3494999999998,1899.368,1832.3075000000001,1858.0049999999999,0.4615
3,March,2022,1590.51,1619.1195238095238,1553.8538095238096,1578.922857142857,0.8004761904761905
4,April,2022,1598.4736842105262,1621.0094736842104,1570.1405263157897,1586.8036842105264,0.5463157894736842
5,May,2022,1526.405238095238,1555.3023809523809,1484.972380952381,1525.3009523809524,0.41190476190476194
6,June,2022,1468.9763636363637,1496.6290909090908,1439.6640909090909,1457.9445454545455,0.2459090909090909
7,July,2022,1401.1704761904762,1411.0480952380954,1383.782857142857,1392.540476190476,0.1538095238095238
8,August,2022,1544.8229999999999,1592.2785,1523.1005,1558.932,1.3465
9,September,2022,1557.7545454545455,1569.3286363636364,1526.5509090909093,1538.385909090909,0.6672727272727272
10,October,2022,1464.83,1473.0842105263157,1445.338947368421,1455.57,0.14421052631578948
11,November,2022,1388.4690476190476,1414.0938095238096,1363.2842857142857,1384.8857142857141,1.8152380952380955
12,December,2022,1311.1595454545454,1320.7977272727273,1294.2445454545455,1304.0622727272728,0.5063636363636363
1,January,2023,1261.1304761904762,1265.655238095238,1242.537619047619,1249.6157142857144,0.27809523809523806
2,February,2023,1101.6655,1110.6315,1072.69,1084.583,0.8275
3,March,2023,1027.507619047619,1045.1661904761904,1009.1009523809523,1021.8761904761906,1.2052380952380952
4,April,2023,1093.7629411764706,1118.574117647059,1078.2529411764706,1095.8770588235293,1.947058823529412
5,May,2023,1325.5863636363638,1356.4713636363635,1306.7,1332.3931818181818,1.6686363636363637
6,June,2023,1434.9714285714285,1446.79,1415.4819047619046,1425.7942857142857,0.5785714285714286
7,July,2023,1469.7719047619048,1485.8628571428571,1452.8442857142857,1467.4133333333334,0.9733333333333334
8,August,2023,1551.2477272727272,1568.0863636363638,1522.3727272727272,1540.5872727272726,0.93
9,September,2023,1549.106,1557.659,1524.156,1537.446,0.5415
10,October,2023,1448.847,1468.1245,1427.7559999999999,1442.327,0.6115
11,November,2023,1468.6555,1493.8225,1449.8465,1468.2685,1.2295
12,December,2023,1479.7040000000002,1490.488,1461.1264999999999,1472.6505000000002,0.725
1,January,2024,1470.625238095238,1483.982380952381,1449.805238095238,1465.6323809523808,0.981904761904762
