Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,157.8975,159.5095,155.384,157.1965,400.421
2,February,2021,164.8085,167.1195,162.0975,164.352,518.4905
3,March,2021,162.49761904761903,164.1904761904762,160.3047619047619,162.40714285714287,416.27952380952377
4,April,2021,159.99105263157895,161.2305263157895,158.34736842105264,159.39894736842106,202.76
5,May,2021,159.13,160.575,157.90550000000002,158.991,285.13599999999997
6,June,2021,162.31727272727272,163.1390909090909,161.0131818181818,161.73999999999998,268.8331818181818
7,July,2021,161.85999999999999,163.1695238095238,160.85333333333332,161.74095238095236,206.2566666666667
8,August,2021,164.78761904761905,166.3447619047619,163.4509523809524,164.75857142857143,175.9542857142857
9,September,2021,177.1342857142857,179.61809523809524,175.43809523809523,177.47619047619048,349.41761904761904
10,October,2021,189.215,191.567,185.9955,188.222,324.42600000000004
11,November,2021,181.098,183.2655,178.9705,180.803,204.94650000000001
12,December,2021,174.8517391304348,176.60652173913041,172.62478260869565,174.34565217391304,206.52739130434784
1,January,2022,172.852,174.5335,171.4665,172.893,138.2205
2,February,2022,178.6865,180.497,176.6595,178.712,242.11100000000002
3,March,2022,192.36285714285714,195.07190476190476,190.7252380952381,193.51047619047617,345.81904761904764
4,April,2022,210.07631578947368,213.23315789473682,207.93,210.45315789473685,242.1615789473684
5,May,2022,214.69285714285715,217.72476190476192,212.05380952380952,215.11285714285714,228.66238095238094
6,June,2022,221.52045454545453,223.89499999999998,219.7659090909091,222.00181818181818,124.31772727272727
7,July,2022,243.2304761904762,245.6347619047619,241.49571428571429,244.09190476190477,156.64761904761903
8,August,2022,257.267,259.636,255.5525,257.6805,127.705
9,September,2022,274.385,277.27727272727276,272.2981818181818,274.4795454545455,148.05090909090907
10,October,2022,279.59,281.50894736842105,276.76000000000005,279.15263157894736,136.92473684210526
11,November,2022,286.81333333333333,288.81666666666666,284.11619047619047,286.33000000000004,126.71
12,December,2022,279.1027272727273,280.86136363636365,276.34136363636367,278.68,90.24545454545455
1,January,2023,276.84476190476187,279.2752380952381,274.6095238095238,277.06142857142856,108.03523809523809
2,February,2023,315.1985,319.2405,310.915,316.00300000000004,192.911
3,March,2023,320.33238095238096,323.0861904761905,317.1066666666667,320.37095238095236,116.9604761904762
4,April,2023,334.2605882352941,337.9235294117647,332.25117647058823,336.1123529411765,104.68588235294118
5,May,2023,361.50454545454545,364.6127272727273,358.16772727272723,361.825,136.0959090909091
6,June,2023,382.742380952381,385.08428571428567,380.2061904761905,382.4804761904762,81.58904761904762
7,July,2023,405.5838095238095,409.54952380952375,400.62,405.2490476190476,140.51047619047617
8,August,2023,387.58818181818185,389.80954545454546,383.52181818181816,386.06999999999994,108.22318181818181
9,September,2023,383.488,385.889,379.9735,382.94449999999995,106.82350000000001
10,October,2023,379.2575,381.9655,376.322,378.728,95.48049999999999
11,November,2023,374.7125,376.421,372.54650000000004,374.39050000000003,80.99600000000001
12,December,2023,391.15500000000003,394.214,387.4745,391.01300000000003,132.263
1,January,2024,399.78285714285715,402.6985714285714,394.7690476190476,398.1190476190476,139.84428571428572
2,February,2024,362.89428571428573,365.72809523809525,358.03238095238095,360.8066666666667,186.20333333333332
3,March,2024,363.60999999999996,366.93833333333333,360.0838888888889,362.99666666666667,280.5683333333333
4,April,2024,373.98,376.77750000000003,370.8085,373.886,136.04500000000002
5,May,2024,378.5857142857143,381.5490476190476,374.76095238095235,377.6752380952381,163.89000000000001
6,June,2024,380.44,382.89578947368426,376.4378947368421,379.4189473684211,192.18157894736842
7,July,2024,409.8081818181818,415.88409090909096,406.4359090909091,411.9240909090909,195.81136363636367
8,August,2024,441.052380952381,445.63238095238097,438.2495238095238,441.41047619047623,123.34952380952382
9,September,2024,454.7109523809524,458.91809523809525,451.57095238095235,455.33571428571423,126.20428571428572
10,October,2024,438.7822727272727,442.14772727272725,433.9168181818182,437.2690909090909,127.69363636363637
11,November,2024,422.3673684210526,425.78526315789475,418.1615789473684,421.72,98.9942105263158
12,December,2024,418.29761904761904,421.8304761904762,414.13904761904763,418.0619047619047,150.43238095238095
1,January,2025,409.23478260869564,413.70217391304345,405.39608695652174,408.8186956521739,161.30695652173912
2,February,2025,392.22950000000003,395.923,387.135,390.3715,156.22899999999998
3,March,2025,380.04842105263157,383.67105263157896,376.9563157894737,380.3842105263158,140.11105263157896
4,April,2025,392.91263157894736,396.9378947368421,389.5421052631579,393.67105263157896,172.42789473684212
5,May,2025,404.56666666666666,407.8871428571428,400.6333333333333,404.402380952381,348.6571428571429
6,June,2025,399.54904761904766,401.57095238095235,397.1742857142857,399.1304761904762,134.40238095238095
7,July,2025,397.0404347826087,398.4904347826087,394.4678260869565,396.3847826086957,94.17347826086956
8,August,2025,391.34,393.53473684210525,388.48,390.6805263157895,142.10842105263157
9,September,2025,390.94272727272727,392.69,387.7127272727273,389.60954545454547,134.05727272727273
10,October,2025,389.2238095238095,391.8119047619047,387.2171428571429,389.7552380952381,145.3257142857143
11,November,2025,388.0178947368421,389.8836842105263,385.3873684210526,387.05105263157895,113.50052631578949
12,December,2025,383.8040909090909,385.82954545454544,382.09,383.80181818181813,85.22500000000001
1,January,2026,322.40380952380957,323.9609523809524,316.24380952380955,318.2947619047619,440.5657142857143
2,February,2026,311.033,314.3795,307.608,311.0895,212.442
3,March,2026,295.6689473684211,298.4168421052632,292.42105263157896,294.7378947368421,251.72368421052633
4,April,2026,294.3975,297.235,292.7395,295.204,193.2425
5,May,2026,299.5357142857143,300.9,296.60238095238094,298.00190476190477,183.41904761904763
6,June,2026,286.28181818181815,288.21363636363634,283.82954545454544,286.1227272727273,139.47363636363636
7,July,2026,287.85,291.0,287.1,290.3,65.51
