Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,373.504,378.622,365.4555,371.0805,77.59
2,February,2021,381.408,389.515,374.9645,382.44,73.962
3,March,2021,403.82238095238097,410.94,397.21714285714285,405.45190476190476,84.41809523809523
4,April,2021,576.2273684210526,596.9815789473683,567.7231578947368,587.1705263157895,283.7894736842105
5,May,2021,675.615,686.46,663.9205,673.4435,154.435
6,June,2021,662.9986363636364,671.8313636363637,652.3268181818182,661.2527272727273,81.52090909090909
7,July,2021,667.1614285714286,676.4942857142858,658.7447619047618,667.3180952380952,78.00047619047619
8,August,2021,694.7733333333333,702.1238095238095,681.7838095238095,691.0852380952381,72.7852380952381
9,September,2021,649.9147619047619,657.0380952380953,639.5242857142857,647.7276190476191,54.57142857142857
10,October,2021,650.581,660.7470000000001,639.1195,648.626,47.2705
11,November,2021,638.8075,646.0029999999999,627.3015,635.2909999999999,40.0985
12,December,2021,626.7299999999999,635.6134782608696,619.2552173913043,628.0452173913044,47.77913043478261
1,January,2022,634.7785,644.3100000000001,624.4069999999999,633.899,43.1475
2,February,2022,609.6229999999999,620.342,599.313,610.5345,34.997
3,March,2022,644.8861904761904,657.6442857142857,635.8785714285715,648.4085714285715,66.52238095238096
4,April,2022,707.6884210526316,718.1868421052632,697.5968421052631,706.0663157894737,50.16947368421053
5,May,2022,596.3090476190476,605.3528571428571,579.0557142857143,589.5438095238095,65.63333333333333
6,June,2022,539.7377272727273,549.5563636363636,531.9604545454545,541.4150000000001,53.38045454545454
7,July,2022,570.0942857142857,580.9704761904762,563.4661904761905,573.657619047619,42.80714285714286
8,August,2022,650.4565,658.204,644.115,651.7135000000001,27.360500000000002
9,September,2022,660.3286363636363,668.8572727272727,654.1631818181818,660.4250000000001,24.139545454545456
10,October,2022,636.2321052631579,644.1331578947369,628.2342105263158,637.4368421052632,22.65526315789474
11,November,2022,697.3066666666667,706.4138095238095,691.3842857142857,700.3466666666667,21.658571428571427
12,December,2022,735.209090909091,742.8563636363637,728.6368181818182,736.6336363636364,16.862272727272728
1,January,2023,737.9752380952381,743.9885714285714,726.4628571428572,733.7914285714286,23.950952380952383
2,February,2023,707.3185000000001,714.1175000000001,697.914,704.1535,15.666999999999998
3,March,2023,662.7833333333334,669.157619047619,655.3409523809523,662.4342857142857,18.48619047619048
4,April,2023,699.8676470588235,707.214705882353,693.2682352941176,701.845294117647,13.710588235294116
5,May,2023,701.5445454545454,708.1627272727272,694.4909090909091,700.2181818181817,22.389545454545456
6,June,2023,737.9661904761905,746.9028571428571,731.3,739.4295238095239,31.318095238095236
7,July,2023,790.0895238095238,798.6285714285715,780.0123809523809,788.3480952380953,42.589999999999996
8,August,2023,793.2063636363637,798.3772727272727,784.3859090909092,790.2304545454546,20.275909090909092
9,September,2023,793.105,800.521,784.664,791.217,24.785
10,October,2023,757.6725,762.5905,748.6479999999999,754.9775,16.0795
11,November,2023,754.9515,761.383,749.7194999999999,756.078,18.175
12,December,2023,835.742,846.3774999999999,827.8975,838.2860000000001,25.583
1,January,2024,821.3876190476191,827.3161904761904,808.5909523809523,816.3423809523808,17.413809523809523
2,February,2024,811.6628571428571,817.9004761904762,798.9238095238096,807.8833333333333,21.073333333333334
3,March,2024,804.3866666666668,815.3449999999999,793.77,804.665,31.23611111111111
4,April,2024,861.7175,873.0345,850.0525,861.7305,28.6325
5,May,2024,876.3280952380952,887.8452380952381,863.5504761904763,876.5938095238096,29.179523809523808
6,June,2024,905.0273684210526,916.0642105263158,890.8673684210526,905.2705263157894,25.71157894736842
7,July,2024,916.2900000000001,924.5881818181817,905.8004545454546,915.7581818181818,17.800454545454546
8,August,2024,916.5890476190476,926.3552380952381,904.4476190476191,915.5109523809524,22.93285714285714
9,September,2024,956.6566666666668,969.0733333333334,947.7338095238096,958.6695238095239,23.652380952380952
10,October,2024,990.0849999999999,1000.7440909090909,975.2063636363637,986.1777272727272,19.894545454545455
