Month,Year,Open,High,Low,Close,Volume
January,2021,1267.0014999999999,1283.5935,1252.6635,1266.3515,40.075
January,2022,1861.4759999999999,1881.9779999999998,1836.5285,1863.016,21.663
January,2023,2073.7914285714287,2095.2933333333335,2048.232857142857,2073.7633333333333,21.23857142857143
January,2024,3456.9533333333334,3495.6228571428574,3418.1738095238093,3455.7719047619053,22.22952380952381
January,2025,3480.8878260869565,3515.3365217391306,3437.9447826086953,3471.4865217391307,19.065217391304348
January,2026,3911.0514285714285,3943.05380952381,3865.6338095238093,3901.4738095238095,19.253809523809522
February,2021,1423.0065,1451.072,1405.5075000000002,1426.0795,44.9615
February,2022,1780.8919999999998,1801.202,1756.6685000000002,1779.309,22.863
February,2023,2092.061,2112.5919999999996,2064.7525,2086.8985000000002,22.533
February,2024,3290.532857142857,3321.542380952381,3250.058095238095,3285.917619047619,28.166190476190476
February,2025,3248.6330000000003,3275.1735,3194.8825,3226.7815,24.9685
February,2026,4149.826999999999,4190.494000000001,4113.4715,4159.389499999999,21.553
March,2021,1367.237619047619,1383.759523809524,1346.872380952381,1362.7114285714285,35.944761904761904
March,2022,1661.719523809524,1675.1261904761905,1634.8109523809524,1655.2071428571428,26.066190476190474
March,2023,2086.537142857143,2108.870476190476,2066.5157142857142,2083.187619047619,21.92809523809524
March,2024,3506.1677777777777,3553.112777777778,3476.4883333333332,3518.0255555555555,24.779999999999998
March,2025,3233.2936842105264,3268.3005263157893,3205.1415789473685,3239.5468421052633,19.25
March,2026,3658.690526315789,3699.2626315789475,3577.5305263157898,3633.9421052631574,51.49421052631579
April,2021,1289.5242105263158,1305.1052631578948,1273.6568421052632,1287.1126315789472,25.371052631578948
April,2022,1666.4642105263158,1681.2442105263158,1645.2831578947369,1662.9442105263158,22.60684210526316
April,2023,2165.8082352941174,2190.2176470588233,2146.7494117647057,2173.245294117647,19.577058823529413
April,2024,3589.6055,3618.7410000000004,3550.6794999999997,3580.2160000000003,21.3005
April,2025,3210.243157894737,3245.1136842105266,3168.6847368421054,3205.446315789474,23.99947368421053
April,2026,3913.9309999999996,3960.5660000000003,3870.5510000000004,3921.5660000000003,33.8245
May,2021,1318.5695,1335.3995,1306.041,1320.922,32.4465
May,2022,1524.6580952380953,1544.6880952380952,1502.392380952381,1522.0895238095238,22.87952380952381
May,2023,2184.310454545455,2200.849090909091,2164.935454545455,2177.9513636363636,23.655909090909088
May,2024,3394.0214285714283,3437.741428571429,3359.5433333333335,3401.8695238095233,35.63809523809524
May,2025,3462.917619047619,3496.252857142857,3433.1085714285714,3467.3923809523812,21.97190476190476
May,2026,3947.8042857142855,3983.0214285714283,3918.035714285714,3952.846666666667,24.242380952380955
June,2021,1414.95,1428.99,1402.2222727272726,1414.9327272727273,25.687272727272727
June,2022,1479.8145454545454,1496.0263636363636,1463.4636363636364,1478.2818181818182,20.689545454545456
June,2023,2256.06,2276.7957142857144,2243.880476190476,2264.155238095238,17.88952380952381
June,2024,3522.123684210527,3558.2705263157895,3449.684736842105,3501.027894736842,42.422105263157896
June,2025,3602.414761904762,3635.186190476191,3573.1328571428567,3603.0504761904763,17.17904761904762
June,2026,4086.9818181818187,4118.745454545454,4051.127272727273,4078.7363636363634,18.845000000000002
July,2021,1463.5990476190477,1481.3190476190478,1449.9071428571428,1467.8600000000001,25.879047619047622
July,2022,1606.9280952380952,1630.517142857143,1593.1657142857143,1615.5957142857144,20.957619047619048
July,2023,2425.0076190476193,2447.572380952381,2406.2766666666666,2426.248095238095,17.626190476190477
July,2024,3569.681363636364,3604.5468181818183,3530.2886363636367,3573.7968181818183,28.88090909090909
July,2025,3510.481739130435,3528.918695652174,3480.164347826087,3502.675217391304,17.48391304347826
July,2026,4130.1,4142.8,4081.1,4092.6,14.37
August,2021,1541.3685714285716,1557.912380952381,1524.4490476190476,1540.4685714285715,21.71142857142857
August,2022,1783.5494999999999,1803.6665,1767.881,1787.3525000000002,18.91
August,2023,2591.8418181818183,2610.585,2570.390909090909,2590.5504545454546,15.086363636363636
August,2024,3558.6419047619047,3583.2590476190476,3526.31,3547.23,19.585238095238093
August,2025,3593.85,3617.810526315789,3562.753684210527,3587.4915789473685,14.43578947368421
September,2021,1622.352380952381,1642.6833333333332,1610.72,1623.5790476190477,21.573809523809523
September,2022,1844.2654545454543,1864.8372727272726,1827.9318181818182,1843.1668181818181,18.841363636363635
September,2023,2803.6085,2830.8959999999997,2782.4375,2805.606,23.4775
September,2024,3612.4314285714286,3641.4766666666665,3576.611904761905,3609.3900000000003,22.673809523809524
September,2025,3591.9927272727273,3617.3045454545454,3563.8445454545454,3585.0968181818184,16.87909090909091
October,2021,1678.6064999999999,1700.4865000000002,1658.003,1673.8815,25.962
October,2022,1836.1584210526316,1858.7005263157894,1819.7636842105264,1840.2389473684211,18.17473684210526
October,2023,2947.71,2968.509,2917.2075,2943.8555,19.8575
October,2024,3439.279090909091,3476.2536363636364,3396.555,3431.3422727272728,25.41318181818182
October,2025,3792.3019047619046,3831.1700000000005,3772.8728571428574,3803.535238095238,19.11809523809524
November,2021,1789.9965,1813.6955000000003,1769.5490000000002,1788.8939999999998,29.675
November,2022,1949.48,1966.1257142857144,1933.0538095238094,1947.8990476190475,17.01142857142857
November,2023,2945.2619999999997,2967.2155,2926.2725,2948.722,14.9505
November,2024,3547.295789473684,3581.2984210526315,3509.313684210527,3547.8563157894737,16.476315789473684
November,2025,3954.694736842105,3983.2673684210527,3924.811578947368,3952.7663157894735,15.761052631578947
December,2021,1754.8704347826085,1775.6752173913044,1740.6939130434782,1757.9247826086958,20.619565217391305
December,2022,2049.6904545454545,2070.1709090909094,2032.0222727272726,2051.9572727272725,18.850454545454543
December,2023,3318.1690000000003,3352.7745000000004,3291.4394999999995,3328.6894999999995,19.602
December,2024,3697.120952380952,3731.9371428571426,3657.920476190476,3691.427142857143,18.278095238095236
December,2025,4008.363181818182,4029.7390909090905,3980.039090909091,4002.1095454545457,12.406363636363636
