Month,Year,Open,High,Low,Close,Volume
January,2021,1031.0825,1046.5885,1009.156,1028.764,35.47
January,2022,913.7695,925.2719999999999,902.0225,911.5409999999999,10.898
January,2023,738.2380952380952,744.4242857142857,730.8399999999999,737.9880952380952,6.65
January,2024,1396.3942857142856,1414.9176190476192,1381.5461904761905,1401.2838095238094,12.879047619047618
January,2025,2178.9608695652173,2200.056956521739,2141.5652173913045,2167.716086956522,7.768260869565218
January,2026,2156.157142857143,2179.0333333333333,2132.9285714285716,2157.9714285714285,8.051904761904762
February,2021,1017.4594999999999,1032.8315,1000.0854999999999,1014.6475,26.933
February,2022,785.74,791.9235,769.832,778.4365,21.338
February,2023,690.5065,699.0725,680.207,689.385,11.662
February,2024,1580.6604761904764,1597.7595238095237,1557.507142857143,1577.5700000000002,16.710476190476193
February,2025,2026.8654999999999,2057.7560000000003,1980.8395,2015.3595,10.8415
February,2026,2227.2349999999997,2244.54,2199.58,2223.79,8.311
March,2021,1003.1433333333332,1014.7261904761905,986.8557142857144,1001.1833333333333,17.60857142857143
March,2022,728.4895238095238,738.3285714285714,717.2814285714286,726.6985714285714,13.751428571428573
March,2023,647.2995238095239,653.5538095238096,639.5747619047619,645.7471428571429,8.284285714285714
March,2024,1613.395,1634.6916666666666,1593.187222222222,1611.756111111111,8.737222222222222
March,2025,2009.2510526315791,2031.3863157894739,1983.3463157894737,2009.9042105263159,6.9252631578947375
March,2026,2316.378947368421,2339.842105263158,2292.3315789473686,2317.884210526316,10.286315789473685
April,2021,1025.1926315789474,1041.9426315789474,1010.9878947368421,1027.4221052631578,22.588947368421053
April,2022,753.1436842105263,762.7926315789473,741.5036842105263,751.2152631578947,11.224210526315789
April,2023,668.2894117647058,677.4341176470588,662.0482352941176,671.7576470588235,12.351176470588236
April,2024,1593.2040000000002,1610.307,1573.7915,1587.6025,10.395999999999999
April,2025,1999.1394736842105,2040.7142105263158,1959.0163157894735,2000.6047368421052,14.652631578947368
April,2026,2312.175,2332.73,2276.2349999999997,2309.355,11.0765
May,2021,1157.051,1175.7185,1138.787,1157.5425,42.6425
May,2022,659.9547619047619,669.1614285714286,645.9966666666667,655.2504761904762,15.907142857142858
May,2023,749.7363636363636,760.2395454545455,743.0304545454545,753.0059090909091,10.698636363636364
May,2024,1621.4390476190476,1643.0742857142857,1593.1080952380955,1616.644761904762,15.49047619047619
May,2025,2012.4504761904761,2035.6861904761904,1983.4866666666667,2006.605238095238,11.08904761904762
May,2026,2301.7190476190476,2326.9142857142856,2275.9666666666667,2299.8285714285716,14.626190476190475
June,2021,1161.57,1172.766818181818,1148.5013636363635,1158.7172727272728,15.42681818181818
June,2022,601.9268181818181,610.0577272727273,594.9954545454545,602.4413636363636,9.82318181818182
June,2023,823.5433333333333,833.195238095238,816.5614285714286,826.4652380952381,12.841428571428573
June,2024,1581.948947368421,1597.6852631578947,1558.5463157894737,1576.0731578947368,13.382631578947368
June,2025,1956.4457142857143,1972.002857142857,1937.9752380952382,1953.8761904761905,9.868571428571428
June,2026,2299.3681818181817,2323.3863636363635,2283.1363636363635,2304.8272727272724,8.200909090909091
July,2021,1124.8566666666666,1134.3295238095238,1111.77,1121.884761904762,10.238571428571428
July,2022,628.4100000000001,634.6180952380952,619.802380952381,627.582380952381,7.827142857142857
July,2023,918.3419047619047,927.1404761904762,909.8642857142858,919.1757142857142,8.757619047619048
July,2024,1767.3386363636362,1792.682272727273,1751.6709090909092,1777.1109090909092,14.101818181818182
July,2025,1932.7608695652175,1951.9439130434782,1911.3347826086956,1932.378260869565,10.07
July,2026,2428.0,2443.4,2392.0,2397.5,4.71
August,2021,1006.0914285714285,1013.0333333333334,987.6538095238095,998.2261904761905,25.008571428571425
August,2022,658.2535,667.896,648.7875,660.049,19.1095
August,2023,1064.6499999999999,1079.7022727272727,1050.7345454545455,1066.2204545454545,15.575454545454544
August,2024,2062.9166666666665,2090.195238095238,2041.695238095238,2067.8366666666666,18.84
August,2025,1936.7105263157894,1954.6263157894737,1911.1052631578948,1930.0315789473684,11.059473684210525
September,2021,940.7180952380953,948.1228571428572,930.3228571428571,940.1928571428571,16.064761904761905
September,2022,650.6172727272727,658.6322727272727,641.8981818181818,650.670909090909,11.092727272727272
September,2023,1115.8225,1130.2195,1106.2885,1118.25,10.0985
September,2024,2214.4161904761904,2237.582380952381,2189.082857142857,2211.8285714285716,12.203809523809522
September,2025,1978.7272727272727,1999.1454545454544,1960.290909090909,1977.2181818181818,7.020454545454545
October,2021,924.0115,935.45,911.503,921.568,15.972
October,2022,686.2763157894736,695.8647368421052,677.2994736842105,687.0694736842105,14.183157894736842
October,2023,1154.3625,1165.907,1141.335,1151.535,7.777500000000001
October,2024,2172.705,2203.7636363636366,2138.2090909090907,2172.0477272727276,9.283636363636363
October,2025,1947.1238095238095,1965.5095238095237,1928.4142857142856,1944.9904761904763,8.263809523809524
November,2021,903.0835000000001,910.7405000000001,889.2565000000001,899.0409999999999,9.401
November,2022,715.9828571428571,725.4090476190477,706.9790476190476,716.38,17.79047619047619
November,2023,1189.241,1204.85,1177.1895,1190.4695,16.303
November,2024,2084.032105263158,2101.8410526315793,2046.1105263157895,2069.588947368421,10.373684210526315
November,2025,2025.8947368421052,2043.7368421052631,2005.7894736842106,2024.657894736842,14.464210526315789
December,2021,879.3078260869567,891.3386956521739,867.528695652174,878.8369565217391,15.068695652173913
December,2022,741.4527272727273,749.3163636363636,731.5713636363636,739.4004545454545,10.058636363636364
December,2023,1252.8854999999999,1267.94,1237.356,1250.8215,11.75
December,2024,2120.057142857143,2149.6066666666666,2098.204761904762,2130.899523809524,10.57952380952381
December,2025,2098.2000000000003,2109.7999999999997,2077.7772727272727,2094.6136363636365,7.805454545454546
