Month,Year,Open,High,Low,Close,Volume
January,2021,563.4935,571.2520000000001,553.5485,562.072,81.3355
January,2022,795.7135000000001,805.8505,785.4739999999999,794.5020000000001,37.628
January,2023,991.4519047619049,1000.7519047619048,982.5504761904763,992.3404761904762,21.56095238095238
January,2024,1294.6780952380952,1313.7466666666667,1281.3314285714284,1300.7890476190476,22.430476190476192
January,2025,1775.9395652173914,1790.0630434782609,1750.7017391304348,1767.48,19.14608695652174
January,2026,1680.9619047619046,1693.3666666666666,1657.1495238095238,1672.407619047619,25.814761904761905
February,2021,588.3354999999999,597.6565,578.8655,586.6465000000001,93.065
February,2022,831.6235,841.7215,822.6379999999999,832.9334999999999,36.093
February,2023,968.8584999999999,976.059,957.344,965.2014999999999,21.545499999999997
February,2024,1485.432857142857,1499.41,1472.0119047619048,1489.8228571428572,24.416666666666668
February,2025,1689.489,1706.8925,1663.4285,1679.6495,23.067500000000003
February,2026,1714.5720000000001,1725.6529999999998,1699.6884999999997,1713.315,22.1475
March,2021,572.8047619047619,579.2076190476191,565.1,571.4514285714286,57.470000000000006
March,2022,848.822380952381,861.445238095238,839.452857142857,850.7280952380953,35.438095238095244
March,2023,938.3933333333334,945.6619047619048,931.1690476190475,939.5057142857142,21.254285714285714
March,2024,1549.138888888889,1564.947222222222,1532.0094444444444,1549.0594444444444,29.519444444444446
March,2025,1667.8336842105264,1683.7784210526315,1652.137894736842,1669.6636842105263,19.202105263157897
March,2026,1780.1473684210528,1801.863157894737,1765.3526315789472,1783.957894736842,30.436842105263157
April,2021,600.5589473684211,610.2984210526316,593.2015789473684,602.0415789473685,85.78
April,2022,887.2873684210526,900.0042105263159,879.611052631579,888.2652631578948,20.316315789473684
April,2023,966.7317647058823,973.5282352941176,957.5758823529412,966.0529411764707,19.886470588235294
April,2024,1533.3895,1544.7075,1512.898,1526.9945,28.227999999999998
April,2025,1719.7442105263158,1746.517894736842,1696.8573684210526,1724.5157894736842,30.599999999999998
April,2026,1695.08,1721.42,1671.1299999999999,1700.53,61.6125
May,2021,654.71,663.1625,646.144,653.6105,93.7885
May,2022,857.3433333333332,869.3314285714285,845.4909523809524,856.1714285714285,41.96523809523809
May,2023,928.4995454545456,936.0209090909091,920.0154545454545,927.8781818181818,28.50909090909091
May,2024,1481.8538095238096,1495.3619047619047,1463.3309523809523,1479.0523809523809,29.42238095238095
May,2025,1716.8738095238095,1733.5523809523809,1693.945238095238,1712.6485714285716,31.34
May,2026,1853.1999999999998,1868.1,1832.257142857143,1849.6761904761904,27.414761904761907
June,2021,640.7031818181817,646.1045454545455,635.595,640.4945454545455,38.46318181818182
June,2022,801.7386363636364,811.430909090909,792.3268181818181,801.1104545454546,27.96863636363636
June,2023,968.962380952381,977.3585714285714,962.0733333333334,971.0195238095238,27.908095238095235
June,2024,1471.2878947368422,1482.0731578947368,1451.7505263157893,1467.5978947368421,25.408947368421053
June,2025,1656.952380952381,1670.6795238095237,1643.017619047619,1657.1457142857141,24.19047619047619
June,2026,1820.7863636363638,1833.4272727272728,1806.9272727272728,1820.5318181818182,21.35181818181818
July,2021,649.8647619047618,660.7995238095239,643.8842857142857,654.7623809523809,48.694761904761904
July,2022,830.5638095238095,840.8961904761904,823.0452380952381,833.7942857142857,28.612857142857145
July,2023,1049.1938095238095,1059.4285714285713,1040.7519047619048,1051.077619047619,25.564285714285717
July,2024,1566.4495454545454,1585.9004545454545,1552.6613636363638,1575.8845454545453,19.512272727272727
July,2025,1676.0095652173914,1689.1830434782607,1664.4678260869566,1677.8026086956522,18.29478260869565
July,2026,1877.9,1887.4,1860.2,1866.2,12.3
August,2021,741.3419047619047,751.7409523809523,732.977619047619,742.5023809523809,51.91761904761905
August,2022,872.3155,879.683,862.5645000000001,869.9084999999999,26.561500000000002
August,2023,1106.7822727272726,1115.908181818182,1095.7581818181818,1106.0454545454545,23.247272727272726
August,2024,1725.5838095238096,1739.8304761904762,1711.4509523809525,1726.8204761904763,22.68857142857143
August,2025,1614.8526315789475,1629.048947368421,1596.0273684210526,1610.972105263158,27.16105263157895
September,2021,743.6885714285714,752.1028571428571,736.2528571428571,743.8214285714286,37.614761904761906
September,2022,862.7395454545455,874.6981818181819,855.2009090909091,864.6381818181818,32.11045454545455
September,2023,1107.5615,1117.2145,1100.882,1109.3605,21.03
September,2024,1825.6999999999998,1840.807619047619,1813.5590476190475,1827.4480952380954,19.484285714285715
September,2025,1594.2027272727273,1606.419090909091,1582.307272727273,1594.7686363636365,27.060909090909092
October,2021,786.441,795.7515000000001,775.339,784.1524999999999,29.6005
October,2022,937.1905263157894,945.9231578947368,929.6263157894738,938.5626315789473,26.88157894736842
October,2023,1102.1315,1109.5635,1090.7535,1099.4155,17.16
October,2024,1866.6286363636364,1883.3709090909092,1844.8522727272727,1861.2836363636363,17.413636363636364
October,2025,1655.9009523809523,1672.1857142857143,1646.432857142857,1661.151904761905,19.58095238095238
November,2021,757.33,766.3,744.75,754.1560000000001,39.022000000000006
November,2022,989.4466666666667,999.3461904761905,980.6966666666667,989.9842857142856,22.228571428571428
November,2023,1145.638,1157.734,1139.4065,1150.979,18.232
November,2024,1767.2563157894738,1785.4589473684211,1741.9536842105265,1759.7631578947369,20.183157894736844
November,2025,1736.0494736842106,1750.0526315789473,1724.6542105263159,1740.4052631578945,18.447894736842105
December,2021,740.4,751.2469565217391,732.2673913043479,742.5369565217391,44.74782608695652
December,2022,973.8336363636364,980.66,962.5181818181819,970.2690909090908,26.17863636363636
December,2023,1211.085,1220.4355,1199.2455,1210.112,19.589
