Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,469.4295,477.7595,459.6545,466.846,59.4015
2,February,2021,530.8815000000001,548.356,523.0730000000001,539.757,100.015
3,March,2021,695.8390476190476,707.882380952381,680.0961904761905,693.6042857142858,71.03999999999999
4,April,2021,700.1026315789474,715.251052631579,688.3668421052632,702.1568421052631,55.53052631578947
5,May,2021,652.7585,661.0255,641.2565000000001,647.8615,57.2205
6,June,2021,674.4372727272727,682.4840909090909,666.475,674.1359090909091,24.199545454545454
7,July,2021,710.7428571428571,719.9461904761904,701.2819047619048,710.5633333333333,25.813333333333336
8,August,2021,774.1952380952381,786.3028571428572,764.3538095238096,773.4385714285714,41.56476190476191
9,September,2021,794.1709523809524,806.2766666666668,782.7085714285715,794.4352380952381,30.564285714285717
10,October,2021,925.074,947.7795,902.0475,920.04,47.7405
11,November,2021,851.7299999999999,862.6584999999999,837.5115,848.0165000000001,16.111
12,December,2021,839.0504347826087,848.6760869565217,827.5600000000001,837.0660869565218,11.033478260869567
1,January,2022,888.9715,903.7905000000001,874.7325000000001,890.9565,17.8355
2,February,2022,847.2235000000001,859.609,831.2209999999999,842.9870000000001,14.131499999999999
3,March,2022,859.7395238095238,873.2080952380952,849.7066666666667,863.7080952380952,13.847142857142858
4,April,2022,912.3510526315789,924.3805263157894,898.9594736842105,909.8563157894737,9.129473684210527
5,May,2022,906.9390476190476,922.7585714285715,889.2480952380952,904.0080952380952,22.175714285714285
6,June,2022,824.8818181818183,831.81,808.2268181818182,816.2595454545454,10.356818181818182
7,July,2022,799.4409523809524,807.8961904761904,791.8499999999999,802.1938095238095,8.735238095238095
8,August,2022,991.658,1015.9594999999999,979.189,999.217,33.305
9,September,2022,1057.1577272727272,1074.1404545454545,1036.7104545454547,1054.290909090909,21.504545454545454
10,October,2022,1093.5484210526317,1107.9147368421054,1075.8157894736842,1091.2068421052631,23.663684210526316
11,November,2022,1013.332857142857,1021.1928571428571,998.8414285714285,1005.9952380952382,9.976666666666667
12,December,2022,941.5195454545454,950.2831818181818,926.3813636363636,935.4513636363637,9.949545454545454
1,January,2023,909.2847619047619,916.3142857142857,900.572380952381,909.187619047619,6.394761904761904
2,February,2023,941.7085000000001,955.4005,928.4110000000001,941.0875,11.004999999999999
3,March,2023,918.4266666666666,926.267619047619,908.2385714285714,917.4842857142856,5.860952380952381
4,April,2023,916.2705882352941,923.1094117647059,905.1729411764707,914.4082352941177,10.748235294117647
5,May,2023,924.6509090909091,932.2463636363635,913.5718181818181,922.3322727272728,9.616363636363637
6,June,2023,941.6566666666668,951.0209523809523,932.6247619047618,941.8266666666667,15.29904761904762
7,July,2023,960.7742857142856,970.4719047619047,952.1028571428571,960.9385714285714,11.798095238095238
8,August,2023,983.7759090909091,992.6472727272728,973.3463636363635,983.0254545454546,11.452727272727273
