Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,573.6965,579.304,562.723,569.2925,39.0595
2,February,2021,582.6524999999999,590.644,572.4064999999999,580.423,52.408500000000004
3,March,2021,592.4066666666668,600.4147619047619,583.5828571428572,591.5971428571428,39.03476190476191
4,April,2021,635.8015789473684,645.4194736842105,627.63,636.2857894736842,35.16368421052632
5,May,2021,618.8585,626.0955,610.1075,618.4995,38.002500000000005
6,June,2021,692.0172727272727,699.4772727272727,686.039090909091,694.2990909090909,26.21272727272727
7,July,2021,735.3,740.8199999999999,727.0028571428571,733.9014285714286,17.424761904761905
8,August,2021,772.2385714285714,782.9257142857142,764.9942857142856,775.5342857142857,30.967142857142854
9,September,2021,827.6985714285713,832.8666666666667,817.7019047619049,824.0980952380953,15.859523809523811
10,October,2021,788.699,797.5654999999999,776.9975000000001,785.3489999999999,24.7725
11,November,2021,790.201,798.228,778.1945,787.6505,14.95
12,December,2021,714.7900000000001,721.1804347826088,704.3708695652174,712.2282608695652,14.764347826086956
1,January,2022,702.692,712.6375,690.8415,700.1895,27.161
2,February,2022,681.895,693.3505,673.1324999999999,683.7325,23.4375
3,March,2022,697.4066666666668,708.8204761904761,686.1809523809524,698.7128571428572,28.06190476190476
4,April,2022,775.4436842105264,784.8984210526315,765.6221052631579,776.44,17.274736842105266
5,May,2022,722.4890476190476,730.7233333333334,709.0685714285714,717.1257142857143,18.786666666666665
6,June,2022,713.1936363636364,721.355,702.6068181818182,710.5718181818182,13.359090909090908
7,July,2022,746.1357142857144,756.6247619047618,740.9557142857143,750.8033333333334,13.647619047619049
8,August,2022,768.613,777.7495,761.219,769.8824999999999,26.079500000000003
9,September,2022,788.2159090909091,797.1818181818181,777.7522727272727,786.3813636363636,20.262272727272727
10,October,2022,745.9021052631579,751.7542105263158,736.3205263157895,742.4968421052632,13.512105263157896
11,November,2022,752.4885714285714,758.95,745.4357142857143,752.817619047619,16.294761904761906
12,December,2022,772.8345454545455,776.9145454545454,764.6213636363635,770.4445454545454,11.078636363636363
1,January,2023,728.3904761904762,732.7476190476191,721.5804761904762,726.1309523809524,10.605238095238095
2,February,2023,702.629,706.7855,695.495,700.5654999999999,10.522
3,March,2023,680.9233333333333,686.5928571428572,676.0328571428572,680.6800000000001,11.594761904761905
4,April,2023,698.0341176470588,704.3611764705882,692.7817647058824,700.1170588235294,15.174117647058821
5,May,2023,757.9986363636364,763.9522727272728,753.8259090909091,760.0659090909091,9.498636363636363
6,June,2023,813.8471428571429,822.8004761904763,805.6985714285713,815.0057142857142,18.765238095238097
7,July,2023,836.1752380952381,841.9138095238095,826.3461904761905,833.6419047619047,15.874285714285715
8,August,2023,825.6218181818182,830.7872727272727,818.3349999999999,824.5609090909091,10.288181818181819
9,September,2023,852.4254999999999,860.918,843.383,852.5305000000001,16.180500000000002
10,October,2023,867.708,876.2055,860.1775,869.074,14.872
11,November,2023,900.624,908.9905000000001,894.732,901.8389999999999,14.162
12,December,2023,949.3684999999999,961.0405000000001,942.1344999999999,952.2819999999999,16.9805
1,January,2024,1104.0190476190478,1114.884761904762,1090.6495238095238,1102.567142857143,17.335714285714285
2,February,2024,1125.2071428571428,1138.194761904762,1111.0938095238096,1127.6157142857144,15.666666666666666
3,March,2024,1154.0377777777778,1165.082777777778,1133.62,1147.32,21.595
4,April,2024,1097.3755,1111.856,1084.702,1101.623,25.3875
5,May,2024,1072.1490476190477,1081.4204761904762,1057.4242857142858,1069.6385714285714,19.094285714285714
6,June,2024,1094.2857894736842,1103.7621052631578,1079.2768421052633,1092.1536842105263,17.012105263157896
7,July,2024,1146.1163636363638,1159.269090909091,1132.4340909090909,1148.8854545454544,20.605
8,August,2024,1172.374761904762,1184.0433333333333,1160.9704761904763,1172.4642857142858,11.844285714285714
9,September,2024,1188.6004761904762,1199.2528571428572,1177.2271428571428,1185.22,19.653809523809525
10,October,2024,1062.5377272727274,1071.6518181818183,1044.2772727272727,1054.7204545454545,19.255454545454544
11,November,2024,950.2415789473685,960.4536842105263,937.9084210526315,947.4973684210527,13.057894736842105
12,December,2024,913.7590476190476,920.46,902.1519047619047,910.6828571428572,15.616666666666665
1,January,2025,942.315652173913,956.6739130434783,932.2052173913044,946.9552173913044,18.811304347826084
2,February,2025,1005.202,1015.702,991.6595,1003.2104999999999,15.545499999999999
3,March,2025,943.327894736842,953.1815789473685,933.8784210526316,944.33,17.821578947368423
4,April,2025,1081.546842105263,1101.8347368421053,1069.155789473684,1091.1768421052632,22.09684210526316
5,May,2025,1119.54,1133.2166666666667,1107.2980952380954,1118.824761904762,12.89809523809524
6,June,2025,1093.9342857142856,1105.9185714285716,1085.1738095238095,1096.054761904762,10.445714285714287
7,July,2025,1075.1595652173914,1085.3034782608695,1063.595652173913,1073.7582608695652,12.09086956521739
8,August,2025,1059.6352631578948,1069.867894736842,1050.4536842105263,1059.5247368421053,7.453684210526316
9,September,2025,1096.9409090909091,1107.6586363636363,1085.84,1099.05,12.350454545454545
10,October,2025,1135.1652380952382,1148.5761904761905,1126.7947619047618,1137.9566666666667,11.443809523809524
11,November,2025,1160.6226315789472,1172.0563157894737,1145.23,1161.7015789473683,19.265263157894736
12,December,2025,1154.4418181818182,1165.8086363636364,1145.5745454545454,1156.1000000000001,8.504090909090909
1,January,2026,1166.6519047619047,1181.1633333333334,1152.537619047619,1164.3104761904763,14.32904761904762
2,February,2026,1142.6215,1156.078,1132.6615,1145.27,8.973
3,March,2026,1066.6173684210526,1080.1547368421052,1054.1273684210526,1065.9847368421051,14.741578947368419
4,April,2026,1096.1799999999998,1113.523,1085.6195,1102.853,16.832
5,May,2026,1191.0657142857144,1205.767142857143,1178.9209523809525,1190.4061904761904,29.455238095238094
6,June,2026,1122.418181818182,1133.790909090909,1108.9772727272727,1118.0681818181818,16.435
7,July,2026,1078.9,1094.0,1072.1,1090.9,22.02
