Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,78.6425,79.842,76.6115,78.0145,340.758
2,February,2021,84.83099999999999,86.8055,83.071,85.1995,510.48150000000004
3,March,2021,100.77190476190476,102.78904761904762,97.80428571428571,100.27523809523808,760.5138095238095
4,April,2021,94.17421052631579,95.88368421052631,92.45473684210526,94.06947368421052,451.2794736842105
5,May,2021,100.1975,101.811,98.5125,100.049,389.582
6,June,2021,114.64045454545455,116.99136363636363,112.29954545454547,114.69681818181817,677.4731818181818
7,July,2021,119.64047619047618,121.01,118.04523809523809,119.21904761904761,270.4104761904762
8,August,2021,126.14238095238095,127.66428571428571,123.81476190476191,125.80999999999999,327.6804761904762
9,September,2021,132.22571428571428,135.3347619047619,130.28714285714287,133.08761904761906,336.15
10,October,2021,199.722,207.86399999999998,191.53050000000002,199.973,1298.338
11,November,2021,227.42199999999997,231.60999999999999,222.1165,226.516,682.307
12,December,2021,215.34391304347827,217.6021739130435,211.88347826086957,214.59782608695653,314.88347826086954
1,January,2022,228.7515,233.23049999999998,224.996,229.548,320.2265
2,February,2022,226.19650000000001,230.06,221.3545,225.13000000000002,392.6195
3,March,2022,224.12999999999997,227.0009523809524,221.11047619047616,223.98761904761903,213.4509523809524
4,April,2022,252.80578947368417,257.9842105263158,246.71526315789475,251.73578947368424,581.4326315789473
5,May,2022,224.78,228.3685714285714,219.77857142857144,223.9895238095238,269.1223809523809
6,June,2022,211.93727272727273,214.8959090909091,207.91136363636363,210.8181818181818,178.24681818181818
7,July,2022,215.4395238095238,217.94238095238094,213.27,215.77142857142857,147.0609523809524
8,August,2022,225.339,228.977,222.80349999999999,225.9085,187.01299999999998
9,September,2022,228.35136363636363,231.0459090909091,224.5563636363636,227.11772727272728,198.82227272727275
10,October,2022,214.56578947368422,216.3857894736842,211.91263157894738,214.20526315789473,102.1236842105263
11,November,2022,220.25809523809525,221.8490476190476,218.25238095238097,219.8819047619048,88.46523809523809
12,December,2022,211.9222727272727,213.69136363636363,208.77636363636364,210.76681818181817,108.91045454545456
1,January,2023,201.7109523809524,203.17190476190476,199.5847619047619,201.51857142857145,81.19761904761906
2,February,2023,200.308,201.699,197.1935,199.3385,93.8305
3,March,2023,196.66476190476192,198.3442857142857,194.1752380952381,195.84285714285713,92.14142857142858
4,April,2023,191.3829411764706,192.68470588235294,189.85,191.52647058823527,66.99235294117648
5,May,2023,202.07,203.76454545454544,200.0209090909091,202.02954545454543,89.91954545454546
6,June,2023,216.67142857142858,218.3542857142857,214.58523809523808,216.28666666666663,91.02904761904763
7,July,2023,219.7990476190476,221.87714285714287,217.7604761904762,219.74285714285716,118.35619047619048
8,August,2023,235.67590909090907,238.26409090909092,232.52454545454546,235.27363636363637,135.0040909090909
9,September,2023,257.8295,260.8825,254.0845,257.1685,141.616
10,October,2023,247.07750000000001,248.6165,243.6605,245.5895,71.0605
11,November,2023,252.349,255.0725,249.82150000000001,252.651,105.005
12,December,2023,314.356,320.7255,308.647,315.4125,326.729
1,January,2024,345.6480952380952,350.64285714285717,340.0242857142857,345.83714285714285,198.19809523809522
2,February,2024,376.9109523809524,381.00428571428574,369.7757142857143,374.58619047619044,155.25047619047618
3,March,2024,384.31111111111113,391.59722222222223,376.91,384.82944444444445,248.38444444444445
4,April,2024,418.2585,424.945,414.91450000000003,420.1005,168.31900000000002
5,May,2024,430.91047619047623,435.4771428571429,423.5942857142857,429.26238095238097,140.95095238095237
6,June,2024,435.4878947368421,440.2173684210526,425.41105263157897,432.50315789473683,152.5536842105263
7,July,2024,429.58409090909095,434.1968181818182,423.00772727272727,428.67681818181813,117.39909090909092
8,August,2024,423.60333333333335,427.7114285714286,417.38190476190476,421.64571428571423,152.90714285714287
9,September,2024,439.1547619047619,445.4852380952381,433.72190476190474,440.1304761904762,163.16571428571427
10,October,2024,446.9877272727272,453.4231818181818,438.02000000000004,444.66409090909093,136.11636363636364
11,November,2024,418.83210526315787,423.32631578947365,410.90473684210525,415.42526315789473,105.18736842105262
12,December,2024,414.2947619047619,418.0738095238095,408.7723809523809,412.79952380952386,96.97142857142858
1,January,2025,364.0604347826087,368.7865217391304,357.8560869565218,362.3695652173913,76.82565217391304
2,February,2025,350.37800000000004,354.74,343.04650000000004,348.4075,75.30499999999999
3,March,2025,357.1815789473684,361.91105263157897,352.95157894736843,357.5405263157895,60.573684210526324
4,April,2025,373.90526315789475,380.9747368421053,369.2363157894737,375.2684210526316,69.97736842105263
5,May,2025,387.4409523809524,392.8933333333333,382.8014285714286,387.8233333333333,69.02142857142857
6,June,2025,394.3614285714286,398.9585714285714,391.0838095238095,395.2047619047619,57.70095238095238
7,July,2025,399.35391304347826,403.13391304347823,396.4091304347826,399.86,55.16652173913043
8,August,2025,383.071052631579,385.61894736842106,378.78210526315786,381.84473684210525,46.7378947368421
9,September,2025,385.77272727272725,389.3586363636363,383.32954545454544,386.17954545454546,38.17818181818182
10,October,2025,393.9242857142857,397.16809523809525,390.7709523809524,394.28333333333336,48.068571428571424
11,November,2025,389.43105263157895,392.69894736842105,385.42263157894735,388.68894736842105,48.95789473684211
12,December,2025,378.38090909090903,380.93136363636364,375.50500000000005,378.1609090909091,36.39681818181818
1,January,2026,365.58000000000004,368.8176190476191,361.17809523809524,364.86333333333334,42.43857142857143
2,February,2026,370.303,374.57399999999996,366.8745,371.71950000000004,34.636
3,March,2026,382.69894736842105,390.9984210526316,378.31157894736845,384.0978947368421,99.77105263157895
4,April,2026,415.3915,421.466,409.75200000000007,417.08549999999997,98.59400000000001
5,May,2026,420.29999999999995,425.08190476190475,415.93,420.1142857142857,58.17761904761905
6,June,2026,400.2745454545455,402.5663636363636,395.6918181818182,398.5486363636364,49.379090909090905
7,July,2026,386.25,387.05,374.3,375.45,97.53
