Month_Number,Month,Year,Open,High,Low,Close,Volume
1,January,2021,670.383,681.379,654.01,665.698,5.7204999999999995
2,February,2021,718.4010000000001,738.476,706.6659999999999,726.037,7.5735
3,March,2021,841.4990476190476,862.3161904761904,819.6190476190476,834.0571428571429,10.24047619047619
4,April,2021,739.818947368421,753.421052631579,725.971052631579,741.5721052631579,9.546315789473685
5,May,2021,794.2025,810.404,779.9815,795.425,9.3045
6,June,2021,854.5609090909091,867.3327272727273,841.7845454545454,853.7622727272727,5.674545454545455
7,July,2021,897.9895238095238,912.8,881.8838095238095,897.6171428571428,8.34952380952381
8,August,2021,915.3942857142856,933.9352380952381,897.6395238095238,917.8604761904762,10.738095238095237
9,September,2021,999.0361904761904,1014.8804761904761,980.6757142857142,997.452380952381,6.980952380952381
10,October,2021,1080.9615,1107.902,1053.9665,1074.107,9.480500000000001
11,November,2021,1098.19,1118.0485,1076.777,1096.5335,11.2485
12,December,2021,1030.7047826086957,1045.6239130434783,1010.7117391304347,1027.7708695652175,6.259565217391304
1,January,2022,1100.4655,1125.456,1079.665,1101.297,7.816
2,February,2022,1050.537,1073.046,1031.764,1057.5425,5.7385
3,March,2022,1189.832857142857,1212.6433333333332,1168.6228571428571,1194.3885714285714,8.231904761904762
4,April,2022,1263.0036842105262,1284.4136842105263,1242.9026315789474,1260.9536842105263,7.625789473684211
5,May,2022,1093.3757142857144,1109.5538095238096,1064.7238095238095,1086.587142857143,6.670476190476189
6,June,2022,1077.3259090909091,1093.7236363636364,1055.5681818181818,1073.865,6.286818181818182
7,July,2022,1188.5038095238094,1209.1019047619047,1174.872380952381,1195.2614285714287,5.937142857142858
8,August,2022,1349.1529999999998,1377.1645,1326.551,1353.56,10.9895
9,September,2022,1415.5554545454545,1436.5363636363636,1392.3818181818183,1413.8090909090909,7.070454545454546
10,October,2022,1423.9873684210527,1444.643157894737,1404.5731578947368,1425.478947368421,5.413157894736842
11,November,2022,1450.3609523809525,1466.647619047619,1427.4871428571428,1446.5338095238094,7.7057142857142855
12,December,2022,1408.8045454545454,1421.7972727272727,1387.7481818181818,1404.8927272727271,4.962272727272727
1,January,2023,1231.5395238095239,1241.009523809524,1206.3871428571429,1221.1233333333334,6.806190476190476
2,February,2023,1291.894,1310.5355,1273.3880000000001,1292.3335000000002,7.4735
3,March,2023,1321.1095238095238,1341.7133333333334,1302.7190476190476,1323.0933333333332,4.816666666666667
4,April,2023,1367.2176470588236,1376.98,1348.3564705882354,1364.4670588235294,4.4935294117647056
5,May,2023,1469.0559090909092,1487.9340909090909,1456.9172727272728,1475.7486363636365,4.917727272727273
