S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,890.24,893.1,881.26,884.3,28.81
2,04-01-2021,891.23,903.69,881.44,887.12,61.33
3,05-01-2021,887.25,889.24,870.99,879.35,48.62
4,06-01-2021,887.25,887.25,860.93,875.92,59.92
5,07-01-2021,879.27,904.09,878.47,896.02,60.16
6,08-01-2021,900.8,923.63,892.03,914.32,82.43
7,11-01-2021,917.25,923.33,892.73,895.83,54.24
8,12-01-2021,897.61,904.18,889.49,893.13,57.7
9,13-01-2021,897.69,900.2,868.32,876.64,51.41
10,14-01-2021,878.67,890.23,864.81,872.03,56.84
11,15-01-2021,872.77,879.89,858.33,860.94,51.97
12,18-01-2021,860.94,860.94,824.81,832.87,63.44
13,19-01-2021,837.4,895.02,837.4,889.65,137.97
14,20-01-2021,891.03,899.71,881.06,891.06,78.65
15,21-01-2021,896.72,935.98,892.28,902.48,164.54
16,22-01-2021,904.19,918.5,893.74,904.29,83.98
17,25-01-2021,911.57,931.6,905.19,917.04,78.11
18,27-01-2021,913.66,925.62,901.41,909.79,61.66
19,28-01-2021,899.21,918.67,879.03,892.76,84.47
20,29-01-2021,901.4,908.12,864.87,869.58,72.74
21,01-02-2021,872.29,980.84,861.13,969.17,156.54
22,02-02-2021,979.73,995.91,928.62,944.7,139.44
23,03-02-2021,953.2,960.95,940.61,950.65,62.35
24,04-02-2021,948.06,972.98,944.12,967.05,60.47
25,05-02-2021,974.97,990.92,952.64,969.21,92.26
26,08-02-2021,971.98,1007.87,970.79,999.0,98.59
27,09-02-2021,1003.58,1003.68,985.14,991.09,51.26
28,10-02-2021,987.04,1032.25,987.04,1019.63,143.07
29,11-02-2021,1007.37,1038.57,1007.37,1018.5,71.55
30,12-02-2021,1021.83,1029.92,1013.65,1024.7,38.03
31,15-02-2021,1029.82,1054.63,1024.82,1050.51,53.64
32,16-02-2021,1046.75,1049.94,1032.89,1042.82,35.86
33,17-02-2021,1038.77,1046.63,1008.09,1015.41,58.23
34,18-02-2021,1027.81,1027.81,1010.36,1016.74,43.47
35,19-02-2021,1011.86,1039.54,1010.86,1021.87,62.33
36,22-02-2021,1019.83,1021.75,992.93,996.96,42.69
37,23-02-2021,1001.99,1016.34,989.84,997.77,34.26
38,24-02-2021,999.9,1021.83,998.4,1016.8,27.0
39,25-02-2021,1030.8,1034.58,1010.02,1023.27,35.48
40,26-02-2021,991.92,1008.34,957.03,961.87,84.65
41,01-03-2021,976.87,981.81,958.39,974.38,32.24
42,02-03-2021,981.95,993.42,974.88,984.64,29.7
43,03-03-2021,989.57,1041.26,985.98,1036.34,50.41
44,04-03-2021,1011.86,1024.82,1004.66,1009.86,41.21
45,05-03-2021,1004.88,1012.95,986.94,992.73,35.51
46,08-03-2021,993.91,1001.46,977.49,980.86,26.4
47,09-03-2021,996.9,1008.86,982.97,993.83,30.62
48,10-03-2021,999.4,1006.35,989.99,996.05,24.46
49,12-03-2021,1005.03,1018.45,980.95,990.33,45.43
50,15-03-2021,993.81,993.81,951.45,965.91,54.59
51,16-03-2021,969.49,975.54,955.53,958.35,37.06
52,17-03-2021,960.02,963.19,945.07,949.56,29.34
53,18-03-2021,957.03,970.49,934.3,940.1,40.11
54,19-03-2021,932.11,946.05,918.31,941.14,48.81
55,22-03-2021,942.07,946.56,928.32,937.67,29.3
56,23-03-2021,939.48,947.72,935.33,937.61,29.65
57,24-03-2021,934.1,934.96,915.08,917.36,33.54
58,25-03-2021,919.64,922.14,893.23,902.95,38.2
59,26-03-2021,911.17,947.76,911.17,943.81,67.86
60,30-03-2021,951.74,961.51,941.08,947.29,35.65
61,31-03-2021,948.29,968.55,942.07,963.87,42.41
62,01-04-2021,969.99,979.56,963.76,975.92,31.01
63,05-04-2021,972.98,973.37,912.17,945.23,61.22
64,06-04-2021,952.14,959.52,944.57,949.0,34.41
65,07-04-2021,949.0,962.85,943.7,951.01,30.0
66,08-04-2021,956.03,970.5,954.54,962.49,35.36
67,09-04-2021,958.13,968.49,953.14,959.92,32.87
68,12-04-2021,939.08,943.05,900.79,913.48,56.68
69,13-04-2021,917.15,981.7,916.16,977.63,83.09
70,15-04-2021,972.15,980.36,956.73,970.96,58.75
71,16-04-2021,973.48,984.94,973.48,979.43,40.01
72,19-04-2021,947.61,962.41,936.35,944.06,69.74
73,20-04-2021,957.03,991.47,957.03,978.9,79.87
74,22-04-2021,967.0,988.12,958.03,982.33,58.22
75,23-04-2021,970.99,1011.1,970.99,988.6,62.8
76,26-04-2021,996.11,1009.37,987.15,997.08,41.96
77,27-04-2021,996.9,1010.16,993.39,1006.01,34.28
78,28-04-2021,1016.84,1058.31,1011.97,1045.68,111.39
79,29-04-2021,1050.74,1126.5,1048.74,1114.2,169.65
80,30-04-2021,1096.6,1119.03,1083.51,1100.75,83.54
81,03-05-2021,1086.73,1107.65,1078.07,1100.75,39.69
82,04-05-2021,1116.53,1118.41,1083.83,1095.24,52.21
83,05-05-2021,1107.66,1116.0,1088.14,1108.0,30.78
84,06-05-2021,1106.56,1115.95,1095.6,1099.38,22.88
85,07-05-2021,1101.58,1135.76,1097.58,1128.34,34.34
86,10-05-2021,1135.47,1151.33,1124.51,1129.69,43.2
87,11-05-2021,1115.94,1127.56,1110.47,1115.84,19.87
88,12-05-2021,1115.54,1128.99,1101.82,1105.36,22.7
89,14-05-2021,1107.66,1112.92,1083.44,1093.75,31.36
90,17-05-2021,1093.6,1133.98,1090.88,1121.45,31.8
91,18-05-2021,1131.05,1155.31,1125.52,1136.15,40.4
92,19-05-2021,1135.47,1139.86,1113.55,1118.04,22.76
93,20-05-2021,1122.51,1126.5,1109.62,1119.31,17.79
94,21-05-2021,1126.17,1137.97,1117.83,1123.03,27.75
95,24-05-2021,1123.06,1132.98,1106.07,1113.22,21.42
96,25-05-2021,1121.02,1136.97,1116.66,1134.06,39.42
97,26-05-2021,1136.47,1194.29,1134.99,1186.95,101.53
98,27-05-2021,1187.31,1193.11,1169.57,1185.2,40.8
99,28-05-2021,1188.81,1198.77,1164.38,1167.69,26.33
100,31-05-2021,1167.69,1181.84,1158.2,1176.98,24.12
101,01-06-2021,1179.34,1191.06,1159.11,1179.33,30.24
102,02-06-2021,1167.28,1182.33,1166.53,1178.7,18.34
103,03-06-2021,1186.22,1188.7,1174.41,1178.33,18.38
104,04-06-2021,1181.83,1215.23,1174.85,1211.8,41.08
105,07-06-2021,1184.32,1197.16,1164.85,1179.19,51.47
106,08-06-2021,1186.32,1186.32,1163.39,1169.68,28.96
107,09-06-2021,1170.37,1180.14,1139.51,1152.31,30.83
108,10-06-2021,1151.52,1217.02,1146.48,1195.6,63.0
109,11-06-2021,1196.29,1204.26,1181.62,1187.06,35.3
110,14-06-2021,1181.43,1197.78,1163.55,1188.92,28.88
111,15-06-2021,1191.2,1204.75,1172.86,1176.22,31.48
112,16-06-2021,1177.34,1194.79,1173.86,1181.95,24.75
113,17-06-2021,1171.36,1190.02,1170.36,1178.2,22.02
114,18-06-2021,1182.33,1206.25,1168.46,1196.22,48.96
115,21-06-2021,1176.35,1216.2,1174.04,1211.88,29.49
116,22-06-2021,1216.12,1222.8,1204.36,1209.41,27.49
117,23-06-2021,1218.72,1236.16,1204.26,1224.42,37.86
118,24-06-2021,1224.42,1235.76,1212.73,1229.51,27.86
119,25-06-2021,1231.68,1248.12,1228.24,1244.79,21.87
120,28-06-2021,1246.13,1248.08,1228.19,1233.96,16.55
121,29-06-2021,1235.07,1245.13,1223.31,1226.18,15.72
122,30-06-2021,1230.78,1233.13,1202.77,1207.16,23.15
123,01-07-2021,1216.02,1216.02,1176.45,1177.99,32.15
124,02-07-2021,1193.2,1193.2,1161.49,1171.41,35.54
125,05-07-2021,1176.25,1190.5,1176.25,1188.62,15.59
126,06-07-2021,1185.32,1224.43,1183.46,1205.34,32.05
127,07-07-2021,1196.29,1236.06,1196.29,1233.58,40.48
128,08-07-2021,1228.48,1241.45,1220.51,1229.87,20.66
129,09-07-2021,1231.58,1287.52,1230.98,1281.81,79.19
130,12-07-2021,1285.22,1290.85,1270.26,1287.21,40.92
131,13-07-2021,1286.56,1296.17,1276.85,1287.26,27.42
132,14-07-2021,1282.58,1299.58,1281.48,1295.41,24.02
133,15-07-2021,1293.9,1307.26,1288.51,1292.2,17.8
134,16-07-2021,1292.2,1298.78,1268.94,1270.93,25.28
135,19-07-2021,1264.38,1278.34,1260.71,1268.48,18.82
136,20-07-2021,1268.87,1273.46,1250.08,1256.12,14.51
137,22-07-2021,1227.5,1306.26,1226.5,1302.73,52.49
138,23-07-2021,1300.68,1320.62,1290.81,1316.35,28.99
139,26-07-2021,1316.13,1353.67,1311.74,1348.65,42.12
140,27-07-2021,1349.25,1380.54,1346.46,1376.84,41.34
141,28-07-2021,1380.83,1396.1,1371.57,1393.07,31.95
