S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,505.58,508.84,503.03,504.28,57.61
2,01-07-2021,507.5,509.41,500.78,501.4,65.75
3,02-07-2021,504.23,511.33,498.86,503.66,133.09
4,05-07-2021,506.54,507.02,502.03,502.65,63.74
5,06-07-2021,502.22,506.25,499.92,504.71,104.94
6,07-07-2021,501.93,509.03,501.93,508.07,66.69
7,08-07-2021,508.45,511.14,502.27,503.95,54.01
8,09-07-2021,504.14,515.65,501.74,514.45,73.04
9,12-07-2021,517.04,517.04,507.16,508.12,89.33
10,13-07-2021,511.86,513.73,506.73,508.5,81.38
11,14-07-2021,507.5,509.8,505.24,508.5,66.67
12,15-07-2021,510.85,510.85,503.66,504.09,68.87
13,16-07-2021,505.58,521.31,504.57,519.15,112.51
14,19-07-2021,517.09,522.56,507.78,516.56,91.31
15,20-07-2021,514.64,514.98,501.74,504.38,76.46
16,22-07-2021,509.51,525.72,502.36,524.48,202.21
17,23-07-2021,525.43,537.86,511.09,526.01,332.01
18,26-07-2021,522.84,531.33,520.06,521.93,52.15
19,27-07-2021,523.61,523.61,514.35,518.58,58.35
20,28-07-2021,517.57,547.5,515.99,544.81,325.32
21,29-07-2021,550.76,553.26,542.03,544.09,158.44
22,30-07-2021,542.9,545.39,535.12,538.82,101.25
23,02-08-2021,542.99,546.78,537.23,542.18,63.72
24,03-08-2021,544.91,558.34,539.25,556.61,216.8
25,04-08-2021,551.63,563.04,547.12,551.05,218.17
26,05-08-2021,554.02,593.84,554.02,574.36,724.23
27,06-08-2021,570.33,591.87,564.58,583.19,290.56
28,09-08-2021,585.2,587.79,573.26,574.89,100.79
29,10-08-2021,577.72,602.47,574.07,596.91,345.14
30,11-08-2021,596.91,603.67,588.75,595.61,187.31
31,12-08-2021,597.67,603.38,591.92,597.82,84.3
32,13-08-2021,597.82,612.83,592.97,611.15,210.79
33,16-08-2021,612.78,617.82,606.31,608.27,105.06
34,17-08-2021,608.27,612.06,597.67,600.89,113.11
35,18-08-2021,600.46,608.23,595.61,597.63,71.37
36,20-08-2021,594.32,607.27,582.32,588.75,127.7
37,23-08-2021,593.26,604.87,582.9,597.34,127.91
38,24-08-2021,602.42,602.42,591.97,594.89,58.85
39,25-08-2021,597.05,597.05,586.16,587.55,81.28
40,26-08-2021,585.2,586.64,560.55,563.04,263.17
41,27-08-2021,564.86,580.79,561.27,570.96,164.44
42,30-08-2021,571.77,599.59,566.11,595.23,405.06
43,31-08-2021,600.6,640.94,599.59,637.06,607.82
44,01-09-2021,640.84,645.93,627.41,639.31,307.96
45,02-09-2021,642.72,646.36,637.06,639.41,189.51
46,03-09-2021,640.84,642.38,627.41,631.68,79.2
47,06-09-2021,637.39,638.69,626.84,627.99,102.23
48,07-09-2021,631.2,652.84,621.66,643.29,281.85
49,08-09-2021,650.44,656.0,637.97,640.7,208.77
50,09-09-2021,640.7,660.22,639.93,658.26,197.84
51,13-09-2021,663.87,668.67,657.97,665.12,197.05
52,14-09-2021,666.75,671.26,661.09,665.98,116.95
53,15-09-2021,668.67,705.07,667.85,696.01,567.97
54,16-09-2021,705.12,707.04,686.32,689.39,450.02
55,17-09-2021,691.69,704.88,691.69,698.55,266.49
56,20-09-2021,695.53,703.87,691.02,695.48,143.31
57,21-09-2021,693.51,710.64,692.65,697.11,142.17
58,22-09-2021,697.45,702.29,694.66,697.21,163.49
59,23-09-2021,703.59,710.01,693.8,697.25,264.97
60,24-09-2021,699.41,722.39,698.41,709.34,721.75
61,27-09-2021,714.45,715.33,701.89,706.19,112.82
62,28-09-2021,708.0,710.35,670.47,680.39,219.44
63,29-09-2021,681.22,686.11,673.55,678.39,167.3
64,30-09-2021,680.05,693.73,671.25,672.72,139.12
65,01-10-2021,671.79,671.79,652.53,660.6,149.52
66,04-10-2021,659.72,670.66,654.54,665.97,89.18
67,05-10-2021,668.91,687.52,665.0,683.42,255.99
68,06-10-2021,689.77,691.92,672.62,675.75,104.07
69,07-10-2021,680.0,686.3,675.65,676.82,81.22
