S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,517.9,518.6,506.42,507.96,23.02
2,01-07-2021,508.7,509.94,497.56,500.93,47.19
3,02-07-2021,504.64,509.24,498.85,504.84,29.6
4,05-07-2021,508.65,514.64,502.96,513.65,21.96
5,06-07-2021,515.63,527.26,513.89,515.82,46.48
6,07-07-2021,517.61,525.03,509.99,513.6,26.53
7,08-07-2021,517.11,520.03,505.04,509.04,22.76
8,09-07-2021,510.68,515.38,502.96,513.94,25.65
9,12-07-2021,518.1,521.12,509.99,511.22,15.33
10,13-07-2021,514.64,515.97,504.74,512.61,18.43
11,14-07-2021,514.64,514.64,507.71,508.15,9.89
12,15-07-2021,510.08,513.94,506.72,508.5,14.94
13,16-07-2021,510.88,510.88,503.06,507.12,18.64
14,19-07-2021,504.69,511.07,498.8,501.28,27.3
15,20-07-2021,504.89,504.89,474.06,485.14,59.65
16,22-07-2021,494.56,495.25,483.16,490.35,27.27
17,23-07-2021,493.57,501.35,486.73,494.61,26.15
18,26-07-2021,495.5,501.25,483.46,487.32,13.56
19,27-07-2021,487.62,492.18,477.02,479.25,19.48
20,28-07-2021,480.68,480.68,465.87,476.82,48.42
21,29-07-2021,479.69,491.09,476.92,482.81,26.89
22,30-07-2021,486.63,486.63,466.31,471.52,42.66
23,02-08-2021,469.44,524.19,465.82,521.77,159.93
24,03-08-2021,518.25,523.25,507.49,512.05,41.23
25,04-08-2021,516.86,519.63,509.43,512.05,29.02
26,05-08-2021,514.38,537.08,506.7,534.85,79.09
27,06-08-2021,531.23,534.7,517.95,524.09,19.77
28,09-08-2021,522.66,527.22,510.12,516.07,14.41
29,10-08-2021,518.35,520.43,501.6,505.96,12.98
30,11-08-2021,504.47,507.44,489.65,497.09,18.69
31,12-08-2021,498.52,511.9,493.92,507.44,15.57
32,13-08-2021,509.13,512.3,494.41,498.87,10.07
33,16-08-2021,497.14,505.51,494.66,496.74,12.48
34,17-08-2021,498.52,510.57,496.54,504.82,27.65
35,18-08-2021,506.75,508.39,498.13,502.24,18.45
36,20-08-2021,500.21,501.99,478.9,480.78,27.83
37,23-08-2021,482.67,490.3,468.3,479.89,17.2
38,24-08-2021,481.87,510.02,474.24,505.56,47.17
39,25-08-2021,505.46,508.98,499.02,506.4,18.58
40,26-08-2021,506.45,528.85,505.81,526.03,63.74
41,27-08-2021,527.22,529.99,515.62,520.13,23.73
42,30-08-2021,521.32,545.06,519.93,543.32,36.67
43,31-08-2021,542.13,552.49,533.21,549.12,52.53
44,01-09-2021,549.07,570.87,546.49,563.79,37.11
45,02-09-2021,561.95,583.06,560.47,577.66,24.29
46,03-09-2021,577.66,593.27,562.95,566.36,26.32
47,06-09-2021,564.93,574.0,563.14,565.77,13.97
48,07-09-2021,566.91,575.58,556.75,569.34,15.26
49,08-09-2021,573.35,578.6,561.86,571.96,14.67
50,09-09-2021,571.87,571.87,555.41,563.19,14.17
51,13-09-2021,562.85,583.46,555.17,579.2,26.03
52,14-09-2021,584.75,589.71,574.29,576.08,22.56
53,15-09-2021,577.32,578.65,572.36,574.84,10.24
54,16-09-2021,577.42,612.3,573.35,603.98,54.01
55,17-09-2021,608.39,615.23,586.43,601.45,35.93
56,20-09-2021,594.66,601.15,576.82,582.12,13.97
57,21-09-2021,578.8,585.89,559.58,573.2,26.32
58,22-09-2021,571.87,580.79,563.79,565.97,29.4
59,23-09-2021,568.0,596.64,567.9,580.74,31.87
60,24-09-2021,585.74,592.08,568.89,570.97,18.29
61,27-09-2021,572.86,576.67,563.84,567.06,20.72
62,28-09-2021,569.88,571.77,546.15,549.81,19.21
63,29-09-2021,549.07,572.71,539.26,568.35,47.51
64,30-09-2021,572.86,575.43,557.0,559.23,17.28
65,01-10-2021,558.98,562.95,551.05,553.68,8.59
66,04-10-2021,555.61,568.05,554.27,559.33,22.46
67,05-10-2021,558.98,562.1,550.56,553.78,19.54
68,06-10-2021,555.71,577.37,552.24,555.26,22.06
69,07-10-2021,560.86,581.33,558.04,578.65,25.92
70,08-10-2021,579.79,580.09,562.95,564.04,14.63
71,11-10-2021,560.96,574.94,560.96,565.27,11.05
72,12-10-2021,566.66,571.57,561.61,568.0,11.4
73,13-10-2021,571.02,595.06,568.05,589.21,29.69
74,14-10-2021,590.7,604.52,581.03,588.71,32.79
75,18-10-2021,588.71,604.57,581.68,593.42,27.61
76,19-10-2021,595.16,628.36,583.71,602.84,42.47
77,20-10-2021,604.87,610.62,584.8,589.51,23.96
78,21-10-2021,595.35,618.35,586.73,608.68,41.77
79,22-10-2021,608.54,614.78,588.91,593.08,36.48
80,25-10-2021,594.66,596.84,556.26,572.16,20.83
81,26-10-2021,573.3,606.31,573.2,599.52,35.97
82,27-10-2021,601.6,625.63,597.93,617.95,38.17
83,28-10-2021,616.47,624.39,598.13,603.58,17.91
84,29-10-2021,603.58,628.41,583.51,609.28,33.74
85,01-11-2021,624.39,626.08,549.27,583.41,112.75
86,02-11-2021,582.77,608.09,580.79,604.37,28.78
87,03-11-2021,599.62,611.51,599.62,607.4,20.26
88,04-11-2021,610.32,613.49,604.13,609.58,2.28
89,08-11-2021,609.53,636.68,609.08,632.62,29.32
90,09-11-2021,634.3,645.65,629.35,634.3,21.48
91,10-11-2021,625.38,646.89,625.38,641.89,17.71
92,11-11-2021,641.89,654.08,626.48,633.81,30.58
93,12-11-2021,639.16,661.46,633.81,656.51,32.33
94,15-11-2021,657.1,659.08,626.38,642.58,32.11
95,16-11-2021,640.3,648.18,634.3,638.12,20.72
96,17-11-2021,636.29,638.62,617.46,620.78,24.22
97,18-11-2021,619.49,628.66,607.3,611.81,17.84
98,22-11-2021,612.45,616.56,582.77,590.1,17.18
99,23-11-2021,580.19,605.36,580.19,600.81,25.28
100,24-11-2021,600.86,604.08,579.99,585.34,19.3
101,25-11-2021,585.74,590.2,573.1,579.15,13.99
102,26-11-2021,576.47,577.71,532.02,539.95,51.01
103,29-11-2021,539.95,553.03,519.39,537.38,38.44
104,30-11-2021,536.19,560.02,535.19,545.6,35.26
105,01-12-2021,549.07,564.93,545.4,554.32,16.47
106,02-12-2021,555.07,563.59,551.94,561.61,13.47
107,03-12-2021,561.61,570.28,555.07,562.8,18.07
108,06-12-2021,567.31,567.31,548.18,550.61,6.54
109,07-12-2021,553.03,566.41,553.03,557.35,11.9
110,08-12-2021,559.97,569.04,555.51,563.09,10.99
111,09-12-2021,565.92,577.17,561.95,572.46,27.44
112,10-12-2021,564.93,576.62,564.93,574.64,9.29
113,13-12-2021,577.32,583.76,571.67,573.9,15.07
114,14-12-2021,556.01,574.0,547.73,550.01,40.27
115,15-12-2021,541.14,554.03,533.21,537.03,28.09
116,16-12-2021,541.98,549.07,535.79,540.89,14.65
117,17-12-2021,537.28,540.6,502.59,505.81,44.68
118,20-12-2021,498.03,498.87,465.07,488.41,41.84
119,21-12-2021,494.21,513.99,485.79,500.51,31.94
120,22-12-2021,505.46,511.85,500.51,508.43,15.47
121,23-12-2021,511.41,536.98,511.41,534.85,31.09
122,24-12-2021,536.19,537.18,513.04,515.42,18.38
123,27-12-2021,510.91,525.28,505.51,522.06,12.32
124,28-12-2021,523.25,530.49,515.08,518.35,10.67
125,29-12-2021,520.72,520.72,508.88,512.7,11.91
126,30-12-2021,515.08,515.08,499.76,504.17,18.76
127,31-12-2021,507.69,517.95,505.46,515.77,12.06
128,03-01-2022,516.36,534.55,514.73,532.47,18.73
129,04-01-2022,535.19,542.83,530.49,541.19,18.22
130,05-01-2022,541.14,565.97,537.42,562.95,41.3
131,06-01-2022,555.02,561.76,548.38,559.87,18.67
132,07-01-2022,560.47,572.81,560.47,569.73,26.41
133,10-01-2022,569.88,574.34,555.12,556.16,13.22
134,11-01-2022,557.0,576.37,546.49,574.1,33.79
135,12-01-2022,576.82,596.64,574.1,593.12,33.86
136,13-01-2022,590.7,596.15,580.29,584.16,11.03
137,14-01-2022,585.74,589.06,577.07,580.98,14.44
138,17-01-2022,581.78,599.42,581.78,595.35,17.05
139,18-01-2022,603.58,620.43,599.02,607.0,77.52
