S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,96.07,97.25,95.74,96.76,129.19
2,01-07-2021,96.73,97.19,96.0,96.1,56.68
3,02-07-2021,96.99,98.08,96.36,97.42,208.06
4,05-07-2021,97.65,99.3,97.39,98.9,104.01
5,06-07-2021,99.0,99.43,96.92,97.32,95.79
6,07-07-2021,97.32,98.15,96.69,97.35,60.68
7,08-07-2021,96.99,97.75,95.87,96.5,123.5
8,09-07-2021,96.5,97.32,96.1,96.79,49.64
9,12-07-2021,96.86,97.55,96.4,96.59,40.1
10,13-07-2021,96.99,97.98,96.76,97.72,57.17
11,14-07-2021,97.62,98.57,97.16,97.75,72.17
12,15-07-2021,97.65,97.91,96.1,96.79,72.58
13,16-07-2021,96.83,97.68,95.87,96.03,108.2
14,19-07-2021,95.67,96.59,95.01,95.31,51.59
15,20-07-2021,95.34,95.7,93.49,94.29,62.72
16,22-07-2021,95.01,95.93,94.52,95.47,47.73
17,23-07-2021,95.47,95.67,94.58,95.08,34.2
18,26-07-2021,95.01,96.0,94.52,95.01,44.24
19,27-07-2021,95.34,95.84,93.76,93.99,42.45
20,28-07-2021,94.65,95.21,93.06,95.04,88.34
21,29-07-2021,95.04,95.44,93.63,93.79,82.38
22,30-07-2021,93.89,95.61,93.2,94.55,95.26
23,02-08-2021,95.21,95.61,94.42,94.95,61.64
24,03-08-2021,94.95,95.51,94.35,95.18,56.49
25,04-08-2021,95.11,97.22,95.11,95.47,88.39
26,05-08-2021,95.67,96.26,93.82,95.97,62.37
27,06-08-2021,96.07,97.95,95.84,96.4,108.12
28,09-08-2021,97.32,97.55,93.92,94.52,129.86
29,10-08-2021,94.81,95.18,92.87,93.82,140.23
30,11-08-2021,94.29,95.24,93.13,94.98,83.57
31,12-08-2021,95.04,96.79,94.81,95.28,76.86
32,13-08-2021,95.7,96.53,94.48,94.85,94.55
33,16-08-2021,94.88,95.11,93.53,93.69,52.59
34,17-08-2021,93.76,94.05,90.52,91.88,137.14
35,18-08-2021,91.88,92.54,91.05,91.28,76.54
36,20-08-2021,90.72,91.09,89.07,89.47,88.77
37,23-08-2021,89.93,90.0,87.59,88.38,77.69
38,24-08-2021,88.64,90.33,88.41,89.86,74.52
39,25-08-2021,90.06,91.81,90.06,91.61,78.18
40,26-08-2021,91.61,91.98,89.96,90.59,68.46
41,27-08-2021,90.99,91.91,90.43,91.42,44.19
42,30-08-2021,91.45,94.98,91.45,94.75,113.34
43,31-08-2021,94.75,96.43,94.52,96.23,143.02
44,01-09-2021,96.73,96.76,94.95,95.14,84.16
45,02-09-2021,97.24,97.24,95.48,95.75,77.88
46,03-09-2021,95.95,99.5,95.85,98.96,127.34
47,06-09-2021,99.94,99.98,97.58,98.96,97.12
48,07-09-2021,99.4,100.15,98.42,99.54,94.76
49,08-09-2021,99.64,101.33,98.93,100.86,78.73
50,09-09-2021,100.86,102.07,100.08,100.52,95.2
51,13-09-2021,101.16,105.42,100.96,104.54,356.73
52,14-09-2021,105.05,105.15,103.7,104.61,88.04
53,15-09-2021,105.15,109.72,104.31,108.9,245.92
54,16-09-2021,109.65,110.22,106.54,109.75,184.41
55,17-09-2021,110.02,110.43,105.08,105.96,173.17
56,20-09-2021,105.42,106.54,103.33,104.27,125.42
57,21-09-2021,105.29,106.84,103.76,105.76,136.45
58,22-09-2021,106.33,109.88,104.81,109.61,188.62
59,23-09-2021,110.73,114.96,110.29,113.16,313.99
60,24-09-2021,113.67,114.58,110.16,112.32,172.6
61,27-09-2021,112.93,114.38,111.81,112.96,91.0
62,28-09-2021,113.94,119.22,113.71,118.03,415.51
63,29-09-2021,118.0,133.21,116.85,125.57,1009.89
64,30-09-2021,126.86,129.49,124.49,125.17,489.58
65,01-10-2021,125.37,128.41,123.34,127.6,254.93
66,04-10-2021,130.17,130.75,127.33,128.45,233.41
67,05-10-2021,129.16,134.5,128.75,133.86,423.6
68,06-10-2021,135.24,137.81,129.63,130.41,419.27
69,07-10-2021,131.69,131.83,127.97,128.95,165.18
70,08-10-2021,129.22,129.63,124.49,127.43,289.78
71,11-10-2021,129.83,135.04,129.6,133.11,349.52
72,12-10-2021,134.7,135.92,129.33,130.71,252.16
73,13-10-2021,131.19,131.56,128.04,128.51,173.78
74,14-10-2021,128.48,129.7,123.27,124.29,295.43
75,18-10-2021,124.96,126.96,124.02,125.3,154.69
76,19-10-2021,126.65,127.77,124.15,124.76,174.04
77,20-10-2021,123.54,124.02,119.96,122.06,159.21
78,21-10-2021,123.07,123.75,120.97,123.34,155.86
79,22-10-2021,124.02,124.63,118.54,118.95,136.03
80,25-10-2021,119.18,119.86,116.98,117.73,117.45
81,26-10-2021,116.98,119.01,116.14,118.37,116.03
82,27-10-2021,118.81,119.45,116.85,117.39,95.36
83,28-10-2021,116.98,116.98,112.22,112.62,245.09
84,29-10-2021,111.58,114.62,110.43,111.2,148.27
85,01-11-2021,111.58,116.27,110.76,115.46,135.85
86,02-11-2021,115.94,117.49,113.84,114.42,142.79
87,03-11-2021,113.74,115.7,113.16,114.79,89.74
88,04-11-2021,115.77,115.9,114.79,115.43,9.73
89,08-11-2021,115.63,117.8,113.94,116.11,87.62
90,09-11-2021,116.34,116.58,114.69,115.29,57.23
91,10-11-2021,114.89,115.53,112.56,112.72,92.12
92,11-11-2021,112.18,113.37,111.71,112.93,64.53
93,12-11-2021,114.18,114.18,112.05,112.89,70.28
94,15-11-2021,111.07,113.33,107.86,108.03,194.0
95,16-11-2021,108.87,109.31,107.25,107.55,85.05
96,17-11-2021,107.55,107.69,105.29,105.56,74.78
97,18-11-2021,105.52,106.67,103.46,103.73,129.81
98,22-11-2021,102.92,103.39,100.82,101.8,115.22
99,23-11-2021,101.43,106.0,101.43,105.62,133.05
100,24-11-2021,107.04,109.31,105.22,107.59,188.09
101,25-11-2021,109.21,110.09,105.49,107.21,224.03
102,26-11-2021,106.67,107.79,105.05,105.42,118.3
103,29-11-2021,105.42,105.93,102.72,104.31,181.76
104,30-11-2021,107.18,107.18,102.34,102.78,566.43
105,01-12-2021,103.87,105.66,103.16,105.18,162.83
106,02-12-2021,106.1,107.89,104.91,107.72,156.48
107,03-12-2021,107.52,108.67,107.01,108.03,204.14
108,06-12-2021,108.92,109.24,106.13,106.45,241.85
109,07-12-2021,107.56,108.17,106.88,107.95,78.66
110,08-12-2021,108.38,108.74,107.52,108.13,73.13
111,09-12-2021,108.74,110.0,107.95,109.39,94.23
112,10-12-2021,109.39,110.17,108.13,108.42,74.19
113,13-12-2021,109.49,109.49,106.02,106.77,98.88
114,14-12-2021,106.77,107.31,105.16,106.7,84.75
115,15-12-2021,106.88,107.92,106.02,106.13,54.11
116,16-12-2021,106.13,107.56,105.73,107.31,75.39
117,17-12-2021,106.84,107.06,104.62,104.94,87.58
118,20-12-2021,104.16,104.37,99.71,100.82,88.59
119,21-12-2021,101.61,104.62,101.33,103.65,80.97
120,22-12-2021,104.23,107.06,103.51,104.16,67.99
121,23-12-2021,104.8,106.02,104.62,105.84,48.58
122,24-12-2021,106.05,106.16,104.19,104.55,45.68
123,27-12-2021,103.9,104.98,103.26,104.66,35.35
124,28-12-2021,104.8,106.95,104.8,106.66,49.07
125,29-12-2021,106.95,106.95,104.84,105.16,42.17
126,30-12-2021,105.16,106.77,103.12,104.76,247.82
127,31-12-2021,104.59,105.73,104.16,104.66,53.2
128,03-01-2022,105.52,111.75,105.34,111.29,294.87
129,04-01-2022,111.79,112.25,109.17,109.64,137.44
130,05-01-2022,109.64,110.57,108.99,110.14,84.54
131,06-01-2022,110.71,111.25,109.67,110.82,124.47
132,07-01-2022,111.07,112.83,111.03,112.47,116.8
133,10-01-2022,113.08,115.37,112.54,115.16,146.55
134,11-01-2022,115.12,115.12,113.29,113.61,76.7
135,12-01-2022,114.94,115.19,113.58,114.19,63.35
136,13-01-2022,114.19,119.28,113.94,118.06,202.72
137,14-01-2022,118.06,119.06,116.98,118.06,102.12
138,17-01-2022,118.67,119.02,116.12,117.3,83.85
139,18-01-2022,117.52,118.59,114.87,115.23,65.74
140,19-01-2022,115.37,118.13,115.23,117.45,115.03
141,20-01-2022,117.88,120.57,117.41,118.27,174.62
142,21-01-2022,117.02,117.02,112.86,113.76,144.67
143,24-01-2022,113.36,114.94,110.93,112.0,108.54
144,25-01-2022,111.07,115.8,110.57,115.48,72.68
145,27-01-2022,113.87,115.59,113.22,115.05,92.69
146,28-01-2022,115.08,118.24,115.08,115.84,103.11
147,31-01-2022,117.09,117.09,114.04,114.51,58.11
148,01-02-2022,116.09,117.13,113.65,116.84,72.49
149,02-02-2022,116.8,117.95,116.27,117.41,53.69
150,03-02-2022,116.87,117.63,115.08,115.59,46.55
151,04-02-2022,115.59,116.66,114.65,114.94,64.02
152,07-02-2022,115.12,116.8,114.4,115.33,58.71
153,08-02-2022,115.98,116.44,113.47,114.62,141.59
154,09-02-2022,115.01,121.35,114.65,120.82,350.8
155,10-02-2022,121.1,122.03,118.24,120.42,177.24
156,11-02-2022,120.35,121.32,118.38,119.31,100.98
157,14-02-2022,119.02,119.13,115.48,115.84,94.79
158,15-02-2022,116.62,118.13,114.55,117.27,168.51
159,16-02-2022,118.42,118.95,116.66,117.41,106.53
160,17-02-2022,118.02,118.59,116.59,116.84,69.06
161,18-02-2022,116.8,120.57,116.52,119.88,237.41
162,21-02-2022,120.51,120.77,118.07,119.07,148.71
163,22-02-2022,117.82,118.67,114.86,118.11,116.55
164,23-02-2022,118.44,119.88,116.86,117.08,76.27
165,24-02-2022,113.75,115.82,110.06,110.8,121.15
166,25-02-2022,112.46,121.81,112.46,120.73,170.8
167,28-02-2022,120.0,125.54,118.59,125.24,208.72
168,02-03-2022,126.31,137.13,126.31,136.5,726.48
169,03-03-2022,140.05,146.07,138.02,139.57,740.5
170,04-03-2022,139.57,141.08,133.33,133.7,360.95
171,07-03-2022,137.35,141.82,134.21,139.39,416.43
172,08-03-2022,139.61,141.6,137.83,139.72,229.4
173,09-03-2022,140.35,140.79,137.1,137.87,138.71
174,10-03-2022,135.91,135.91,130.78,132.18,308.9
175,11-03-2022,133.7,134.81,132.4,134.25,146.64
176,14-03-2022,133.7,134.55,131.37,133.22,83.06
177,15-03-2022,132.89,132.96,126.68,127.71,140.75
178,16-03-2022,127.79,131.33,127.71,130.67,118.47
179,17-03-2022,132.22,132.96,129.63,130.41,200.53
180,21-03-2022,131.37,137.65,131.11,134.66,202.72
181,22-03-2022,135.65,137.24,133.33,135.43,123.73
182,23-03-2022,134.88,136.1,132.44,135.21,137.31
183,24-03-2022,135.69,139.24,135.4,138.42,163.23
184,25-03-2022,138.42,139.53,136.36,137.46,100.45
185,28-03-2022,137.46,143.08,137.02,141.27,191.32
186,29-03-2022,141.82,141.97,137.02,137.39,106.22
187,30-03-2022,138.83,138.83,134.44,135.1,102.98
188,31-03-2022,136.02,136.58,134.18,135.21,94.35
189,01-04-2022,135.77,138.31,135.4,137.5,135.06
190,04-04-2022,137.02,139.61,136.36,138.68,94.9
191,05-04-2022,138.87,139.57,138.02,138.79,76.38
192,06-04-2022,139.39,145.52,139.09,143.19,461.57
193,07-04-2022,144.04,145.55,140.27,140.9,217.12
