S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,1011.16,1018.45,1007.82,1015.83,29.15
2,04-01-2021,1019.45,1028.82,1015.83,1021.82,39.23
3,05-01-2021,1015.57,1034.37,1013.04,1024.66,47.71
4,06-01-2021,1024.66,1030.11,1012.86,1024.93,27.13
5,07-01-2021,1027.39,1032.05,1018.09,1021.56,32.66
6,08-01-2021,1027.18,1038.83,1023.13,1034.61,40.46
7,11-01-2021,1035.73,1051.81,1032.24,1049.84,45.99
8,12-01-2021,1054.52,1055.01,1032.91,1037.64,37.42
9,13-01-2021,1039.8,1041.74,1015.18,1025.26,32.96
10,14-01-2021,1028.15,1032.63,1020.42,1028.93,26.75
11,15-01-2021,1030.11,1030.11,1006.97,1010.3,25.78
12,18-01-2021,1013.83,1015.17,975.84,979.15,44.12
13,19-01-2021,986.11,989.4,976.14,986.29,39.9
14,20-01-2021,988.88,1000.02,981.66,984.69,33.98
15,21-01-2021,990.38,995.8,975.63,979.17,29.07
16,22-01-2021,978.51,989.48,966.15,976.21,38.16
17,25-01-2021,977.2,993.94,961.3,985.03,35.89
18,27-01-2021,979.21,979.21,936.65,951.48,52.62
19,28-01-2021,939.02,950.44,925.84,944.21,51.65
20,29-01-2021,947.74,952.58,881.84,892.06,148.21
21,01-02-2021,883.79,887.2,851.42,858.23,129.52
22,02-02-2021,866.14,877.58,849.09,868.76,183.76
23,03-02-2021,887.45,922.85,880.38,901.14,172.27
24,04-02-2021,909.56,912.08,895.82,904.7,65.09
25,05-02-2021,908.01,936.11,896.5,930.47,120.38
26,08-02-2021,942.89,951.6,935.14,941.88,107.93
27,09-02-2021,939.99,948.84,931.26,938.84,62.34
28,10-02-2021,939.02,946.59,922.74,934.96,57.67
29,11-02-2021,934.36,941.92,932.23,935.15,35.58
30,12-02-2021,941.88,941.88,927.39,928.74,25.05
31,15-02-2021,928.74,936.8,910.92,912.82,49.23
32,16-02-2021,916.53,922.85,905.1,910.25,40.65
33,17-02-2021,910.25,912.84,887.66,891.64,51.07
34,18-02-2021,892.89,903.91,883.78,894.82,51.48
35,19-02-2021,891.92,916.34,877.97,907.32,63.93
36,22-02-2021,912.46,916.14,861.13,866.19,69.77
37,23-02-2021,871.76,878.8,856.74,871.21,53.17
38,24-02-2021,871.21,876.75,848.31,859.66,36.78
39,25-02-2021,856.87,889.59,856.87,868.3,85.32
40,26-02-2021,864.4,883.51,853.74,857.92,75.34
41,01-03-2021,861.49,867.89,852.82,863.12,35.45
42,02-03-2021,867.0,868.26,850.86,853.68,91.88
43,03-03-2021,865.37,875.2,857.81,872.65,42.53
44,04-03-2021,868.66,888.31,861.3,886.7,73.65
45,05-03-2021,881.84,883.78,869.05,870.7,41.32
46,08-03-2021,872.15,876.42,864.98,870.65,27.82
47,09-03-2021,872.34,876.03,855.97,862.13,27.16
48,10-03-2021,871.38,876.0,863.63,872.23,31.5
49,12-03-2021,876.03,877.96,853.37,857.91,34.39
50,15-03-2021,864.4,864.83,830.48,841.58,46.09
51,16-03-2021,848.91,865.7,845.99,862.4,46.79
52,17-03-2021,862.4,865.37,841.97,844.21,47.7
53,18-03-2021,846.96,848.6,813.05,816.48,60.55
54,19-03-2021,815.95,834.43,801.41,828.44,70.62
55,22-03-2021,828.91,846.56,827.24,843.85,43.37
56,23-03-2021,843.08,853.35,837.67,847.39,33.26
57,24-03-2021,843.13,856.45,839.47,843.18,39.12
58,25-03-2021,843.08,853.19,830.43,849.0,47.07
59,26-03-2021,856.65,857.23,842.63,853.93,36.27
60,30-03-2021,858.57,877.47,856.85,875.68,43.32
61,31-03-2021,874.09,881.2,868.47,875.25,38.63
62,01-04-2021,881.84,890.55,876.43,889.14,32.38
63,05-04-2021,883.78,888.43,857.4,883.12,36.61
64,06-04-2021,883.59,899.27,880.29,895.26,37.11
65,07-04-2021,903.61,917.5,899.48,909.49,55.68
66,08-04-2021,909.51,921.77,903.39,908.79,33.03
67,09-04-2021,909.54,929.13,909.22,922.6,68.11
68,12-04-2021,925.45,992.31,909.94,968.47,175.69
69,13-04-2021,997.1,997.1,920.82,925.9,196.86
70,15-04-2021,938.61,944.84,927.39,939.12,69.35
71,16-04-2021,942.66,957.43,933.24,948.37,59.9
72,19-04-2021,948.32,970.03,931.66,962.87,92.2
73,20-04-2021,988.44,1009.9,986.4,999.44,174.25
74,22-04-2021,1003.93,1025.26,999.87,1007.79,121.21
75,23-04-2021,1013.25,1020.64,974.89,981.98,117.74
76,26-04-2021,993.28,994.25,974.92,981.98,47.53
77,27-04-2021,986.6,991.54,973.2,980.15,47.89
78,28-04-2021,985.06,989.78,974.87,977.67,42.2
