S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,800.79,809.32,800.79,802.83,26.83
2,01-07-2021,805.69,806.5,796.01,804.46,28.62
3,02-07-2021,802.87,806.18,797.73,803.77,16.47
4,05-07-2021,809.52,812.95,798.34,799.77,25.98
5,06-07-2021,799.97,801.77,791.97,793.48,24.86
6,07-07-2021,791.81,798.01,783.89,796.18,30.15
7,08-07-2021,795.89,801.6,791.81,797.36,25.56
8,09-07-2021,793.44,799.56,789.03,797.4,32.18
9,12-07-2021,799.97,802.46,795.89,799.52,20.38
10,13-07-2021,802.42,802.42,786.91,790.14,29.98
11,14-07-2021,790.38,810.54,790.26,807.69,43.71
12,15-07-2021,810.58,859.15,808.79,848.75,127.01
13,16-07-2021,852.95,856.09,814.71,820.38,86.66
14,19-07-2021,820.38,831.24,810.18,816.46,46.45
15,20-07-2021,815.48,826.26,791.28,797.69,102.17
16,22-07-2021,791.81,801.2,791.81,798.83,61.56
17,23-07-2021,803.81,819.48,802.09,811.4,52.66
18,26-07-2021,811.4,819.56,805.89,816.54,24.77
19,27-07-2021,821.22,823.03,807.96,814.65,28.84
20,28-07-2021,817.12,817.9,802.58,807.34,29.52
21,29-07-2021,809.36,828.61,809.36,827.46,47.32
22,30-07-2021,831.9,862.24,829.35,841.71,93.3
23,02-08-2021,849.15,853.25,840.15,850.29,25.36
24,03-08-2021,845.86,856.5,840.93,853.62,33.59
25,04-08-2021,854.98,860.44,849.64,854.03,31.22
26,05-08-2021,854.07,881.17,848.9,871.44,78.96
27,06-08-2021,871.44,878.71,856.54,862.24,115.85
28,09-08-2021,868.69,876.04,856.95,862.74,63.22
29,10-08-2021,864.34,880.6,860.64,873.54,58.72
30,11-08-2021,879.49,886.1,868.16,876.2,50.11
31,12-08-2021,879.53,904.29,877.07,900.47,65.4
32,13-08-2021,902.52,923.01,895.3,919.32,72.71
33,16-08-2021,920.55,927.45,915.13,922.77,31.59
34,17-08-2021,919.15,946.01,913.65,938.62,52.96
35,18-08-2021,950.89,950.89,929.3,931.47,48.71
