S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,679.18,684.74,674.26,675.54,34.33
2,01-07-2021,678.69,681.74,672.1,675.0,25.57
3,02-07-2021,678.54,679.23,668.21,676.72,79.42
4,05-07-2021,679.18,680.17,666.14,667.27,67.77
5,06-07-2021,667.96,676.23,664.42,669.39,64.43
6,07-07-2021,669.34,675.05,667.37,674.46,30.26
7,08-07-2021,674.56,678.49,667.77,670.62,35.68
8,09-07-2021,669.34,673.23,666.39,672.54,25.7
9,12-07-2021,673.77,675.89,669.44,672.24,13.83
10,13-07-2021,675.74,683.66,672.83,682.53,31.19
11,14-07-2021,685.09,686.12,677.21,677.71,23.04
12,15-07-2021,679.18,688.53,677.31,682.78,27.75
13,16-07-2021,685.04,691.0,681.3,687.06,20.01
14,19-07-2021,685.58,685.58,666.39,668.06,28.67
15,20-07-2021,668.06,670.82,651.57,653.05,36.29
16,22-07-2021,653.59,658.91,650.74,651.72,40.63
17,23-07-2021,651.72,657.48,651.43,654.92,27.97
18,26-07-2021,654.58,654.97,650.0,652.7,25.04
19,27-07-2021,655.56,664.22,652.51,658.27,35.13
20,28-07-2021,663.88,663.88,650.79,654.43,26.87
21,29-07-2021,655.61,659.45,650.64,652.26,19.81
22,30-07-2021,654.08,661.47,650.98,653.64,26.41
23,02-08-2021,658.51,660.92,654.97,659.84,26.14
24,03-08-2021,661.47,664.42,656.15,663.24,29.37
25,04-08-2021,665.4,669.0,662.11,664.71,30.78
26,05-08-2021,667.37,667.37,657.72,659.0,19.85
27,06-08-2021,659.55,664.91,658.51,662.84,17.5
28,09-08-2021,663.58,667.32,655.56,656.54,14.69
29,10-08-2021,661.32,663.98,652.9,659.79,20.24
30,11-08-2021,659.1,661.37,650.98,656.2,13.62
31,12-08-2021,656.05,665.3,654.97,664.37,18.23
32,13-08-2021,664.42,667.57,658.12,659.99,13.59
33,16-08-2021,659.5,664.91,655.56,662.99,10.58
34,17-08-2021,662.45,665.94,657.63,658.91,21.51
35,18-08-2021,658.46,664.57,658.02,660.53,19.69
36,20-08-2021,653.59,664.22,645.72,657.38,40.35
37,23-08-2021,659.5,662.25,651.92,658.32,21.74
38,24-08-2021,660.48,664.86,657.63,660.58,30.52
39,25-08-2021,664.52,681.15,662.45,676.77,76.09
40,26-08-2021,682.53,691.0,679.18,687.89,76.72
41,27-08-2021,689.37,695.92,687.89,693.06,33.97
42,30-08-2021,697.89,702.02,695.03,701.18,30.24
43,31-08-2021,701.18,707.73,693.06,706.5,38.55
44,01-09-2021,708.71,713.24,696.21,707.29,49.92
45,02-09-2021,711.12,763.49,708.71,747.1,162.82
46,03-09-2021,727.37,736.03,715.8,722.89,156.01
47,06-09-2021,728.4,732.09,717.28,724.51,80.84
48,07-09-2021,725.45,731.75,719.15,722.74,28.92
49,08-09-2021,727.41,735.29,722.35,731.99,30.71
50,09-09-2021,730.91,734.45,723.48,725.79,28.68
51,13-09-2021,725.4,731.06,712.11,723.38,28.84
