S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,363.4,366.15,357.99,359.05,101.11
2,01-07-2021,359.3,367.5,359.01,366.15,82.32
3,02-07-2021,364.8,367.31,361.13,362.91,50.7
4,05-07-2021,365.76,377.34,364.31,375.94,128.36
5,06-07-2021,375.8,377.34,370.59,371.89,61.54
6,07-07-2021,369.52,381.2,366.92,379.9,105.78
7,08-07-2021,378.79,379.18,367.88,369.72,123.33
8,09-07-2021,369.62,377.73,368.75,376.43,73.75
9,12-07-2021,379.27,379.27,373.1,374.78,56.79
10,13-07-2021,376.86,381.15,376.38,378.55,54.68
11,14-07-2021,378.55,380.62,377.34,377.97,33.42
12,15-07-2021,378.11,388.83,376.38,387.43,103.48
13,16-07-2021,388.92,391.82,385.4,391.34,92.87
14,19-07-2021,384.1,390.8,382.36,383.08,57.08
15,20-07-2021,382.6,382.6,367.88,369.62,92.15
16,22-07-2021,376.57,381.4,375.41,379.75,73.81
17,23-07-2021,380.33,382.7,377.15,378.07,52.17
18,26-07-2021,379.27,388.39,376.57,386.08,70.84
19,27-07-2021,389.89,405.04,389.45,402.77,282.4
20,28-07-2021,404.36,404.75,393.31,401.76,127.75
21,29-07-2021,405.81,457.44,402.24,442.1,614.15
22,30-07-2021,442.1,443.59,426.71,429.26,129.87
23,02-08-2021,432.35,436.45,427.24,430.23,76.84
24,03-08-2021,432.11,435.1,424.82,433.12,88.79
25,04-08-2021,430.42,439.59,425.6,427.24,86.22
26,05-08-2021,429.46,430.13,417.78,427.62,117.91
27,06-08-2021,429.17,439.93,423.95,426.71,180.6
28,09-08-2021,426.51,429.46,413.82,419.52,137.79
29,10-08-2021,421.25,424.44,408.47,412.04,104.18
30,11-08-2021,414.3,428.97,414.06,421.4,192.39
31,12-08-2021,424.56,431.75,421.59,424.9,83.49
32,13-08-2021,425.04,436.9,423.2,429.56,133.44
33,16-08-2021,430.09,434.37,423.88,429.27,82.89
34,17-08-2021,427.67,431.31,416.88,424.26,84.14
35,18-08-2021,426.4,427.23,412.41,414.89,121.69
36,20-08-2021,404.25,404.25,389.77,392.24,233.09
37,23-08-2021,399.39,404.0,388.21,395.35,159.43
38,24-08-2021,403.27,411.78,400.89,408.96,150.5
39,25-08-2021,411.73,422.66,411.73,418.53,179.74
40,26-08-2021,419.31,420.09,408.91,412.12,76.96
41,27-08-2021,414.94,426.6,414.94,425.53,155.59
42,30-08-2021,428.49,439.71,428.2,435.39,117.36
43,31-08-2021,435.34,457.84,432.23,455.07,208.48
44,01-09-2021,460.61,460.61,442.19,445.16,100.38
45,02-09-2021,447.05,451.86,442.82,444.04,53.61
46,03-09-2021,444.33,451.38,437.29,448.27,85.17
47,06-09-2021,453.76,461.58,448.65,455.99,121.84
48,07-09-2021,456.72,459.05,447.88,449.24,56.84
49,08-09-2021,451.72,452.69,442.34,443.41,66.89
50,09-09-2021,445.3,453.46,443.12,450.45,69.27
51,13-09-2021,462.55,466.92,455.31,464.83,166.33
52,14-09-2021,469.45,469.79,459.83,464.45,152.54
53,15-09-2021,464.69,473.82,460.95,473.05,124.15
54,16-09-2021,469.35,474.21,466.88,469.64,80.12
55,17-09-2021,470.32,471.73,456.82,459.68,121.13
56,20-09-2021,448.95,450.89,429.9,431.84,180.32
57,21-09-2021,432.43,439.67,426.4,438.26,187.51
58,22-09-2021,440.1,451.28,439.42,449.92,136.13
59,23-09-2021,460.12,471.1,454.78,469.6,127.58
60,24-09-2021,467.41,471.93,460.22,465.22,92.27
61,27-09-2021,461.48,476.11,458.96,467.8,68.25
62,28-09-2021,467.31,473.14,461.63,464.64,61.49
63,29-09-2021,461.58,482.86,460.02,480.19,95.08
64,30-09-2021,481.26,489.76,471.88,474.16,143.33
