S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,160.86,160.94,159.49,159.6,165.56
2,01-07-2021,159.76,160.47,159.17,159.84,105.84
3,02-07-2021,160.08,160.39,159.25,159.37,131.88
4,05-07-2021,159.84,160.71,159.6,160.35,106.43
5,06-07-2021,160.04,160.47,159.25,159.45,115.16
6,07-07-2021,159.45,161.57,159.29,160.43,185.68
7,08-07-2021,160.23,161.02,158.9,159.05,217.31
8,09-07-2021,159.05,159.33,158.19,158.54,122.9
9,12-07-2021,159.05,159.49,158.23,158.34,135.89
10,13-07-2021,159.05,159.21,158.54,158.93,112.48
11,14-07-2021,158.93,161.53,158.82,160.71,212.69
12,15-07-2021,160.94,164.17,159.76,162.4,299.63
13,16-07-2021,163.54,165.08,163.15,163.7,301.37
14,19-07-2021,162.83,164.96,162.48,163.58,170.99
15,20-07-2021,163.93,164.8,162.52,162.83,245.68
16,22-07-2021,162.99,163.97,162.08,162.99,190.17
17,23-07-2021,162.99,168.19,162.6,167.24,462.42
18,26-07-2021,168.5,169.56,165.98,166.26,490.84
19,27-07-2021,166.93,167.71,163.74,164.29,253.78
20,28-07-2021,164.01,165.35,163.34,164.64,153.04
21,29-07-2021,164.64,165.51,161.93,162.24,162.05
22,30-07-2021,162.28,163.07,161.1,161.38,155.16
23,02-08-2021,162.56,163.38,161.77,163.23,100.47
24,03-08-2021,163.38,166.06,162.56,165.27,191.8
25,04-08-2021,166.06,166.22,163.86,164.25,114.22
26,05-08-2021,164.25,170.67,162.91,169.49,489.95
27,06-08-2021,169.6,170.08,167.4,168.7,244.9
28,09-08-2021,169.29,170.98,167.48,168.34,211.42
29,10-08-2021,168.5,168.86,164.21,165.23,188.55
30,11-08-2021,165.23,165.82,163.34,164.29,160.12
31,12-08-2021,165.55,168.66,164.05,164.49,287.59
32,13-08-2021,165.23,167.16,164.72,166.49,195.77
33,16-08-2021,166.45,167.91,165.75,166.06,116.21
34,17-08-2021,165.98,166.53,164.41,164.72,81.61
35,18-08-2021,165.04,166.53,164.05,164.53,111.49
36,20-08-2021,162.99,165.9,162.75,164.49,201.69
37,23-08-2021,164.96,165.51,162.2,162.44,103.19
38,24-08-2021,162.99,162.99,161.18,162.01,129.71
39,25-08-2021,162.52,163.7,162.2,162.52,109.95
40,26-08-2021,162.52,162.87,160.9,161.1,154.08
41,27-08-2021,161.42,162.87,161.34,162.12,108.8
42,30-08-2021,162.2,163.93,162.2,163.78,125.5
43,31-08-2021,163.82,166.61,163.19,166.38,268.02
44,01-09-2021,166.14,167.16,164.8,164.96,168.67
45,02-09-2021,164.56,166.53,164.56,165.16,148.73
46,03-09-2021,165.16,166.34,165.16,165.82,106.23
47,06-09-2021,166.14,166.3,164.6,164.8,110.42
48,07-09-2021,166.06,168.78,165.47,166.73,389.33
49,08-09-2021,167.12,167.71,165.12,166.34,178.97
50,09-09-2021,166.18,168.42,165.79,167.44,197.85
51,13-09-2021,167.99,169.41,166.77,168.62,166.62
52,14-09-2021,169.21,171.06,168.66,170.16,203.78
53,15-09-2021,170.94,171.02,169.53,170.08,210.29
54,16-09-2021,170.82,183.97,170.31,181.69,1549.87
55,17-09-2021,183.46,186.85,180.39,182.01,825.64
56,20-09-2021,181.89,188.46,181.3,184.05,731.02
57,21-09-2021,185.0,190.9,182.44,190.15,588.54
58,22-09-2021,191.73,193.54,189.52,191.73,546.48
59,23-09-2021,192.91,193.38,190.31,190.94,226.3
60,24-09-2021,192.12,192.12,187.16,187.75,257.79
61,27-09-2021,188.82,190.43,185.43,187.95,237.72
62,28-09-2021,188.86,190.23,186.06,187.2,163.19
63,29-09-2021,185.82,190.08,185.59,187.48,160.45
64,30-09-2021,188.89,189.29,185.23,185.94,169.88
65,01-10-2021,185.19,186.61,183.38,185.31,165.71
66,04-10-2021,185.82,187.67,185.35,186.3,110.98
67,05-10-2021,186.14,186.97,184.64,184.8,95.79
68,06-10-2021,184.88,186.14,181.57,182.08,181.79
69,07-10-2021,183.46,185.0,182.91,183.42,107.71
70,08-10-2021,184.84,184.88,182.04,182.44,101.14
71,11-10-2021,182.67,188.58,182.44,187.44,220.0
72,12-10-2021,187.87,191.34,187.4,190.0,303.47
73,13-10-2021,190.98,197.56,189.09,196.22,520.91
74,14-10-2021,199.41,206.18,197.12,202.0,886.96
75,18-10-2021,205.51,208.89,202.63,206.73,626.15
76,19-10-2021,205.82,206.73,192.95,193.66,613.36
77,20-10-2021,193.66,195.67,190.82,194.17,496.64
78,21-10-2021,195.27,195.55,191.41,192.67,233.86
79,22-10-2021,192.67,193.54,184.01,186.3,369.06
80,25-10-2021,184.33,186.34,181.49,183.78,231.94
81,26-10-2021,184.33,188.19,183.15,186.38,196.63
82,27-10-2021,189.17,190.0,185.98,187.75,269.09
83,28-10-2021,185.12,185.78,176.49,177.24,480.65
84,29-10-2021,177.16,179.72,175.04,175.75,276.68
85,01-11-2021,176.49,179.17,175.19,178.62,240.91
86,02-11-2021,179.52,180.51,176.77,177.64,148.96
87,03-11-2021,177.95,178.62,174.56,175.15,185.31
88,04-11-2021,177.04,178.97,176.38,178.38,72.95
89,08-11-2021,180.86,181.65,177.71,180.94,210.51
90,09-11-2021,180.98,181.81,179.41,180.12,119.65
91,10-11-2021,179.09,183.34,178.9,181.77,139.48
92,11-11-2021,181.41,182.28,179.96,181.1,84.48
93,12-11-2021,182.04,184.21,180.43,183.38,123.12
94,15-11-2021,184.21,188.19,183.54,187.48,402.48
95,16-11-2021,188.23,188.7,185.04,185.39,152.41
96,17-11-2021,185.82,193.11,185.55,188.58,484.96
97,18-11-2021,188.97,191.34,186.06,187.01,210.05
98,22-11-2021,187.32,189.56,180.75,181.81,234.44
99,23-11-2021,180.43,183.23,180.43,182.36,139.51
100,24-11-2021,183.03,183.23,178.7,179.29,146.84
101,25-11-2021,178.74,182.83,177.75,182.12,248.25
102,26-11-2021,180.23,181.14,175.67,176.38,280.68
103,29-11-2021,174.8,176.1,173.38,174.41,229.85
104,30-11-2021,174.8,177.32,173.23,174.13,244.09
105,01-12-2021,174.8,175.82,173.7,174.72,134.96
106,02-12-2021,174.72,178.07,174.25,177.52,165.17
107,03-12-2021,177.16,178.11,174.29,174.53,143.26
108,06-12-2021,174.53,174.96,171.26,171.57,136.44
109,07-12-2021,172.36,174.76,171.73,173.74,92.47
110,08-12-2021,174.01,177.67,174.01,177.12,102.42
111,09-12-2021,175.59,186.18,175.59,185.35,397.15
112,10-12-2021,185.98,188.15,184.05,185.9,365.17
113,13-12-2021,187.4,187.99,184.37,184.72,229.04
114,14-12-2021,185.04,186.69,179.17,180.0,389.53
115,15-12-2021,181.1,182.83,175.9,176.41,359.88
116,16-12-2021,177.95,178.07,173.86,175.51,251.31
117,17-12-2021,175.43,175.47,170.67,171.61,308.27
118,20-12-2021,170.27,170.27,165.19,167.24,387.79
119,21-12-2021,168.5,169.64,166.18,167.32,201.43
120,22-12-2021,168.5,168.66,166.22,166.93,179.03
121,23-12-2021,168.42,172.01,167.87,171.1,230.65
122,24-12-2021,171.65,173.58,170.43,171.65,172.2
123,27-12-2021,171.97,172.01,169.8,171.3,84.67
124,28-12-2021,171.65,173.7,171.65,173.27,120.14
125,29-12-2021,173.23,173.46,170.31,170.67,119.23
126,30-12-2021,170.55,171.57,169.68,170.08,101.16
127,31-12-2021,170.78,172.28,170.19,171.69,78.76
128,03-01-2022,171.69,173.11,170.9,172.52,80.65
129,04-01-2022,172.83,174.56,172.48,173.42,93.99
130,05-01-2022,172.95,174.41,172.16,173.66,116.63
131,06-01-2022,172.44,173.54,171.81,172.2,92.95
132,07-01-2022,173.07,173.74,171.26,171.97,91.96
133,10-01-2022,173.15,176.93,172.36,175.82,164.51
134,11-01-2022,175.86,176.57,174.17,174.76,83.3
135,12-01-2022,175.19,176.1,174.49,175.39,136.66
136,13-01-2022,176.3,177.79,175.39,176.34,119.44
137,14-01-2022,176.34,177.01,175.04,175.27,109.77
138,17-01-2022,175.27,177.64,174.29,176.85,127.93
139,18-01-2022,176.85,178.97,173.46,173.82,149.48
140,19-01-2022,173.82,175.12,172.2,173.5,119.16
141,20-01-2022,173.66,174.92,171.65,172.24,179.97
142,21-01-2022,172.04,173.62,170.08,170.9,172.25
143,24-01-2022,170.9,171.45,166.06,166.77,180.23
144,25-01-2022,166.93,169.05,165.0,168.74,190.29
145,27-01-2022,166.34,169.68,166.22,168.97,240.41
146,28-01-2022,169.37,172.64,169.37,171.34,158.65
147,31-01-2022,172.04,173.82,170.94,173.38,156.18
148,01-02-2022,174.01,180.15,172.56,179.33,448.71
149,02-02-2022,181.1,183.7,180.31,182.79,427.15
150,03-02-2022,182.79,185.19,182.52,184.6,289.18
151,04-02-2022,186.81,187.79,182.32,184.49,588.9
152,07-02-2022,184.25,184.84,179.92,181.26,251.02
153,08-02-2022,181.34,182.91,180.35,182.08,168.25
154,09-02-2022,182.91,183.46,180.12,181.22,123.52
