S.No,Date,Open,High,Low,Close,Volume
1,21-08-2023,261.59,261.64,248.51,248.51,747.15
2,22-08-2023,236.08,236.08,236.08,236.08,72.81
3,23-08-2023,224.3,224.3,224.3,224.3,42.89
4,24-08-2023,213.12,213.12,213.12,213.12,276.73
5,25-08-2023,202.48,223.75,202.48,214.17,2810.4
6,28-08-2023,213.02,221.9,207.23,210.82,875.22
7,29-08-2023,211.67,221.35,206.93,219.91,926.93
8,30-08-2023,224.55,230.89,224.35,230.89,214.03
9,31-08-2023,241.32,242.42,230.79,233.14,1241.22
10,01-09-2023,234.63,244.77,233.84,244.77,394.81
11,04-09-2023,254.9,266.53,248.61,253.06,992.47
12,05-09-2023,256.6,259.6,252.61,254.65,471.27
13,06-09-2023,246.62,259.4,245.67,252.46,2254.13
14,07-09-2023,251.61,256.9,250.86,251.41,438.57
15,08-09-2023,253.6,254.6,249.11,252.81,360.9
16,11-09-2023,256.55,257.3,249.61,249.76,249.83
17,12-09-2023,251.36,251.61,240.52,243.87,395.01
18,13-09-2023,244.42,247.41,236.23,239.83,278.11
19,14-09-2023,241.62,244.17,240.87,242.17,140.55
20,15-09-2023,243.42,244.27,237.28,239.03,274.16
21,18-09-2023,239.63,240.48,231.74,232.84,246.94
22,20-09-2023,230.04,231.64,228.64,229.29,183.18
23,21-09-2023,229.64,235.23,226.45,227.3,331.02
24,22-09-2023,227.6,231.89,226.0,227.45,383.28
25,25-09-2023,229.64,230.49,227.15,229.39,133.92
26,26-09-2023,230.74,231.34,229.64,230.04,80.58
27,27-09-2023,230.84,230.84,226.65,227.0,109.84
28,28-09-2023,227.65,228.49,224.4,224.7,91.44
29,29-09-2023,225.55,232.54,224.65,230.84,124.11
30,03-10-2023,231.14,233.54,230.19,231.04,131.85
31,04-10-2023,229.64,229.64,223.15,224.3,232.97
32,05-10-2023,225.55,227.55,223.85,225.05,138.95
33,06-10-2023,226.15,227.3,223.35,224.75,75.32
34,09-10-2023,222.65,222.65,218.51,219.31,96.97
35,10-10-2023,220.66,223.55,219.41,219.81,104.51
36,11-10-2023,221.65,227.35,220.26,224.75,117.65
37,12-10-2023,226.65,227.05,224.4,224.8,77.81
38,13-10-2023,223.65,225.55,221.65,224.2,101.37
39,16-10-2023,224.55,225.6,223.65,224.45,108.51
