S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,952.24,983.39,949.46,974.58,46.98
2,04-01-2021,983.25,1003.26,974.34,999.95,38.68
3,05-01-2021,998.0,1019.96,989.33,1012.61,35.24
4,06-01-2021,1012.61,1012.61,964.94,974.29,55.59
5,07-01-2021,988.31,1002.62,967.04,995.37,48.41
6,08-01-2021,996.59,1019.81,995.71,1011.49,39.27
7,11-01-2021,1012.65,1053.11,1012.65,1047.22,45.06
8,12-01-2021,1050.53,1055.5,1027.45,1032.42,23.01
9,13-01-2021,1032.42,1060.37,1019.13,1039.33,28.04
10,14-01-2021,1040.89,1084.03,1034.71,1076.72,47.18
11,15-01-2021,1083.59,1083.59,1048.73,1064.41,27.72
12,18-01-2021,1061.34,1061.34,1002.92,1035.05,33.71
13,19-01-2021,1041.87,1070.01,1041.87,1060.56,23.82
14,20-01-2021,1065.19,1073.07,1054.38,1059.88,20.84
15,21-01-2021,1070.49,1070.49,1037.39,1040.11,25.08
16,22-01-2021,1042.84,1060.37,1028.87,1050.87,25.4
17,25-01-2021,1063.29,1074.68,1021.66,1053.45,35.38
18,27-01-2021,1060.37,1063.29,1033.39,1044.1,26.16
19,28-01-2021,1034.03,1049.12,1010.22,1021.76,22.65
20,29-01-2021,1031.15,1031.15,968.93,981.11,61.18
21,01-02-2021,981.5,983.44,952.28,962.41,31.69
22,02-02-2021,973.71,1009.2,969.37,1005.35,34.66
23,03-02-2021,1010.41,1040.21,999.61,1011.53,37.86
24,04-02-2021,1013.14,1033.78,1004.86,1023.66,19.35
25,05-02-2021,1031.54,1053.45,1015.43,1041.72,32.3
26,08-02-2021,1051.5,1058.42,1033.59,1044.4,20.41
27,09-02-2021,1044.4,1051.6,1025.31,1030.47,13.92
28,10-02-2021,1030.47,1045.47,1021.13,1040.99,12.82
29,11-02-2021,1035.63,1041.87,1025.31,1032.27,14.4
30,12-02-2021,1039.92,1039.92,1020.44,1025.31,9.62
31,15-02-2021,1027.26,1045.66,1023.75,1030.72,21.2
32,16-02-2021,1036.95,1072.49,1022.39,1067.96,38.22
33,17-02-2021,1071.08,1079.84,1032.13,1035.44,39.52
34,18-02-2021,1043.81,1044.3,1018.69,1021.61,27.71
35,19-02-2021,1017.52,1028.38,989.29,994.84,28.1
36,22-02-2021,1000.0,1002.43,959.15,969.32,34.55
37,23-02-2021,971.51,988.21,959.73,983.93,23.49
38,24-02-2021,989.29,992.74,964.07,981.79,9.48
39,25-02-2021,995.08,1013.14,988.31,997.66,33.12
40,26-02-2021,984.47,1032.08,976.87,991.57,56.24
