S.No,Date,Open,High,Low,Close,Volume
1,Jul-2021,959.28,975.38,913.2,921.82,2154.17
2,Aug-2021,930.43,1034.35,924.47,1022.76,2820.8
3,Sep-2021,1029.48,1164.0,1021.33,1141.01,3289.96
4,Oct-2021,1133.18,1246.14,1130.03,1148.71,2337.75
5,Nov-2021,1148.71,1178.58,1045.79,1089.45,3212.36
6,Dec-2021,1101.95,1131.62,1017.75,1072.58,2864.16
7,Jan-2022,1071.15,1162.78,1043.98,1080.93,2745.63
8,Feb-2022,1090.63,1112.55,1015.89,1068.68,2511.02
9,Mar-2022,1068.68,1217.44,987.36,1193.33,3142.48
10,Apr-2022,1193.89,1293.6,1142.17,1263.75,2951.44
11,May-2022,1250.96,1270.66,1073.42,1192.37,4037.46
12,Jun-2022,1193.12,1276.03,1107.38,1175.62,3517.01
13,Jul-2022,1166.22,1173.96,1071.15,1136.57,4268.95
14,Aug-2022,1140.97,1212.42,1135.74,1194.77,2352.03
15,Sep-2022,1173.55,1194.92,1050.11,1080.44,2575.34
16,Oct-2022,1086.69,1163.68,1064.69,1158.53,2047.63
17,Nov-2022,1181.43,1247.52,1136.9,1241.11,2262.51
18,Dec-2022,1245.86,1251.86,1132.47,1157.44,1978.47
19,Jan-2023,1158.71,1184.16,1045.56,1069.58,2856.3
20,Feb-2023,1081.44,1119.54,1041.93,1055.36,3057.11
21,Mar-2023,1065.1,1101.73,990.58,1059.22,3480.34
22,Apr-2023,1065.56,1101.89,1049.0,1099.86,2098.38
23,May-2023,1099.86,1153.12,1096.48,1122.31,2185.69
24,Jun-2023,1126.97,1174.16,1113.72,1158.82,2237.24
25,Jul-2023,1162.37,1297.75,1161.14,1255.0,4162.55
26,Aug-2023,1257.83,1271.52,1181.48,1184.97,2984.75
27,Sep-2023,1188.94,1226.71,1148.65,1158.53,3170.34
28,Oct-2023,1158.53,1169.4,1096.92,1130.32,2056.73
29,Nov-2023,1130.94,1191.61,1124.04,1174.56,2057.15
30,Dec-2023,1174.83,1291.43,1174.63,1277.07,2554.63
31,Jan-2024,1274.9,1442.58,1269.17,1409.63,2586.75
32,Feb-2024,1417.9,1482.08,1401.15,1443.39,2388.11
33,Mar-2024,1446.06,1494.43,1396.06,1468.15,2254.79
34,Apr-2024,1474.69,1476.2,1424.32,1449.52,2194.97
35,May-2024,1449.52,1474.44,1367.51,1413.36,2406.21
36,Jun-2024,1465.33,1562.16,1343.1,1546.75,3190.5
37,Jul-2024,1543.91,1589.63,1445.57,1487.49,2300.9
38,Aug-2024,1493.98,1521.38,1416.17,1491.64,2595.7
39,Sep-2024,1497.94,1520.35,1433.5,1463.93,2977.15
40,Oct-2024,1467.97,1475.21,1309.0,1320.65,4007.74
41,Nov-2024,1321.64,1330.46,1206.83,1281.14,2799.01
42,Dec-2024,1276.97,1318.56,1191.21,1205.04,2885.59
43,Jan-2025,1204.45,1314.65,1201.23,1254.27,2856.91
44,Feb-2025,1254.27,1279.45,1183.08,1189.82,2066.64
45,Mar-2025,1193.69,1296.5,1146.1,1264.18,2622.52
46,Apr-2025,1253.77,1400.31,1105.3,1392.97,2957.56
47,May-2025,1392.97,1448.89,1362.73,1408.73,2330.59
48,Jun-2025,1400.01,1511.74,1383.65,1487.75,2205.83
49,Jul-2025,1487.75,1537.72,1370.37,1378.3,2467.6
50,Aug-2025,1375.03,1419.64,1338.44,1345.58,1891.61
51,Sep-2025,1349.76,1415.46,1334.43,1357.72,2135.18
52,Oct-2025,1360.71,1501.36,1350.66,1479.56,2490.6
53,Nov-2025,1479.16,1574.02,1463.33,1560.29,2011.86
54,Dec-2025,1567.75,1573.62,1510.62,1563.17,1835.81
55,Jan-2026,1566.46,1604.38,1361.7,1388.98,2790.63
56,Feb-2026,1389.58,1482.64,1328.86,1387.48,2262.34
57,Mar-2026,1369.17,1427.4,1300.98,1337.71,3996.89
58,Apr-2026,1377.83,1430.39,1284.06,1424.22,4491.68
59,May-2026,1424.22,1466.62,1306.56,1315.12,3295.39
60,Jun-2026,1332.5,1344.9,1253.2,1316.5,3338.16
