S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,671.93,678.91,669.41,673.6,12.69
2,01-07-2021,674.72,678.3,671.04,672.9,7.97
3,02-07-2021,674.72,716.6,671.93,714.46,133.1
4,05-07-2021,721.2,726.83,708.59,719.81,55.99
5,06-07-2021,719.62,726.28,702.03,707.24,24.56
6,07-07-2021,710.78,718.41,703.62,716.6,17.98
7,08-07-2021,721.48,725.44,703.38,711.29,23.5
8,09-07-2021,710.08,722.74,706.41,711.85,19.51
9,12-07-2021,714.27,736.42,713.34,724.88,45.93
10,13-07-2021,729.58,730.65,718.74,728.65,19.01
11,14-07-2021,730.65,737.49,721.9,723.39,19.52
12,15-07-2021,726.83,727.3,719.48,723.86,9.79
13,16-07-2021,725.86,731.35,719.48,726.83,12.57
14,19-07-2021,724.04,740.33,715.71,725.58,27.76
15,20-07-2021,724.51,730.23,702.64,706.97,22.05
16,22-07-2021,712.6,714.6,704.87,709.8,11.38
17,23-07-2021,715.67,715.67,699.85,702.68,9.76
18,26-07-2021,697.98,713.25,691.47,705.71,13.9
19,27-07-2021,707.29,710.83,687.79,692.03,11.81
20,28-07-2021,696.68,696.68,679.05,687.51,17.29
21,29-07-2021,686.82,702.17,686.54,699.57,16.14
22,30-07-2021,700.22,717.3,699.06,710.22,22.56
23,02-08-2021,717.53,726.79,713.39,720.93,16.44
24,03-08-2021,722.32,727.07,716.27,718.69,9.99
25,04-08-2021,721.25,725.62,707.57,710.5,9.17
26,05-08-2021,714.32,721.25,701.71,715.95,14.63
27,06-08-2021,751.82,785.47,747.03,766.53,237.25
28,09-08-2021,771.27,798.31,756.29,787.61,113.2
29,10-08-2021,789.14,805.94,772.99,785.14,80.84
30,11-08-2021,788.68,802.87,778.02,800.22,48.77
31,12-08-2021,803.99,824.92,800.5,815.11,59.42
32,13-08-2021,819.29,826.23,815.25,818.04,29.19
33,16-08-2021,819.62,830.04,805.94,811.1,26.05
34,17-08-2021,813.76,825.39,799.01,805.33,28.26
35,18-08-2021,809.66,812.45,795.75,799.94,17.9
36,20-08-2021,794.77,805.01,773.41,781.14,18.4
37,23-08-2021,786.4,793.84,758.01,765.22,20.25
38,24-08-2021,768.71,779.79,764.25,772.3,17.6
