S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,733.97,737.18,719.0,723.8,17.33
2,01-07-2021,725.14,729.17,719.57,725.38,19.14
3,02-07-2021,727.15,737.61,722.64,732.62,19.16
4,05-07-2021,739.19,740.2,733.97,735.21,10.21
5,06-07-2021,736.84,737.8,727.25,731.66,14.12
6,07-07-2021,728.21,734.97,720.77,732.09,21.05
7,08-07-2021,732.0,734.92,726.29,732.33,15.4
8,09-07-2021,732.05,741.4,728.88,734.88,11.52
9,12-07-2021,739.72,754.93,737.9,744.42,29.93
10,13-07-2021,749.22,749.22,735.6,741.5,15.0
11,14-07-2021,742.22,745.19,732.43,737.04,10.94
12,15-07-2021,737.8,743.18,732.53,741.02,9.66
13,16-07-2021,741.02,743.51,730.51,732.05,9.8
14,19-07-2021,730.13,738.76,727.78,734.49,16.96
15,20-07-2021,731.09,736.84,716.7,726.39,21.95
16,22-07-2021,732.53,734.83,724.47,733.2,14.64
17,23-07-2021,736.03,745.48,734.92,743.7,20.21
18,26-07-2021,748.6,754.11,739.53,744.85,21.54
19,27-07-2021,748.74,756.18,733.01,738.52,20.02
20,28-07-2021,737.76,738.76,709.21,724.28,31.12
21,29-07-2021,724.37,729.07,718.13,720.73,17.42
22,30-07-2021,721.49,731.09,714.97,725.57,16.13
23,02-08-2021,732.05,739.72,725.91,728.74,20.54
24,03-08-2021,729.17,739.48,728.74,736.51,29.46
25,04-08-2021,738.76,738.76,724.51,727.97,54.26
26,05-08-2021,730.13,739.43,726.58,737.18,24.7
27,06-08-2021,741.64,765.96,740.68,749.65,78.5
28,09-08-2021,751.67,751.67,732.05,733.82,16.62
29,10-08-2021,734.83,743.13,730.18,740.59,14.3
30,11-08-2021,740.59,742.79,721.49,733.97,13.92
31,12-08-2021,734.59,744.71,732.05,742.84,8.8
32,13-08-2021,745.48,777.91,742.89,774.69,79.56
33,16-08-2021,774.65,782.37,767.64,769.61,26.04
34,17-08-2021,772.34,801.13,772.34,799.01,75.81
35,18-08-2021,805.2,810.58,796.47,807.27,30.49
36,20-08-2021,799.16,817.82,793.16,812.93,37.82
37,23-08-2021,815.18,815.23,789.61,798.73,21.62
38,24-08-2021,799.69,806.35,793.45,802.95,11.7
39,25-08-2021,802.18,816.14,799.45,802.09,17.78
40,26-08-2021,807.84,822.04,800.69,818.68,24.65
41,27-08-2021,819.31,825.97,809.76,813.55,23.66
42,30-08-2021,815.52,827.75,815.52,825.59,18.76
43,31-08-2021,827.03,832.5,821.71,829.86,21.32
44,01-09-2021,835.76,839.21,817.72,832.26,20.52
45,02-09-2021,831.25,839.5,827.08,836.1,13.15
46,03-09-2021,838.11,838.11,827.17,834.56,10.75
47,06-09-2021,834.56,842.05,827.99,834.75,9.85
48,07-09-2021,834.71,852.93,829.86,833.07,28.4
