S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,72.56,74.23,72.37,73.85,190.42
2,04-01-2021,74.52,76.05,73.99,75.67,237.12
3,05-01-2021,74.47,78.48,74.38,77.48,461.82
4,06-01-2021,78.29,79.72,77.1,78.72,461.58
5,07-01-2021,79.39,79.87,77.81,78.15,352.2
6,08-01-2021,80.53,80.77,78.86,79.29,411.78
7,11-01-2021,79.82,80.15,78.43,79.53,255.75
8,12-01-2021,79.25,83.35,78.91,82.16,436.71
9,13-01-2021,82.97,83.69,79.96,81.97,372.72
10,14-01-2021,82.21,83.21,81.06,82.06,206.2
11,15-01-2021,82.49,84.02,80.53,81.68,354.17
12,18-01-2021,81.97,81.97,77.34,78.39,314.81
13,19-01-2021,79.01,81.82,78.86,81.54,254.69
14,20-01-2021,81.73,82.54,80.34,80.96,194.77
15,21-01-2021,81.63,81.82,78.48,79.25,168.89
16,22-01-2021,79.15,79.34,74.42,75.81,429.34
17,25-01-2021,80.2,80.2,74.47,75.67,556.72
18,27-01-2021,76.05,76.19,72.23,72.51,470.63
19,28-01-2021,71.61,74.38,71.08,73.61,400.97
20,29-01-2021,75.0,75.04,71.61,71.99,283.87
21,01-02-2021,72.94,77.53,71.13,76.29,459.09
22,02-02-2021,77.81,80.3,76.05,79.82,479.56
23,03-02-2021,80.34,81.63,78.53,80.39,418.17
24,04-02-2021,81.11,86.41,80.63,85.55,945.13
25,05-02-2021,87.31,87.5,81.15,83.49,985.04
26,08-02-2021,84.02,87.5,83.54,85.93,701.45
27,09-02-2021,86.07,86.36,82.54,83.21,370.86
28,10-02-2021,84.07,85.88,82.44,84.11,570.57
29,11-02-2021,84.69,85.12,83.54,83.83,184.83
30,12-02-2021,84.02,84.5,82.11,83.35,188.55
31,15-02-2021,84.02,84.88,82.44,82.78,283.72
32,16-02-2021,83.45,86.88,82.68,86.17,458.34
33,17-02-2021,86.79,88.27,85.74,86.98,669.48
34,18-02-2021,87.6,89.8,86.12,88.89,486.16
35,19-02-2021,89.17,90.56,85.31,86.98,695.44
36,22-02-2021,86.84,88.32,84.97,86.02,382.03
37,23-02-2021,86.6,89.17,85.74,87.89,439.25
38,24-02-2021,88.65,90.23,87.89,89.8,275.61
39,25-02-2021,90.61,93.23,90.08,91.66,709.38
40,26-02-2021,90.51,92.04,88.79,90.85,506.97
41,01-03-2021,92.23,95.0,91.23,93.47,621.34
42,02-03-2021,95.48,96.24,93.57,95.81,671.08
43,03-03-2021,99.87,100.73,97.86,100.49,852.73
44,04-03-2021,99.1,108.84,98.1,104.36,1474.26
45,05-03-2021,105.69,105.69,99.3,102.49,750.15
46,08-03-2021,103.97,106.79,103.31,104.12,572.74
47,09-03-2021,105.02,105.64,99.96,102.16,518.04
48,10-03-2021,104.16,104.31,101.01,102.49,438.53
49,12-03-2021,103.5,109.32,102.16,108.13,1628.29
50,15-03-2021,108.84,108.99,103.11,106.5,1014.55
51,16-03-2021,106.93,107.22,104.16,104.74,502.75
52,17-03-2021,104.26,105.5,97.77,98.63,642.42
53,18-03-2021,99.87,101.78,91.66,96.0,1026.7
54,19-03-2021,95.48,100.01,91.94,99.44,1189.97
55,22-03-2021,100.15,101.68,99.1,100.01,749.13
56,23-03-2021,100.2,101.16,99.3,99.82,418.88
57,24-03-2021,98.34,100.82,96.29,96.67,496.03
58,25-03-2021,97.2,97.58,92.23,94.19,781.79
59,26-03-2021,96.38,99.63,95.48,98.77,789.88
60,30-03-2021,100.58,100.58,98.15,98.91,474.5
61,31-03-2021,98.96,101.06,98.2,98.58,357.03
62,01-04-2021,99.2,100.73,98.87,100.3,346.38
63,05-04-2021,100.25,100.73,95.91,98.67,483.4
64,06-04-2021,99.1,102.49,97.82,99.96,567.13
65,07-04-2021,99.63,100.87,98.82,99.73,362.19
66,08-04-2021,100.25,101.92,99.96,100.2,369.11
67,09-04-2021,100.58,101.4,98.34,99.39,353.51
68,12-04-2021,96.43,96.43,85.83,88.03,1258.94
69,13-04-2021,88.12,91.94,87.41,91.51,768.62
70,15-04-2021,90.42,92.33,89.08,89.89,388.46
71,16-04-2021,90.7,93.52,89.8,92.76,495.16
72,19-04-2021,88.22,90.65,87.65,89.56,436.58
73,20-04-2021,91.66,91.66,88.22,89.37,356.32
74,22-04-2021,89.75,90.7,88.22,89.99,341.87
75,23-04-2021,89.94,92.52,89.32,91.32,409.43
76,26-04-2021,91.37,92.76,91.18,91.94,245.47
77,27-04-2021,92.56,94.0,92.04,93.57,268.92
78,28-04-2021,94.14,94.66,93.23,93.52,323.46
79,29-04-2021,94.43,95.67,93.04,93.23,398.1
80,30-04-2021,92.56,96.81,91.9,94.38,401.26
81,03-05-2021,93.52,95.86,91.99,95.33,374.05
82,04-05-2021,96.05,98.72,95.48,96.48,555.62
83,05-05-2021,97.77,98.29,95.72,97.39,254.22
84,06-05-2021,97.91,99.92,97.0,98.25,351.5
85,07-05-2021,99.15,99.25,97.62,98.05,287.91
86,10-05-2021,99.06,105.5,98.53,104.98,700.28
87,11-05-2021,104.07,106.12,102.26,104.4,647.38
