S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,850.82,861.42,842.01,845.6,3.51
2,01-07-2021,847.14,857.68,843.75,853.61,1.39
3,02-07-2021,862.31,905.25,853.21,895.3,19.46
4,05-07-2021,904.95,916.39,891.51,897.43,13.16
5,06-07-2021,900.47,913.01,886.94,897.34,7.3
6,07-07-2021,903.01,907.63,888.88,904.35,2.84
7,08-07-2021,910.12,943.2,901.46,916.69,21.8
8,09-07-2021,917.09,920.27,895.88,901.16,5.07
9,12-07-2021,905.84,920.67,890.91,895.14,5.76
10,13-07-2021,903.75,932.42,896.78,922.56,8.42
11,14-07-2021,926.74,931.77,910.12,913.75,6.85
12,15-07-2021,917.09,923.71,894.89,898.67,4.39
13,16-07-2021,906.83,906.83,873.98,875.88,5.7
14,19-07-2021,873.88,874.98,856.07,866.02,7.59
15,20-07-2021,865.92,865.92,834.17,857.46,7.54
16,22-07-2021,863.03,920.77,861.09,916.29,18.13
17,23-07-2021,918.73,918.73,883.79,887.07,6.15
18,26-07-2021,892.4,892.9,866.62,886.97,6.13
19,27-07-2021,887.92,921.71,881.0,912.81,9.47
20,28-07-2021,912.81,927.44,894.34,922.06,7.4
21,29-07-2021,922.26,928.88,906.34,910.72,3.59
22,30-07-2021,915.49,938.64,907.83,918.68,7.2
23,02-08-2021,919.08,964.57,918.68,952.22,13.42
24,03-08-2021,961.48,961.48,929.78,934.46,5.72
25,04-08-2021,942.62,948.34,916.54,924.65,3.35
26,05-08-2021,926.34,935.6,893.89,911.31,10.41
27,06-08-2021,916.99,932.66,908.08,915.14,6.36
28,09-08-2021,922.11,934.16,912.46,924.65,6.7
29,10-08-2021,928.09,959.69,916.49,941.47,21.99
30,11-08-2021,916.79,925.75,848.1,896.38,29.59
31,12-08-2021,901.36,909.22,876.07,892.6,5.93
32,13-08-2021,896.38,899.87,872.64,878.81,7.39
33,16-08-2021,880.9,885.08,861.99,870.7,4.37
34,17-08-2021,866.02,904.74,863.03,883.34,9.74
35,18-08-2021,890.56,899.77,874.63,896.63,4.78
36,20-08-2021,877.72,910.81,867.76,893.1,8.8
37,23-08-2021,895.39,897.63,862.19,880.16,7.1
38,24-08-2021,884.64,898.87,872.19,896.63,5.13
39,25-08-2021,898.57,918.33,886.28,912.56,7.61
40,26-08-2021,915.79,959.74,915.74,937.04,31.22
41,27-08-2021,941.37,953.62,935.7,944.16,6.39
42,30-08-2021,950.63,1002.39,946.65,986.77,19.81
43,31-08-2021,990.45,1010.31,971.54,1002.29,9.69
44,01-09-2021,999.86,1031.96,983.68,989.85,8.61
45,02-09-2021,994.83,1009.01,981.04,995.92,6.01
46,03-09-2021,1004.29,1013.0,979.65,991.15,4.54
47,06-09-2021,995.53,1019.22,991.15,1005.28,6.47
48,07-09-2021,1005.18,1017.28,988.71,994.43,5.98
49,08-09-2021,996.42,1045.2,990.45,1029.12,22.26
50,09-09-2021,1033.8,1040.57,1005.68,1017.87,12.29
51,13-09-2021,1009.36,1023.0,993.68,1001.5,4.49
52,14-09-2021,1005.33,1019.07,995.48,999.41,5.29
53,15-09-2021,1001.15,1005.38,982.49,997.17,6.36
54,16-09-2021,1004.88,1005.83,985.62,991.2,2.86
55,17-09-2021,995.43,995.43,959.59,977.96,5.63
56,20-09-2021,966.56,997.86,948.64,974.67,5.69
57,21-09-2021,977.01,986.62,951.88,982.63,4.32
58,22-09-2021,980.49,990.45,971.49,979.2,2.53
59,23-09-2021,984.48,1027.08,981.59,1001.95,12.08
60,24-09-2021,1012.65,1020.66,973.53,983.03,8.35
61,27-09-2021,990.45,1003.39,978.21,998.71,3.15
62,28-09-2021,1004.39,1015.33,989.4,1009.31,6.12
63,29-09-2021,1009.31,1009.31,965.56,1004.98,4.15
64,30-09-2021,1008.37,1036.84,996.67,1021.16,9.42
65,01-10-2021,1021.16,1085.01,1015.33,1039.57,32.94
66,04-10-2021,1048.68,1052.56,1016.08,1041.37,10.44
67,05-10-2021,1045.2,1063.12,1035.49,1045.05,6.75
68,06-10-2021,1055.1,1092.78,1031.31,1039.77,13.24
69,07-10-2021,1054.16,1121.8,1050.22,1103.78,19.88
70,08-10-2021,1114.83,1114.83,1083.12,1098.3,4.4
71,11-10-2021,1109.7,1134.79,1090.64,1098.1,6.81
72,12-10-2021,1103.93,1137.77,1089.99,1128.42,10.64
73,13-10-2021,1120.0,1204.42,1098.55,1168.83,14.34
74,14-10-2021,1169.68,1178.58,1139.76,1149.17,5.63
75,18-10-2021,1160.62,1174.55,1140.46,1149.02,5.72
76,19-10-2021,1154.69,1169.18,1089.2,1111.54,8.33
77,20-10-2021,1111.54,1132.99,1080.04,1106.32,5.74
78,21-10-2021,1117.37,1118.51,1062.17,1075.41,4.7
79,22-10-2021,1076.01,1107.61,1038.63,1046.04,8.14
80,25-10-2021,1056.15,1080.04,1004.53,1015.98,7.73
81,26-10-2021,1019.32,1049.43,1011.85,1036.69,9.99
82,27-10-2021,1047.44,1067.35,1021.56,1029.12,4.77
