S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,749.37,757.34,743.45,745.19,54.6
2,01-07-2021,746.88,751.26,741.4,743.35,56.96
3,02-07-2021,744.49,749.72,740.91,747.53,35.58
4,05-07-2021,753.95,758.83,750.27,757.19,46.8
5,06-07-2021,753.85,763.81,752.06,755.2,55.29
6,07-07-2021,752.76,760.82,749.12,759.73,35.73
7,08-07-2021,756.84,763.96,748.57,751.26,41.88
8,09-07-2021,748.87,749.77,737.17,744.24,57.82
9,12-07-2021,749.37,754.65,745.19,750.47,44.75
10,13-07-2021,755.84,769.79,751.86,767.55,98.11
11,14-07-2021,767.74,770.23,760.82,766.85,56.22
12,15-07-2021,767.3,775.01,763.31,770.93,42.4
13,16-07-2021,772.77,772.77,763.36,767.94,29.14
14,19-07-2021,749.17,763.46,746.48,752.06,55.54
15,20-07-2021,751.86,752.06,741.11,742.65,58.16
16,22-07-2021,746.98,755.35,737.92,743.64,78.76
17,23-07-2021,745.89,760.82,737.02,752.26,66.04
18,26-07-2021,750.86,756.84,741.9,753.16,78.91
19,27-07-2021,747.38,752.86,726.07,728.66,154.42
20,28-07-2021,731.74,731.74,709.14,719.89,111.02
21,29-07-2021,717.01,725.47,713.02,714.27,68.56
22,30-07-2021,715.06,715.66,704.21,705.95,103.58
23,02-08-2021,712.03,722.53,709.04,718.15,68.23
24,03-08-2021,720.99,737.77,716.31,735.53,92.66
25,04-08-2021,737.42,753.85,735.58,750.67,97.44
26,05-08-2021,749.87,751.86,740.41,746.18,72.47
27,06-08-2021,743.89,754.5,735.73,737.77,65.23
28,09-08-2021,737.92,754.25,736.67,752.36,60.65
29,10-08-2021,752.36,760.82,751.86,758.38,83.09
30,11-08-2021,761.82,765.8,749.37,757.64,64.29
31,12-08-2021,755.84,760.23,750.22,754.2,35.72
32,13-08-2021,754.35,761.32,751.06,756.74,42.39
33,16-08-2021,752.86,762.62,752.86,758.83,39.68
34,17-08-2021,755.84,756.84,746.18,753.6,55.76
35,18-08-2021,760.62,760.62,747.38,751.26,53.7
36,20-08-2021,742.7,745.89,733.14,737.17,60.92
37,23-08-2021,746.38,746.38,731.35,733.04,36.15
38,24-08-2021,732.94,746.58,728.46,743.25,45.37
39,25-08-2021,745.09,748.33,732.14,735.98,67.27
40,26-08-2021,731.05,746.88,729.3,743.25,64.92
41,27-08-2021,743.4,756.44,737.92,749.27,58.42
42,30-08-2021,752.86,786.22,750.86,780.79,125.18
