S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,491.43,495.41,487.54,494.21,103.77
2,04-01-2021,495.98,499.34,490.8,496.08,134.89
3,05-01-2021,493.1,495.89,490.32,493.1,106.89
4,06-01-2021,494.06,510.13,492.24,503.95,308.38
5,07-01-2021,510.37,531.91,505.67,523.08,394.45
6,08-01-2021,526.97,527.4,515.46,518.29,145.38
7,11-01-2021,519.49,531.81,519.49,524.91,198.92
8,12-01-2021,526.68,545.87,522.84,542.75,258.57
9,13-01-2021,564.1,577.24,543.95,554.74,852.39
10,14-01-2021,559.01,561.03,546.88,556.95,169.74
11,15-01-2021,584.77,585.83,569.66,578.15,574.51
12,18-01-2021,578.15,578.49,560.26,563.09,213.6
13,19-01-2021,567.07,573.16,562.66,568.22,110.34
14,20-01-2021,568.22,578.01,565.06,571.92,133.33
15,21-01-2021,575.85,579.49,551.05,557.72,173.81
16,22-01-2021,560.16,561.75,549.47,553.4,126.63
17,25-01-2021,555.46,563.95,546.4,557.14,125.04
18,27-01-2021,556.42,558.1,539.49,547.6,155.68
19,28-01-2021,543.47,552.44,539.87,547.69,152.02
20,29-01-2021,554.98,554.98,528.22,531.1,255.22
21,01-02-2021,536.28,557.48,526.87,555.61,142.13
22,02-02-2021,561.12,581.03,555.7,574.99,217.12
23,03-02-2021,584.63,597.19,575.08,584.1,306.41
24,04-02-2021,589.9,597.67,571.44,576.18,519.77
25,05-02-2021,579.25,581.27,552.82,557.48,354.65
26,08-02-2021,565.06,579.11,560.93,573.02,216.46
27,09-02-2021,574.55,583.04,570.81,574.6,209.27
28,10-02-2021,580.36,583.04,556.66,566.21,316.43
29,11-02-2021,567.93,579.01,565.06,573.79,192.54
30,12-02-2021,573.55,573.55,560.83,562.42,159.05
31,15-02-2021,568.03,578.49,566.02,569.57,179.73
32,16-02-2021,570.81,577.14,568.89,569.8,150.65
33,17-02-2021,572.68,574.46,566.06,569.71,164.37
34,18-02-2021,572.73,573.69,561.41,565.1,221.94
35,19-02-2021,566.02,571.77,552.1,557.72,194.65
36,22-02-2021,558.34,561.12,544.91,547.12,202.28
37,23-02-2021,551.63,553.54,541.07,542.56,237.64
38,24-02-2021,545.01,550.76,542.22,549.66,88.89
39,25-02-2021,556.33,560.69,553.59,555.61,162.3
40,26-02-2021,551.15,562.13,529.32,533.69,1985.47
41,01-03-2021,535.32,536.37,499.82,510.57,550.91
42,02-03-2021,518.53,521.89,507.35,519.2,306.23
43,03-03-2021,526.44,528.36,518.05,524.09,246.69
44,04-03-2021,518.05,523.8,516.13,517.66,176.78
45,05-03-2021,513.25,516.61,503.08,511.14,166.59
46,08-03-2021,509.41,513.68,503.42,504.33,152.93
47,09-03-2021,508.55,510.37,493.39,500.54,201.82
48,10-03-2021,499.05,508.93,495.36,504.47,190.14
49,12-03-2021,508.98,511.09,500.35,502.89,116.24
50,15-03-2021,506.34,506.34,495.41,501.6,108.76
51,16-03-2021,502.7,512.05,502.7,507.78,132.52
52,17-03-2021,507.3,509.41,497.9,501.64,84.83
53,18-03-2021,508.31,510.57,494.4,505.77,124.65
54,19-03-2021,506.54,513.01,504.14,508.41,495.98
55,22-03-2021,511.38,512.29,501.74,506.54,135.82
56,23-03-2021,508.17,510.8,500.92,507.74,152.39
57,24-03-2021,506.54,511.76,500.3,502.36,108.01
58,25-03-2021,502.12,502.36,479.24,487.11,175.72
59,26-03-2021,491.28,503.56,489.84,501.26,111.48
60,30-03-2021,506.34,506.44,495.26,500.3,106.91
61,31-03-2021,501.12,504.52,495.26,496.27,77.13
62,01-04-2021,498.81,502.6,493.63,499.63,71.12
63,05-04-2021,499.63,507.5,493.68,506.78,93.77
64,06-04-2021,507.02,515.99,503.23,510.57,131.15
65,07-04-2021,515.17,524.67,513.49,519.58,213.92
66,08-04-2021,524.57,526.25,518.53,520.93,113.67
67,09-04-2021,517.57,527.4,514.69,523.08,116.42
68,12-04-2021,515.7,516.94,497.42,501.21,98.7
69,13-04-2021,505.0,518.05,501.83,514.35,66.58
70,15-04-2021,518.05,523.95,508.69,517.42,99.9
71,16-04-2021,518.1,522.03,516.13,518.77,62.73
72,19-04-2021,510.61,513.25,501.98,505.05,73.69
73,20-04-2021,507.5,515.17,504.52,508.65,73.69
74,22-04-2021,508.45,511.72,504.67,509.27,66.75
75,23-04-2021,507.5,510.8,498.0,501.36,71.24
76,26-04-2021,501.5,507.02,501.5,506.1,59.29
77,27-04-2021,506.01,516.66,504.86,512.58,98.75
78,28-04-2021,514.16,525.72,513.83,522.17,121.95
79,29-04-2021,527.35,527.64,517.18,518.86,88.47
80,30-04-2021,511.81,524.76,511.81,514.93,83.32
81,03-05-2021,508.45,539.63,507.54,536.13,145.56
82,04-05-2021,542.94,542.94,524.48,529.99,141.96
83,05-05-2021,534.26,541.98,531.48,537.19,120.96
84,06-05-2021,537.19,541.46,530.14,536.04,91.7
85,07-05-2021,538.39,549.61,534.26,545.39,128.94
86,10-05-2021,548.75,553.54,545.97,549.27,83.66
87,11-05-2021,542.51,551.48,541.12,545.29,80.33
88,12-05-2021,544.91,546.01,535.51,538.91,68.15
89,14-05-2021,541.07,546.2,533.54,537.62,76.98
90,17-05-2021,541.02,541.02,523.61,527.31,136.77
91,18-05-2021,525.24,530.42,512.82,514.55,349.69
92,19-05-2021,516.03,518.58,504.81,506.73,195.84
93,20-05-2021,509.41,509.41,498.86,499.48,140.37
94,21-05-2021,501.98,511.62,500.78,509.37,104.93
95,24-05-2021,509.41,511.33,504.62,505.38,63.86
96,25-05-2021,508.36,509.22,503.18,504.71,94.13
97,26-05-2021,507.5,509.22,503.66,504.38,69.09
98,27-05-2021,504.71,505.58,497.61,498.67,227.83
99,28-05-2021,501.02,507.02,499.24,502.31,102.49
100,31-05-2021,504.14,514.21,503.75,513.16,128.03
101,01-06-2021,515.6,516.51,508.74,511.24,84.36
102,02-06-2021,508.36,512.87,506.54,507.97,105.68
103,03-06-2021,508.45,511.72,507.02,510.42,62.9
104,04-06-2021,512.24,514.02,509.61,511.04,48.79
105,07-06-2021,512.29,519.01,511.33,514.64,96.74
106,08-06-2021,516.23,525.72,512.29,524.57,128.23
107,09-06-2021,527.55,529.08,513.59,518.05,126.74
108,10-06-2021,521.79,525.58,518.38,522.99,70.18
109,11-06-2021,523.32,527.4,518.1,518.86,77.77
110,14-06-2021,518.86,518.86,507.78,517.42,57.14
111,15-06-2021,519.01,521.55,516.51,520.45,72.65
112,16-06-2021,521.69,521.69,513.16,514.93,100.46
113,17-06-2021,517.57,519.25,505.62,507.16,102.15
114,18-06-2021,509.8,519.87,497.9,516.85,150.0
115,21-06-2021,513.25,519.87,511.33,517.66,57.43
116,22-06-2021,525.77,526.68,513.73,514.59,91.15
