S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,382.57,410.45,382.57,405.96,95.21
2,04-01-2021,409.56,440.7,408.77,437.44,159.4
3,05-01-2021,426.34,433.25,424.36,431.52,55.03
4,06-01-2021,433.2,440.55,424.81,429.15,56.84
5,07-01-2021,432.11,434.48,423.18,425.7,42.28
6,08-01-2021,429.35,431.72,422.09,426.14,33.45
7,11-01-2021,429.1,429.1,418.05,421.21,20.62
8,12-01-2021,419.53,445.09,412.62,437.24,61.88
9,13-01-2021,441.54,442.87,414.2,422.29,52.56
10,14-01-2021,425.6,435.57,417.8,420.56,47.8
11,15-01-2021,421.5,424.41,411.93,418.54,29.59
12,18-01-2021,421.06,421.06,397.27,403.89,53.85
13,19-01-2021,405.32,441.14,405.32,432.21,137.34
14,20-01-2021,435.27,452.89,426.39,451.45,91.87
15,21-01-2021,452.98,458.76,422.19,426.04,94.22
16,22-01-2021,428.66,438.03,414.69,416.62,93.57
17,25-01-2021,429.3,443.61,410.74,415.09,99.15
18,27-01-2021,416.91,425.1,403.34,405.12,50.84
19,28-01-2021,395.74,408.77,392.29,399.94,37.48
20,29-01-2021,407.59,421.65,385.53,392.64,75.63
21,01-02-2021,396.73,443.02,396.73,437.14,108.12
22,02-02-2021,441.19,468.77,428.31,433.34,101.0
23,03-02-2021,438.92,461.13,432.31,453.82,99.72
24,04-02-2021,456.93,464.83,451.8,458.31,49.32
25,05-02-2021,461.87,467.74,443.36,445.19,43.25
26,08-02-2021,449.04,462.41,448.05,454.56,24.78
27,09-02-2021,459.21,466.04,450.31,454.32,40.83
28,10-02-2021,455.35,466.04,449.81,462.93,49.87
29,11-02-2021,465.1,473.56,459.41,466.74,57.82
30,12-02-2021,466.83,472.87,460.55,463.72,25.73
31,15-02-2021,467.18,532.45,467.18,527.26,313.59
32,16-02-2021,523.05,531.46,511.72,522.6,104.86
33,17-02-2021,516.72,528.29,516.72,522.55,36.59
34,18-02-2021,524.53,531.02,520.67,522.26,51.28
35,19-02-2021,521.37,530.08,512.46,524.88,86.54
36,22-02-2021,528.89,545.27,513.65,523.2,163.51
37,23-02-2021,521.02,532.45,505.38,512.46,55.13
38,24-02-2021,514.59,516.76,482.32,499.3,55.24
39,25-02-2021,505.73,532.45,504.74,520.62,62.25
40,26-02-2021,507.76,517.61,494.94,513.55,41.72
41,01-03-2021,519.09,552.24,514.14,516.91,82.35
42,02-03-2021,522.36,534.38,518.4,533.0,31.65
43,03-03-2021,537.0,546.11,528.49,535.07,30.14
44,04-03-2021,531.46,540.91,527.65,529.58,27.57
45,05-03-2021,528.39,528.39,510.33,521.37,27.05
46,08-03-2021,526.51,533.74,521.12,528.64,30.61
47,09-03-2021,531.02,543.24,519.59,538.79,47.81
48,10-03-2021,544.23,551.06,524.58,533.84,50.36
49,12-03-2021,538.69,544.23,523.94,526.31,26.6
50,15-03-2021,530.47,532.3,508.75,529.43,31.9
51,16-03-2021,532.4,538.74,524.73,535.07,35.77
52,17-03-2021,536.31,538.44,520.62,524.14,22.35
53,18-03-2021,528.99,534.38,511.07,522.21,23.18
54,19-03-2021,519.63,553.19,513.15,547.15,60.0
55,22-03-2021,552.24,573.62,539.43,564.52,90.87
56,23-03-2021,565.75,568.87,550.71,553.93,34.37
57,24-03-2021,546.11,563.58,539.77,542.84,35.18
58,25-03-2021,545.32,547.1,520.08,531.96,33.88
59,26-03-2021,540.17,558.83,537.6,548.93,56.48
60,30-03-2021,554.42,558.48,543.73,549.57,19.57
61,31-03-2021,549.92,559.17,541.36,553.04,27.67
62,01-04-2021,560.16,563.03,543.93,556.7,44.61
63,05-04-2021,554.22,555.16,528.49,538.74,34.9
64,06-04-2021,538.34,541.8,528.49,534.43,42.27
65,07-04-2021,538.14,582.03,532.8,572.09,73.8
66,08-04-2021,574.91,574.91,555.21,557.14,54.76
67,09-04-2021,555.76,564.12,547.1,552.15,18.95
68,12-04-2021,539.08,539.38,498.5,505.58,58.23
69,13-04-2021,506.72,538.29,501.97,526.96,121.85
70,15-04-2021,522.06,535.57,517.75,529.78,34.7
71,16-04-2021,534.43,544.82,531.86,535.02,28.62
72,19-04-2021,521.56,529.43,508.9,525.08,39.23
73,20-04-2021,530.37,553.43,527.75,533.19,60.4
74,22-04-2021,526.27,553.43,523.69,545.51,40.71
75,23-04-2021,542.94,560.95,539.43,550.22,42.53
76,26-04-2021,553.19,563.13,545.27,546.65,37.93
77,27-04-2021,547.59,560.16,547.2,558.78,27.58
78,28-04-2021,558.78,583.62,548.88,577.78,38.59
