S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,785.15,791.02,783.1,788.78,24.75
2,04-01-2021,792.98,798.99,788.73,794.17,34.88
3,05-01-2021,794.17,805.15,787.54,789.4,45.59
4,06-01-2021,791.07,796.22,777.95,787.06,33.18
5,07-01-2021,792.03,792.45,780.57,788.73,28.8
6,08-01-2021,792.69,807.48,789.54,800.33,50.73
7,11-01-2021,800.61,820.65,794.65,817.65,53.32
8,12-01-2021,820.65,825.04,802.52,804.57,43.38
9,13-01-2021,808.58,813.02,794.41,803.19,35.97
10,14-01-2021,803.19,808.77,791.07,802.43,36.53
11,15-01-2021,800.61,806.24,783.44,786.01,31.38
12,18-01-2021,784.39,788.83,759.77,765.07,37.42
13,19-01-2021,765.78,787.64,765.78,784.82,37.91
14,20-01-2021,784.87,796.7,784.68,794.7,30.57
15,21-01-2021,796.8,800.9,771.99,775.56,33.26
16,22-01-2021,778.47,784.87,761.73,771.32,38.83
17,25-01-2021,775.8,817.79,771.27,798.51,107.04
18,27-01-2021,801.47,817.27,787.44,803.95,74.1
19,28-01-2021,797.27,810.01,787.92,803.38,44.9
20,29-01-2021,809.15,811.92,783.2,788.11,71.86
21,01-02-2021,777.71,792.98,744.27,769.5,138.56
22,02-02-2021,770.08,788.54,764.83,784.01,84.87
23,03-02-2021,788.21,838.69,786.49,810.39,156.75
24,04-02-2021,808.77,817.31,794.51,796.27,46.4
25,05-02-2021,801.19,815.79,792.5,808.92,73.81
26,08-02-2021,813.02,819.94,802.57,808.49,42.45
27,09-02-2021,809.2,817.65,800.61,803.24,42.0
28,10-02-2021,808.82,827.33,802.52,823.9,56.65
29,11-02-2021,828.29,834.87,816.84,820.46,53.48
30,12-02-2021,819.7,824.8,806.82,809.73,24.73
31,15-02-2021,811.21,817.41,803.48,805.67,25.32
32,16-02-2021,811.11,813.26,802.76,809.54,28.08
33,17-02-2021,810.59,815.6,794.89,797.46,25.4
34,18-02-2021,796.8,804.86,784.87,787.68,41.14
35,19-02-2021,786.11,787.68,762.44,770.41,38.34
36,22-02-2021,774.28,780.1,750.09,756.19,40.9
37,23-02-2021,758.63,766.4,752.33,754.76,32.64
38,24-02-2021,757.67,761.58,740.73,752.95,15.87
39,25-02-2021,758.63,776.76,754.28,772.13,54.78
40,26-02-2021,768.17,782.48,744.31,751.04,75.49
41,01-03-2021,758.63,763.87,746.22,753.66,27.48
42,02-03-2021,756.34,777.71,754.62,774.66,42.75
43,03-03-2021,780.53,780.72,770.65,775.33,32.66
44,04-03-2021,770.46,780.57,766.93,769.84,36.41
45,05-03-2021,769.6,774.85,763.64,768.31,38.32
46,08-03-2021,770.98,781.53,769.31,772.22,29.15
47,09-03-2021,775.42,779.33,755.86,760.54,27.84
48,10-03-2021,769.12,777.47,764.35,775.23,25.13
49,12-03-2021,779.14,781.24,765.31,769.08,20.83
50,15-03-2021,770.94,771.89,753.86,768.65,26.51
51,16-03-2021,768.26,771.51,750.99,756.05,36.71
52,17-03-2021,758.44,758.44,734.77,736.82,32.46
53,18-03-2021,740.5,742.83,716.5,720.6,28.95
54,19-03-2021,716.64,732.15,704.33,725.85,52.62
55,22-03-2021,727.14,748.7,723.99,737.49,35.63
56,23-03-2021,739.54,743.74,733.24,740.59,21.19
57,24-03-2021,742.21,762.16,737.3,756.67,69.04
58,25-03-2021,760.44,765.59,747.46,751.23,52.92
59,26-03-2021,754.81,762.44,745.51,751.42,29.35
60,30-03-2021,754.09,778.57,754.09,775.04,44.54
61,31-03-2021,773.89,786.25,768.17,777.81,30.75
62,01-04-2021,782.01,786.3,774.47,780.86,19.11
63,05-04-2021,787.25,789.16,769.22,782.24,29.21
64,06-04-2021,786.3,806.34,784.25,797.89,45.69
65,07-04-2021,797.89,806.24,792.26,802.38,24.04
66,08-04-2021,804.43,811.54,800.04,803.48,24.6
67,09-04-2021,802.43,851.47,798.37,842.65,111.89
68,12-04-2021,849.28,896.99,838.93,861.11,301.42
69,13-04-2021,879.77,889.93,838.12,844.7,116.67
70,15-04-2021,857.68,883.06,843.46,872.37,132.18
71,16-04-2021,877.67,901.05,869.22,895.13,137.46
72,19-04-2021,902.0,911.31,881.72,903.0,178.06
73,20-04-2021,920.94,922.14,898.04,905.87,102.06
74,22-04-2021,914.93,919.08,895.89,901.14,85.22
75,23-04-2021,901.14,909.25,880.53,892.79,79.73
76,26-04-2021,892.79,896.99,860.87,863.98,102.56
77,27-04-2021,871.23,877.43,859.78,870.66,56.69
78,28-04-2021,872.52,876.0,861.64,868.56,72.51
79,29-04-2021,870.23,875.43,862.64,865.03,49.53
80,30-04-2021,859.54,878.86,859.54,868.7,64.6
81,03-05-2021,877.05,882.11,864.93,868.56,63.3
82,04-05-2021,871.13,871.13,835.92,838.26,83.48
83,05-05-2021,844.51,857.87,829.24,847.99,104.91
84,06-05-2021,865.5,874.76,840.6,843.84,179.73
85,07-05-2021,852.14,854.53,836.87,842.5,54.79
86,10-05-2021,851.67,864.98,837.35,859.06,83.79
87,11-05-2021,858.77,864.5,847.56,850.14,58.64
88,12-05-2021,848.61,865.26,843.84,857.49,52.24
89,14-05-2021,867.41,878.86,859.59,862.69,150.48
90,17-05-2021,854.05,863.59,830.2,840.88,141.22
91,18-05-2021,846.42,847.71,838.26,843.94,51.3
92,19-05-2021,847.23,864.5,840.69,862.59,72.43
93,20-05-2021,864.55,885.45,863.59,881.92,123.79
94,21-05-2021,887.45,892.22,880.1,884.49,67.41
95,24-05-2021,888.4,902.24,883.78,888.64,64.2
96,25-05-2021,896.66,896.99,887.45,892.79,36.95
97,26-05-2021,897.95,908.4,896.09,901.91,54.45
98,27-05-2021,902.72,905.34,891.31,899.23,62.5
99,28-05-2021,897.18,904.01,888.4,891.6,21.57
100,31-05-2021,891.6,907.49,881.72,905.91,31.83
101,01-06-2021,908.44,914.17,900.38,903.15,29.05
102,02-06-2021,903.15,916.55,903.15,911.02,24.49
103,03-06-2021,911.31,915.79,902.72,904.86,22.59
104,04-06-2021,904.63,907.97,893.65,903.1,30.58
105,07-06-2021,908.2,908.2,894.65,896.8,20.28
106,08-06-2021,896.8,911.31,889.22,910.11,22.79
107,09-06-2021,911.12,930.39,906.73,914.79,54.99
108,10-06-2021,916.98,930.39,916.08,929.63,47.54
109,11-06-2021,930.39,937.36,921.33,923.57,34.81
110,14-06-2021,928.2,934.21,913.21,931.49,23.77
111,15-06-2021,930.39,934.06,922.9,925.33,12.9
112,16-06-2021,924.67,926.72,910.16,912.98,16.84
113,17-06-2021,911.31,915.84,900.33,907.44,24.29
114,18-06-2021,907.44,923.38,902.1,916.94,49.78
115,21-06-2021,914.17,918.65,907.01,916.22,16.26
116,22-06-2021,912.45,916.94,905.72,912.12,23.44
117,23-06-2021,912.26,921.8,910.54,913.93,18.07
118,24-06-2021,913.98,914.84,900.81,907.39,17.7
119,25-06-2021,907.49,917.03,905.53,913.31,21.34
120,28-06-2021,917.99,926.91,913.31,918.99,17.6
121,29-06-2021,919.89,943.75,916.12,934.78,43.01
122,30-06-2021,946.8,951.38,924.81,927.43,71.96
123,01-07-2021,932.49,935.16,922.95,933.35,22.91
124,02-07-2021,936.93,940.7,930.49,934.4,14.21
125,05-07-2021,934.49,938.84,928.58,930.1,12.86
126,06-07-2021,930.39,930.39,920.61,924.76,11.58
127,07-07-2021,923.71,924.62,917.03,921.04,17.4
128,08-07-2021,921.33,923.71,901.57,907.16,16.63
129,09-07-2021,908.44,921.42,906.49,915.89,13.02
130,12-07-2021,916.08,923.66,912.12,915.93,11.23
