S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,670.87,672.27,661.83,663.91,88.11
2,04-01-2021,669.94,669.94,651.77,659.69,157.4
3,05-01-2021,661.18,666.56,656.43,664.67,143.87
4,06-01-2021,668.54,670.87,658.34,661.81,221.34
5,07-01-2021,667.38,667.42,658.08,659.81,198.95
6,08-01-2021,667.14,671.8,663.0,666.98,137.69
7,11-01-2021,675.53,682.47,669.15,676.2,173.31
8,12-01-2021,676.67,693.09,675.11,689.97,203.88
9,13-01-2021,695.52,697.38,681.17,685.15,169.35
10,14-01-2021,685.38,693.23,678.32,684.26,122.97
11,15-01-2021,684.43,685.62,673.2,683.29,141.65
12,18-01-2021,684.8,700.15,683.45,690.95,428.26
13,19-01-2021,695.0,704.25,683.45,700.62,173.6
14,20-01-2021,699.29,699.29,692.3,695.1,133.46
15,21-01-2021,695.1,696.19,683.99,687.08,263.33
16,22-01-2021,683.87,683.87,670.94,672.52,153.92
17,25-01-2021,682.56,689.97,677.93,681.52,203.45
18,27-01-2021,683.92,685.73,655.1,656.71,235.56
19,28-01-2021,647.53,652.84,625.21,638.93,427.04
20,29-01-2021,648.21,656.31,635.7,647.81,287.05
21,01-02-2021,657.01,690.67,652.7,687.99,263.71
22,02-02-2021,699.29,735.4,697.61,727.03,424.2
23,03-02-2021,735.63,736.89,718.39,733.67,202.37
24,04-02-2021,729.57,739.82,719.07,735.67,244.85
25,05-02-2021,721.19,753.91,721.19,744.29,270.55
26,08-02-2021,754.73,760.16,743.41,747.86,174.48
27,09-02-2021,750.07,758.46,739.22,750.93,184.21
28,10-02-2021,749.3,752.33,730.04,736.91,197.88
29,11-02-2021,737.03,744.39,728.73,732.53,136.49
30,12-02-2021,733.25,741.92,732.83,737.0,99.1
31,15-02-2021,745.46,757.06,743.87,753.15,103.55
32,16-02-2021,755.29,764.51,749.35,757.83,138.97
33,17-02-2021,754.73,755.57,737.49,739.12,127.94
34,18-02-2021,748.18,748.18,721.19,724.12,147.21
35,19-02-2021,719.79,728.73,714.2,717.04,171.4
36,22-02-2021,719.81,733.25,717.2,721.19,294.52
37,23-02-2021,723.86,725.7,709.38,712.4,182.4
38,24-02-2021,711.17,751.91,706.39,748.42,143.14
39,25-02-2021,749.95,762.3,746.34,748.39,201.1
40,26-02-2021,739.38,740.24,708.61,714.85,279.13
41,01-03-2021,728.64,732.62,717.78,726.26,135.36
42,02-03-2021,734.09,739.59,722.58,730.6,161.1
43,03-03-2021,737.96,743.55,729.11,739.29,112.22
44,04-03-2021,721.44,731.9,717.04,723.07,162.91
45,05-03-2021,713.27,720.07,708.65,712.8,174.46
46,08-03-2021,718.39,724.45,704.65,707.91,151.17
47,09-03-2021,719.79,729.43,716.64,727.94,150.67
48,10-03-2021,732.37,733.76,723.12,724.8,110.55
49,12-03-2021,745.41,745.41,715.15,723.03,156.31
50,15-03-2021,721.37,721.37,705.95,712.17,122.3
51,16-03-2021,713.22,717.65,703.48,704.48,137.22
52,17-03-2021,710.12,716.99,694.26,696.66,210.64
53,18-03-2021,704.3,709.1,690.04,694.63,180.66
54,19-03-2021,691.84,704.04,686.73,697.66,212.35
55,22-03-2021,696.45,696.45,680.37,684.45,140.16
56,23-03-2021,684.85,702.29,684.43,698.89,197.61
57,24-03-2021,694.58,701.83,685.31,688.95,163.69
58,25-03-2021,694.26,696.75,675.65,681.75,239.64
59,26-03-2021,696.03,698.36,686.71,694.77,120.21
60,30-03-2021,701.92,727.96,699.55,723.84,256.08
61,31-03-2021,721.19,721.19,693.23,695.87,307.75
62,01-04-2021,698.54,698.54,682.52,692.65,357.64
63,05-04-2021,689.51,691.84,666.68,675.34,160.07
64,06-04-2021,680.19,681.42,667.45,670.99,150.76
65,07-04-2021,670.54,678.65,662.28,674.22,250.88
66,08-04-2021,676.93,680.61,666.44,667.52,176.14
67,09-04-2021,664.35,667.52,659.27,662.37,281.58
68,12-04-2021,648.97,651.77,630.34,636.88,225.49
69,13-04-2021,637.33,655.24,634.07,652.4,186.01
70,15-04-2021,654.56,669.33,648.04,666.26,344.45
71,16-04-2021,668.52,673.2,663.18,665.58,156.07
72,19-04-2021,647.58,660.48,639.33,658.01,240.69
73,20-04-2021,663.88,664.53,644.76,648.23,231.86
74,22-04-2021,642.92,664.72,638.75,662.72,384.85
75,23-04-2021,656.43,668.35,652.33,658.83,227.14
76,26-04-2021,658.29,665.75,653.52,654.47,301.71
77,27-04-2021,655.61,671.8,654.47,670.26,205.93
78,28-04-2021,669.12,689.04,666.68,688.02,241.04
79,29-04-2021,692.39,700.52,680.65,686.01,240.79
80,30-04-2021,673.2,677.3,655.73,657.97,352.33
81,03-05-2021,648.97,662.44,641.66,658.97,224.74
82,04-05-2021,656.87,662.95,644.46,646.81,214.86
83,05-05-2021,652.7,656.71,643.71,653.45,144.22
84,06-05-2021,655.78,657.27,649.91,652.65,114.77
85,07-05-2021,658.27,663.86,657.01,659.11,120.48
86,10-05-2021,664.81,666.21,658.2,661.48,110.6
87,11-05-2021,650.37,663.51,649.93,653.89,145.19
88,12-05-2021,652.12,656.24,647.04,652.0,137.75
89,14-05-2021,649.6,651.72,644.01,646.11,106.04
90,17-05-2021,649.98,672.08,643.52,670.99,151.21
