S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,663.94,668.16,662.46,665.8,12.64
2,04-01-2021,667.71,684.64,667.71,682.93,50.32
3,05-01-2021,678.26,701.72,677.43,700.49,69.55
4,06-01-2021,699.76,707.12,692.3,705.7,35.82
5,07-01-2021,706.63,710.36,689.45,691.22,32.85
6,08-01-2021,702.11,708.54,694.95,703.68,28.41
7,11-01-2021,707.51,717.42,702.41,711.63,32.17
8,12-01-2021,713.5,713.5,700.94,705.06,16.07
9,13-01-2021,705.11,711.24,695.39,700.0,26.4
10,14-01-2021,699.76,705.2,689.5,693.77,19.95
11,15-01-2021,695.24,703.68,689.16,691.76,24.17
12,18-01-2021,689.94,696.13,676.2,681.06,23.82
13,19-01-2021,682.09,688.52,680.82,685.58,20.17
14,20-01-2021,687.0,698.63,687.0,689.89,24.95
15,21-01-2021,696.81,698.68,686.02,687.49,22.55
16,22-01-2021,689.65,695.64,671.39,674.63,26.44
17,25-01-2021,682.09,686.51,653.29,667.76,35.32
18,27-01-2021,672.28,682.09,660.55,670.17,36.3
19,28-01-2021,666.88,670.36,657.65,659.32,19.64
20,29-01-2021,661.14,672.23,655.74,665.36,45.98
21,01-02-2021,665.7,700.05,656.08,686.07,83.84
22,02-02-2021,697.3,698.78,661.97,668.4,67.02
23,03-02-2021,672.28,682.09,666.39,676.4,29.02
24,04-02-2021,672.52,677.82,665.55,667.76,33.8
25,05-02-2021,669.92,672.23,659.91,668.89,27.59
26,08-02-2021,673.11,678.56,664.67,671.35,38.87
27,09-02-2021,675.91,697.01,675.17,691.81,73.31
28,10-02-2021,696.86,710.46,696.81,705.7,85.15
29,11-02-2021,707.61,712.96,697.11,700.94,30.45
30,12-02-2021,700.69,706.63,695.1,697.75,17.6
31,15-02-2021,700.25,704.03,681.31,682.34,38.71
32,16-02-2021,683.47,690.92,674.19,682.44,30.66
33,17-02-2021,683.07,698.29,680.13,690.04,35.33
34,18-02-2021,690.43,702.65,688.96,700.2,29.5
35,19-02-2021,702.01,710.01,690.04,697.45,37.88
36,22-02-2021,697.79,700.4,675.27,677.77,31.1
37,23-02-2021,680.62,699.61,677.33,692.59,46.94
38,24-02-2021,698.83,708.1,684.05,705.45,23.62
39,25-02-2021,710.55,730.18,707.61,719.88,56.36
40,26-02-2021,712.47,717.33,681.06,687.64,131.23
41,01-03-2021,698.09,700.25,687.15,692.15,22.11
42,02-03-2021,701.67,714.28,693.13,707.41,24.47
43,03-03-2021,710.55,717.91,707.71,713.99,17.14
44,04-03-2021,707.61,714.97,699.76,707.12,21.23
45,05-03-2021,709.57,711.29,698.09,703.93,21.4
46,08-03-2021,708.49,723.26,701.72,709.52,32.04
47,09-03-2021,718.4,732.14,718.4,726.45,54.13
48,10-03-2021,729.35,732.14,711.63,717.77,24.23
49,12-03-2021,726.06,726.06,696.81,697.6,32.71
50,15-03-2021,698.78,701.72,682.58,691.07,23.94
51,16-03-2021,694.56,697.4,687.0,689.99,16.19
52,17-03-2021,693.38,693.97,674.73,676.99,21.0
53,18-03-2021,682.19,686.26,662.56,668.2,21.24
54,19-03-2021,667.32,677.18,661.33,675.66,31.47
55,22-03-2021,676.64,681.85,665.65,667.22,25.86
56,23-03-2021,671.15,676.65,668.01,670.85,22.07
57,24-03-2021,666.59,674.09,662.51,663.94,17.35
58,25-03-2021,663.94,664.97,649.7,654.61,27.43
59,26-03-2021,659.91,664.23,654.17,659.22,17.61
60,30-03-2021,662.95,680.42,662.46,674.98,34.68
61,31-03-2021,675.22,684.84,668.35,683.27,23.68
62,01-04-2021,686.8,691.27,669.63,678.17,34.43
63,05-04-2021,684.94,685.04,663.54,669.48,20.75
64,06-04-2021,673.7,688.03,667.91,684.2,14.27
65,07-04-2021,691.37,691.91,682.29,686.85,28.9
66,08-04-2021,687.0,692.89,684.35,688.42,18.17
67,09-04-2021,687.0,690.14,677.68,681.94,15.87
68,12-04-2021,672.28,677.18,666.98,674.53,34.57
69,13-04-2021,676.35,697.5,672.28,692.99,41.72
70,15-04-2021,699.9,700.44,675.22,681.55,25.66
71,16-04-2021,681.6,688.27,676.3,677.82,27.85
72,19-04-2021,669.38,671.74,649.26,653.58,49.37
73,20-04-2021,657.65,676.2,657.65,672.47,53.73
74,22-04-2021,659.52,670.12,659.52,666.44,25.27
75,23-04-2021,666.39,678.56,663.79,673.6,31.4
76,26-04-2021,680.13,695.0,674.44,691.37,32.75
77,27-04-2021,697.84,705.65,664.43,666.14,108.6
78,28-04-2021,669.82,669.82,658.68,660.11,40.11
79,29-04-2021,665.41,668.7,659.67,662.12,39.39
80,30-04-2021,657.56,665.41,648.43,652.75,27.42
81,03-05-2021,647.74,661.97,644.94,659.42,49.08
82,04-05-2021,664.43,668.2,653.14,655.45,41.19
83,05-05-2021,657.61,663.25,654.61,661.87,22.49
