S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,230.65,231.62,229.3,230.02,50.92
2,04-01-2021,232.49,248.99,231.18,245.42,249.02
3,05-01-2021,242.33,243.92,238.37,241.56,122.97
4,06-01-2021,241.99,250.92,239.1,250.0,180.29
5,07-01-2021,252.32,265.78,251.88,263.37,327.39
6,08-01-2021,264.38,264.86,255.89,258.83,206.07
7,11-01-2021,258.25,259.99,248.99,255.45,131.63
8,12-01-2021,251.35,261.05,251.35,255.12,131.36
9,13-01-2021,256.23,259.02,249.81,253.48,133.0
10,14-01-2021,253.52,255.84,250.48,252.27,76.02
11,15-01-2021,252.85,254.1,242.33,244.5,177.38
12,18-01-2021,243.49,245.37,232.2,234.66,179.9
13,19-01-2021,237.89,243.82,234.85,242.76,102.54
14,20-01-2021,242.81,244.79,239.92,243.29,110.91
15,21-01-2021,244.02,245.66,237.84,240.21,87.82
16,22-01-2021,238.61,241.07,227.32,230.84,160.05
17,25-01-2021,232.29,235.38,225.44,231.91,82.98
18,27-01-2021,231.62,231.66,221.72,223.32,141.39
19,28-01-2021,217.14,223.99,216.71,221.05,137.57
20,29-01-2021,222.06,226.12,217.14,218.4,149.92
21,01-02-2021,219.41,235.43,218.64,232.73,124.18
22,02-02-2021,235.67,248.41,235.38,246.43,182.51
23,03-02-2021,245.13,254.2,243.73,248.26,156.71
24,04-02-2021,250.87,258.06,249.9,252.7,212.96
25,05-02-2021,254.78,256.71,246.96,252.9,128.33
26,08-02-2021,254.78,270.75,254.34,269.21,275.57
27,09-02-2021,268.82,275.91,266.02,268.34,220.67
28,10-02-2021,271.18,273.45,265.1,269.64,167.9
29,11-02-2021,270.99,286.96,270.07,285.08,473.56
30,12-02-2021,286.63,286.87,276.49,280.64,154.54
31,15-02-2021,282.28,285.71,278.9,281.22,80.42
32,16-02-2021,283.3,296.61,282.77,292.13,275.2
33,17-02-2021,292.13,297.72,290.49,293.28,182.21
34,18-02-2021,295.36,301.68,294.35,299.07,162.02
35,19-02-2021,297.24,302.4,291.69,297.24,174.1
36,22-02-2021,299.17,316.54,299.17,305.06,459.76
37,23-02-2021,310.7,326.34,305.59,321.42,506.77
38,24-02-2021,322.53,325.71,316.54,321.17,147.77
39,25-02-2021,325.81,342.21,325.23,338.45,359.67
40,26-02-2021,331.02,337.44,323.06,328.36,203.79
41,01-03-2021,330.05,334.88,322.91,332.08,145.56
42,02-03-2021,332.22,337.1,326.92,333.19,128.78
43,03-03-2021,338.45,348.68,338.26,346.8,201.05
44,04-03-2021,339.7,345.21,334.88,337.24,136.23
45,05-03-2021,333.19,335.46,321.51,326.05,151.28
46,08-03-2021,328.17,331.89,323.01,324.84,105.56
47,09-03-2021,328.08,332.37,316.98,321.61,138.84
48,10-03-2021,324.07,330.39,318.91,328.46,108.86
