S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,2285.5,2296.92,2258.41,2266.02,14.47
2,01-07-2021,2277.66,2277.66,2258.41,2272.16,7.35
3,02-07-2021,2272.16,2285.64,2248.32,2280.69,8.6
4,05-07-2021,2291.41,2304.62,2278.62,2291.46,7.62
5,06-07-2021,2283.16,2290.45,2263.91,2267.12,4.62
6,07-07-2021,2253.82,2283.9,2242.68,2275.51,6.23
7,08-07-2021,2257.67,2264.59,2235.89,2244.24,11.14
8,09-07-2021,2237.32,2259.78,2235.89,2247.81,5.38
9,12-07-2021,2249.24,2255.56,2228.15,2241.12,5.44
10,13-07-2021,2251.07,2251.57,2228.15,2234.29,9.94
11,14-07-2021,2237.13,2238.55,2208.89,2214.26,13.78
12,15-07-2021,2223.56,2223.56,2201.56,2211.96,6.94
13,16-07-2021,2218.98,2228.15,2206.14,2216.59,5.45
14,19-07-2021,2200.68,2216.23,2199.26,2208.57,4.64
15,20-07-2021,2203.39,2255.65,2203.39,2232.64,10.61
16,22-07-2021,2246.48,2299.67,2178.17,2180.6,35.46
17,23-07-2021,2184.13,2193.07,2159.1,2162.22,15.18
18,26-07-2021,2161.44,2163.96,2143.79,2153.6,13.12
19,27-07-2021,2153.6,2163.46,2138.29,2147.82,16.57
20,28-07-2021,2154.79,2171.71,2148.46,2165.24,9.12
21,29-07-2021,2165.24,2174.41,2136.45,2140.81,10.13
22,30-07-2021,2145.62,2160.8,2125.45,2139.48,17.08
23,02-08-2021,2147.46,2157.91,2131.5,2139.02,12.3
24,03-08-2021,2136.45,2194.22,2132.88,2188.58,17.33
25,04-08-2021,2188.58,2195.82,2170.88,2179.64,15.89
26,05-08-2021,2192.39,2192.39,2158.46,2161.85,9.22
27,06-08-2021,2161.85,2182.99,2161.67,2174.51,14.33
28,09-08-2021,2181.8,2196.05,2177.58,2186.43,9.21
29,10-08-2021,2195.14,2195.14,2163.14,2183.95,10.61
30,11-08-2021,2191.47,2196.05,2165.98,2191.88,13.01
31,12-08-2021,2196.05,2213.02,2179.96,2193.58,12.26
32,13-08-2021,2201.56,2209.49,2189.64,2204.76,10.33
33,16-08-2021,2204.31,2234.43,2193.9,2224.85,11.46
34,17-08-2021,2230.9,2280.82,2229.11,2277.48,19.22
35,18-08-2021,2278.58,2292.33,2250.15,2279.54,15.46
36,20-08-2021,2283.16,2411.53,2270.33,2401.81,57.8
37,23-08-2021,2406.95,2450.82,2378.98,2415.34,21.63
38,24-08-2021,2415.2,2437.21,2393.19,2414.28,14.83
39,25-08-2021,2413.37,2444.96,2402.96,2425.29,17.47
40,26-08-2021,2412.45,2473.7,2412.45,2444.91,21.17
41,27-08-2021,2447.29,2466.55,2430.88,2455.5,11.76
42,30-08-2021,2468.02,2480.99,2449.68,2464.44,11.68
43,31-08-2021,2464.62,2510.06,2453.39,2497.82,25.36
44,01-09-2021,2516.98,2544.49,2489.47,2505.89,17.76
45,02-09-2021,2519.73,2576.58,2503.36,2568.37,19.46
46,03-09-2021,2569.43,2575.43,2527.07,2536.88,15.62
47,06-09-2021,2558.24,2590.34,2544.76,2549.62,14.45
48,07-09-2021,2556.96,2575.39,2539.9,2546.96,12.2
49,08-09-2021,2557.23,2576.58,2535.41,2568.24,9.47
50,09-09-2021,2550.91,2589.1,2550.91,2577.18,8.79
51,13-09-2021,2565.12,2588.0,2544.49,2554.9,13.41
52,14-09-2021,2569.25,2571.08,2522.53,2533.07,17.55
53,15-09-2021,2543.57,2553.66,2520.69,2544.9,13.62
54,16-09-2021,2523.4,2564.94,2523.4,2538.3,12.59
55,17-09-2021,2540.0,2551.82,2474.8,2496.12,30.95
56,20-09-2021,2494.06,2575.66,2484.93,2567.73,26.71
57,21-09-2021,2576.58,2621.79,2564.34,2578.83,22.77
58,22-09-2021,2592.99,2604.0,2543.57,2553.2,15.81
59,23-09-2021,2566.49,2583.64,2542.52,2551.18,10.54
60,24-09-2021,2540.0,2549.07,2504.51,2518.49,16.35
61,27-09-2021,2535.32,2535.32,2479.84,2484.43,14.66
62,28-09-2021,2498.64,2525.65,2484.8,2497.59,10.78
63,29-09-2021,2489.43,2516.48,2454.63,2462.24,15.04
64,30-09-2021,2462.24,2480.58,2459.17,2477.37,16.2
65,01-10-2021,2481.22,2486.72,2457.47,2479.43,9.56
66,04-10-2021,2475.72,2497.72,2457.1,2463.06,10.25
67,05-10-2021,2463.06,2489.43,2462.88,2483.65,5.63
68,06-10-2021,2470.26,2506.89,2453.71,2462.93,8.62
69,07-10-2021,2473.88,2479.62,2444.54,2447.66,10.83
70,08-10-2021,2448.67,2456.05,2407.31,2420.75,15.8
71,11-10-2021,2422.72,2444.08,2416.58,2425.38,10.86
72,12-10-2021,2406.95,2464.76,2406.95,2453.85,11.74
73,13-10-2021,2464.81,2469.85,2423.09,2426.89,16.6
74,14-10-2021,2426.89,2454.4,2402.36,2429.46,21.59
75,18-10-2021,2450.78,2456.37,2423.5,2433.54,17.58
76,19-10-2021,2448.12,2505.06,2311.13,2335.24,54.31
77,20-10-2021,2355.6,2369.35,2264.82,2272.75,48.65
78,21-10-2021,2295.45,2296.92,2226.31,2242.59,32.55
79,22-10-2021,2254.74,2290.73,2228.15,2250.24,18.46
80,25-10-2021,2250.24,2258.91,2209.81,2251.85,15.6
81,26-10-2021,2277.73,2277.73,2229.89,2248.16,15.95
82,27-10-2021,2264.9,2265.09,2206.0,2211.03,30.84
83,28-10-2021,2214.16,2228.92,2184.64,2204.61,20.16
84,29-10-2021,2214.16,2216.01,2189.25,2207.84,24.53
85,01-11-2021,2207.7,2224.22,2184.87,2220.71,19.41
86,02-11-2021,2228.0,2239.99,2216.01,2231.6,13.5
87,03-11-2021,2245.53,2245.53,2201.43,2224.63,15.92
88,04-11-2021,2240.92,2241.84,2232.61,2235.24,2.46
89,08-11-2021,2259.37,2259.37,2214.25,2243.59,25.56
90,09-11-2021,2250.88,2256.78,2229.34,2242.9,16.97
91,10-11-2021,2224.36,2232.61,2210.47,2214.3,17.95
92,11-11-2021,2216.65,2220.57,2182.98,2192.21,12.83
93,12-11-2021,2203.09,2226.71,2192.2,2218.73,16.52
94,15-11-2021,2217.94,2241.84,2217.94,2237.0,10.08
95,16-11-2021,2246.13,2246.13,2214.25,2220.3,12.45
96,17-11-2021,2217.85,2223.43,2202.35,2206.0,9.57
97,18-11-2021,2204.94,2220.02,2186.49,2213.61,12.37
98,22-11-2021,2222.83,2223.3,2193.08,2203.6,16.29
99,23-11-2021,2202.91,2214.16,2155.58,2208.81,19.33
100,24-11-2021,2219.7,2219.7,2183.72,2190.87,9.99
101,25-11-2021,2202.17,2202.17,2159.73,2167.16,13.63
102,26-11-2021,2162.5,2181.87,2145.15,2154.29,24.51
103,29-11-2021,2153.64,2160.88,2107.79,2149.03,17.25
104,30-11-2021,2142.2,2178.18,2123.75,2138.1,39.31
105,01-12-2021,2158.81,2174.26,2143.35,2163.28,12.63
106,02-12-2021,2174.49,2203.09,2163.42,2198.75,16.73
107,03-12-2021,2198.76,2204.84,2156.87,2162.18,18.9
108,06-12-2021,2162.5,2180.9,2122.83,2127.9,10.79
109,07-12-2021,2147.65,2160.33,2132.98,2141.83,8.95
110,08-12-2021,2138.74,2162.91,2138.74,2159.36,8.4
111,09-12-2021,2159.73,2166.74,2141.79,2158.58,7.17
112,10-12-2021,2165.27,2165.27,2140.36,2152.17,7.25
113,13-12-2021,2169.88,2169.88,2122.83,2125.92,18.05
114,14-12-2021,2126.52,2144.92,2125.6,2138.79,12.19
115,15-12-2021,2136.67,2144.79,2122.37,2141.23,7.55
116,16-12-2021,2141.23,2145.25,2125.55,2130.67,9.26
117,17-12-2021,2124.67,2130.16,2053.64,2057.56,24.39
118,20-12-2021,2053.64,2098.24,2030.71,2093.4,21.76
119,21-12-2021,2112.68,2124.4,2078.31,2096.86,15.91
120,22-12-2021,2121.91,2137.96,2093.31,2101.29,16.62
121,23-12-2021,2120.94,2126.52,2098.47,2122.51,14.23
122,24-12-2021,2131.13,2133.9,2106.5,2119.09,8.96
123,27-12-2021,2119.09,2129.38,2101.84,2123.2,5.84
124,28-12-2021,2131.13,2138.88,2119.83,2130.3,7.84
125,29-12-2021,2135.65,2142.06,2121.03,2128.23,14.1
126,30-12-2021,2129.29,2149.58,2118.81,2145.52,9.64
127,31-12-2021,2158.81,2186.81,2149.58,2177.4,11.24
128,03-01-2022,2193.87,2193.87,2170.8,2178.46,8.79
129,04-01-2022,2185.52,2221.64,2172.97,2215.32,14.84
130,05-01-2022,2217.67,2232.61,2206.78,2228.74,12.03
131,06-01-2022,2212.32,2225.23,2184.36,2206.23,11.99
132,07-01-2022,2203.09,2234.37,2203.09,2229.06,10.26
133,10-01-2022,2237.23,2237.23,2216.01,2220.67,9.19
134,11-01-2022,2229.98,2231.05,2206.78,2217.53,13.21
135,12-01-2022,2220.8,2228.92,2212.78,2226.29,14.88
136,13-01-2022,2230.77,2234.37,2217.16,2227.26,15.86
137,14-01-2022,2232.61,2233.54,2178.0,2180.67,15.96
138,17-01-2022,2180.95,2208.81,2163.42,2204.52,9.12
139,18-01-2022,2222.19,2222.19,2174.86,2186.02,16.68
140,19-01-2022,2180.95,2185.19,2126.56,2131.04,21.45
141,20-01-2022,2144.97,2145.48,2069.32,2086.66,28.3
142,21-01-2022,2089.43,2153.6,2075.78,2145.34,45.96
143,24-01-2022,2157.79,2163.37,2091.18,2107.7,22.31
144,25-01-2022,2106.68,2153.0,2067.38,2147.05,18.44
145,27-01-2022,2131.13,2145.52,2098.84,2117.62,26.2
146,28-01-2022,2116.92,2139.16,2101.66,2106.73,19.68
147,31-01-2022,2112.68,2132.84,2095.15,2097.69,16.4
148,01-02-2022,2124.95,2140.36,2101.98,2127.12,12.71
149,02-02-2022,2144.14,2152.35,2118.72,2147.64,12.46
150,03-02-2022,2148.66,2151.38,2112.68,2120.2,14.48
151,04-02-2022,2127.44,2133.67,2106.22,2127.99,10.15
152,07-02-2022,2117.52,2137.31,2063.78,2082.79,12.07
153,08-02-2022,2092.38,2092.38,2072.59,2089.02,11.91
154,09-02-2022,2091.97,2103.78,2080.94,2101.29,10.5
155,10-02-2022,2103.45,2108.07,2081.17,2106.36,11.95
156,11-02-2022,2102.53,2102.53,2074.85,2083.16,21.0
157,14-02-2022,2048.1,2063.09,2036.11,2055.99,16.62
158,15-02-2022,2073.89,2125.73,2050.45,2112.77,15.33
159,16-02-2022,2112.77,2125.36,2098.84,2109.45,9.96
160,17-02-2022,2105.3,2133.9,2099.76,2128.87,8.69
161,18-02-2022,2116.37,2147.55,2116.37,2133.48,8.91
162,21-02-2022,2120.06,2125.64,2107.84,2117.11,7.38
163,22-02-2022,2103.45,2103.45,2075.87,2094.18,9.03
164,23-02-2022,2094.23,2097.87,2077.85,2085.37,13.24
165,24-02-2022,2029.65,2068.4,1993.02,2003.26,29.98
166,25-02-2022,2025.04,2025.96,1994.73,2002.62,21.94
