S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,2526.93,2530.9,2486.32,2488.85,0.26
2,01-07-2021,2491.27,2508.21,2462.55,2492.12,0.15
3,02-07-2021,2492.12,2511.09,2467.4,2499.79,0.26
4,05-07-2021,2506.63,2525.94,2485.13,2514.55,0.18
5,06-07-2021,2506.13,2536.79,2490.13,2516.29,0.21
6,07-07-2021,2510.09,2532.88,2484.34,2493.65,0.2
7,08-07-2021,2506.13,2550.71,2484.39,2533.47,0.2
8,09-07-2021,2525.94,2535.8,2491.82,2495.19,0.15
9,12-07-2021,2505.14,2514.55,2458.98,2476.42,0.3
10,13-07-2021,2491.27,2524.95,2476.42,2514.01,0.23
11,14-07-2021,2514.01,2623.02,2485.33,2595.73,0.71
12,15-07-2021,2619.9,2629.95,2555.66,2574.58,0.26
13,16-07-2021,2595.28,2620.05,2552.24,2585.67,0.27
14,19-07-2021,2571.31,2610.14,2541.79,2570.62,0.19
15,20-07-2021,2595.28,2683.44,2529.31,2603.6,1.23
16,22-07-2021,2628.96,2632.28,2551.95,2564.92,0.5
17,23-07-2021,2565.57,2589.44,2555.66,2575.08,0.54
18,26-07-2021,2574.48,2604.59,2555.81,2569.58,0.25
19,27-07-2021,2569.63,2583.99,2550.81,2556.85,0.11
20,28-07-2021,2557.64,2578.15,2546.75,2559.18,0.49
21,29-07-2021,2556.65,2574.09,2526.44,2540.75,0.11
22,30-07-2021,2542.78,2600.24,2535.85,2580.52,0.24
23,02-08-2021,2585.38,2624.01,2575.47,2594.0,0.25
24,03-08-2021,2600.24,2614.5,2581.86,2593.95,0.16
25,04-08-2021,2593.95,2624.01,2581.42,2586.76,0.17
26,05-08-2021,2576.46,2600.24,2548.23,2581.51,0.15
27,06-08-2021,2585.38,2605.09,2577.9,2599.64,0.17
28,09-08-2021,2585.38,2593.3,2348.24,2488.2,0.46
29,10-08-2021,2488.2,2524.76,2407.08,2431.54,0.55
30,11-08-2021,2436.79,2446.5,2362.5,2394.3,0.31
31,12-08-2021,2398.16,2426.29,2362.5,2399.15,0.26
32,13-08-2021,2406.09,2448.93,2382.56,2399.3,0.53
33,16-08-2021,2399.3,2406.93,2368.49,2377.85,0.22
34,17-08-2021,2377.85,2402.12,2363.49,2388.95,0.81
35,18-08-2021,2409.06,2418.96,2352.55,2368.64,0.24
36,20-08-2021,2372.41,2421.93,2365.47,2410.05,0.41
37,23-08-2021,2454.62,2555.66,2420.25,2541.15,1.48
38,24-08-2021,2569.53,2576.91,2476.42,2554.67,0.3
39,25-08-2021,2555.66,2595.28,2555.66,2573.59,0.21
40,26-08-2021,2593.3,2593.3,2469.04,2502.22,0.19
41,27-08-2021,2502.22,2575.47,2502.22,2566.16,0.12
42,30-08-2021,2566.16,2574.98,2512.08,2536.39,0.54
43,31-08-2021,2550.71,2587.41,2529.91,2561.55,0.34
44,01-09-2021,2570.02,2605.19,2543.77,2552.19,0.18
45,02-09-2021,2571.51,2571.51,2546.75,2569.53,0.07
46,03-09-2021,2551.7,2625.0,2539.37,2601.28,0.3
47,06-09-2021,2611.13,2649.22,2542.34,2585.23,0.37
48,07-09-2021,2625.0,2639.81,2577.45,2588.94,0.32
49,08-09-2021,2585.43,2595.18,2546.94,2564.82,0.47
50,09-09-2021,2564.82,2587.36,2557.29,2565.71,0.14
51,13-09-2021,2557.64,2574.38,2545.85,2563.68,0.07
52,14-09-2021,2571.51,2571.51,2543.77,2550.51,0.1
53,15-09-2021,2560.61,2594.29,2545.76,2554.72,0.14
54,16-09-2021,2567.45,2574.48,2538.82,2551.85,0.32
55,17-09-2021,2560.61,2593.3,2530.9,2580.77,1.04
56,20-09-2021,2580.42,2593.3,2535.85,2556.7,0.52
57,21-09-2021,2544.76,2574.43,2517.03,2537.29,0.13
58,22-09-2021,2531.89,2578.44,2511.09,2569.03,0.46
59,23-09-2021,2584.39,2601.47,2536.84,2552.79,0.15
60,24-09-2021,2568.49,2669.58,2549.77,2563.44,1.32
61,27-09-2021,2575.47,2584.34,2491.27,2505.54,0.31
62,28-09-2021,2497.22,2531.99,2478.4,2499.84,0.3
63,29-09-2021,2496.23,2570.52,2476.46,2534.41,0.23
64,30-09-2021,2545.76,2547.88,2511.09,2536.1,0.18
65,01-10-2021,2522.48,2523.96,2491.27,2502.47,0.15
66,04-10-2021,2521.98,2535.85,2507.12,2521.83,0.12
67,05-10-2021,2521.83,2521.83,2501.18,2510.59,0.15
68,06-10-2021,2507.12,2530.75,2466.51,2477.75,0.22
69,07-10-2021,2505.93,2511.88,2486.32,2491.92,0.16
70,08-10-2021,2510.89,2565.47,2495.24,2509.4,0.26
71,11-10-2021,2509.4,2543.77,2500.44,2519.01,0.19
72,12-10-2021,2520.99,2540.8,2501.67,2512.82,0.15
73,13-10-2021,2516.04,2523.17,2483.4,2498.5,0.22
74,14-10-2021,2498.5,2501.13,2478.4,2484.34,0.22
75,18-10-2021,2491.27,2491.27,2466.51,2470.32,0.24
76,19-10-2021,2471.46,2481.32,2446.7,2451.16,0.18
77,20-10-2021,2446.7,2480.43,2426.89,2457.79,0.37
78,21-10-2021,2462.05,2469.83,2378.4,2425.75,0.25
79,22-10-2021,2431.79,2435.75,2308.12,2397.96,0.18
80,25-10-2021,2398.01,2423.12,2367.45,2380.33,0.23
81,26-10-2021,2396.18,2396.18,2354.82,2361.81,0.13
82,27-10-2021,2395.09,2460.57,2368.44,2391.08,0.24
83,28-10-2021,2368.44,2385.83,2352.59,2367.6,0.13
84,29-10-2021,2365.47,2426.89,2280.78,2367.8,0.48
85,01-11-2021,2367.8,2395.88,2338.53,2342.54,0.32
86,02-11-2021,2353.59,2362.5,2310.99,2320.9,0.35
87,03-11-2021,2321.89,2337.44,2287.22,2294.94,0.18
88,04-11-2021,2294.94,2294.94,2294.94,2294.94,0.0
89,08-11-2021,2327.04,2372.41,2317.88,2361.16,0.9
90,09-11-2021,2334.76,2352.64,2317.97,2324.46,0.19
91,10-11-2021,2330.01,2334.76,2306.24,2311.09,0.1
92,11-11-2021,2327.73,2334.86,2301.09,2304.35,0.08
93,12-11-2021,2304.35,2311.14,2273.35,2277.01,0.19
94,15-11-2021,2281.27,2324.51,2233.73,2261.46,0.24
95,16-11-2021,2261.46,2308.02,2254.73,2295.09,0.44
96,17-11-2021,2297.02,2312.87,2268.4,2270.72,0.16
97,18-11-2021,2313.96,2322.88,2258.49,2279.0,0.13
98,22-11-2021,2265.42,2312.97,2229.76,2298.01,0.23
99,23-11-2021,2278.3,2307.03,2259.09,2261.91,0.18
100,24-11-2021,2262.55,2273.8,2238.68,2241.11,0.12
101,25-11-2021,2253.49,2270.18,2218.87,2246.21,0.12
102,26-11-2021,2228.77,2232.69,2201.24,2213.02,0.14
103,29-11-2021,2179.25,2197.47,2109.21,2134.82,0.27
104,30-11-2021,2139.62,2228.72,2139.57,2201.43,0.2
105,01-12-2021,2186.18,2253.54,2175.28,2239.42,0.11
106,02-12-2021,2266.42,2266.42,2174.29,2201.34,0.19
107,03-12-2021,2191.13,2218.87,2185.29,2187.86,0.09
108,06-12-2021,2181.62,2188.76,2062.95,2069.29,0.32
109,07-12-2021,2080.19,2094.4,2030.66,2048.69,0.29
110,08-12-2021,2069.99,2077.22,2031.95,2040.32,0.22
111,09-12-2021,2051.07,2065.38,2040.57,2050.32,0.16
112,10-12-2021,2050.32,2065.33,2042.89,2052.21,0.18
113,13-12-2021,2052.25,2070.73,2030.66,2032.94,0.18
114,14-12-2021,2030.66,2050.13,2007.93,2032.89,0.17
115,15-12-2021,2044.53,2050.47,2022.04,2033.73,0.09
116,16-12-2021,2030.66,2045.47,1994.55,2022.19,0.37
117,17-12-2021,2033.43,2060.38,1995.99,2017.59,0.15
118,20-12-2021,2007.68,2007.88,1913.13,1967.51,0.36
119,21-12-2021,1971.23,1981.13,1887.57,1914.86,0.24
120,22-12-2021,1906.84,1940.52,1906.84,1910.36,0.17
121,23-12-2021,1923.68,1949.43,1913.97,1935.67,0.28
122,24-12-2021,1941.51,1949.34,1887.08,1896.09,0.26
123,27-12-2021,1882.08,1941.41,1882.08,1922.14,0.18
124,28-12-2021,1921.7,1961.27,1917.79,1938.44,0.12
125,29-12-2021,1938.54,1976.28,1938.54,1952.46,0.14
126,30-12-2021,1965.28,1966.27,1916.94,1925.02,0.82
127,31-12-2021,1955.38,2228.77,1943.0,2110.65,4.29
128,03-01-2022,2095.05,2123.23,1994.6,2094.11,0.62
129,04-01-2022,2100.0,2123.23,2071.27,2087.22,0.25
