S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,1083.9,1090.45,1082.09,1086.1,42.54
2,04-01-2021,1093.46,1111.56,1086.7,1110.05,72.08
3,05-01-2021,1104.67,1119.31,1098.68,1114.83,81.45
4,06-01-2021,1120.18,1121.9,1092.65,1104.75,71.62
5,07-01-2021,1116.73,1118.15,1081.83,1087.56,109.55
6,08-01-2021,1101.44,1134.65,1101.44,1130.6,131.86
7,11-01-2021,1156.45,1192.0,1154.64,1185.84,205.29
8,12-01-2021,1187.39,1187.39,1171.88,1182.0,83.1
9,13-01-2021,1183.81,1200.14,1171.88,1195.27,144.43
10,14-01-2021,1171.88,1192.56,1136.07,1180.92,275.22
11,15-01-2021,1171.88,1175.71,1154.64,1158.91,150.18
12,18-01-2021,1152.92,1154.64,1125.35,1130.56,88.62
13,19-01-2021,1137.41,1146.89,1130.52,1134.52,55.86
14,20-01-2021,1137.88,1161.88,1137.88,1154.17,82.26
15,21-01-2021,1163.26,1172.78,1150.33,1154.38,61.42
16,22-01-2021,1143.44,1168.43,1143.05,1155.38,96.47
17,25-01-2021,1158.95,1161.45,1131.38,1141.8,65.43
18,27-01-2021,1137.07,1143.92,1107.34,1121.04,81.34
19,28-01-2021,1113.11,1117.12,1096.52,1099.67,46.61
20,29-01-2021,1108.33,1112.55,1060.72,1067.66,121.84
21,01-02-2021,1077.57,1101.18,1069.34,1086.48,88.8
22,02-02-2021,1102.94,1115.35,1088.81,1095.4,68.92
23,03-02-2021,1100.92,1123.62,1096.91,1106.95,81.83
24,04-02-2021,1107.25,1114.49,1096.09,1102.38,50.32
25,05-02-2021,1108.46,1110.48,1087.43,1096.14,54.77
26,08-02-2021,1107.68,1128.79,1099.07,1123.24,69.22
27,09-02-2021,1126.12,1147.75,1118.32,1124.96,79.66
28,10-02-2021,1116.56,1123.92,1106.05,1117.16,59.51
29,11-02-2021,1110.7,1116.73,1105.57,1113.84,46.73
30,12-02-2021,1124.48,1140.64,1121.51,1128.62,57.98
31,15-02-2021,1137.41,1144.65,1126.29,1128.49,43.64
32,16-02-2021,1132.24,1137.19,1108.11,1111.9,68.96
33,17-02-2021,1111.9,1115.44,1098.63,1104.06,45.76
