S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,156.77,159.98,156.32,159.72,202.79
2,04-01-2021,159.83,161.32,158.41,159.38,279.27
3,05-01-2021,158.67,159.27,157.29,157.92,187.18
4,06-01-2021,157.92,157.96,152.73,153.41,509.58
5,07-01-2021,153.93,155.05,150.94,151.46,362.99
6,08-01-2021,152.62,153.85,149.56,150.49,586.01
7,11-01-2021,152.36,153.93,150.31,151.24,446.26
8,12-01-2021,151.61,154.53,150.57,154.19,369.89
9,13-01-2021,154.94,159.08,153.29,157.77,663.88
10,14-01-2021,158.33,161.7,158.04,159.94,501.65
11,15-01-2021,160.5,163.19,157.74,162.7,605.67
12,18-01-2021,163.11,165.8,160.28,164.12,702.12
13,19-01-2021,165.06,165.58,162.44,163.45,330.09
14,20-01-2021,163.19,163.56,161.1,162.55,463.93
15,21-01-2021,163.56,163.94,158.48,159.6,301.16
16,22-01-2021,159.83,160.39,156.21,157.36,256.64
17,25-01-2021,158.33,158.71,154.49,155.2,259.29
18,27-01-2021,155.35,158.82,154.68,157.33,503.38
19,28-01-2021,156.28,157.59,153.67,154.3,229.84
20,29-01-2021,155.76,155.94,151.13,151.8,246.8
21,01-02-2021,152.36,162.78,150.72,161.29,599.68
22,02-02-2021,164.31,166.92,162.07,162.97,503.24
23,03-02-2021,165.43,165.8,161.1,161.88,557.09
24,04-02-2021,161.4,172.82,161.32,171.74,1098.94
25,05-02-2021,173.38,178.39,169.72,175.03,1303.23
26,08-02-2021,177.38,177.79,172.9,174.09,430.94
27,09-02-2021,175.21,178.65,170.43,171.03,733.77
28,10-02-2021,171.03,172.6,166.63,169.95,491.04
29,11-02-2021,171.03,171.26,167.67,169.13,453.12
30,12-02-2021,168.6,168.6,161.17,162.41,1148.26
31,15-02-2021,163.15,165.06,162.44,163.26,330.0
32,16-02-2021,163.6,165.65,162.26,163.0,302.72
33,17-02-2021,162.52,163.11,161.73,162.63,206.15
34,18-02-2021,162.97,164.76,162.74,163.45,249.98
35,19-02-2021,163.45,163.49,159.83,161.29,292.08
36,22-02-2021,162.24,162.24,157.64,158.45,535.31
37,23-02-2021,159.17,161.13,158.41,159.56,277.03
38,24-02-2021,160.02,160.55,158.03,159.83,136.67
39,25-02-2021,160.32,161.62,159.79,160.05,269.54
40,26-02-2021,158.6,159.17,155.35,156.0,451.02
41,01-03-2021,157.22,158.98,156.15,158.33,168.5
42,02-03-2021,158.41,161.32,158.03,160.63,265.9
43,03-03-2021,162.24,162.24,159.79,160.67,216.49
44,04-03-2021,159.79,161.7,158.87,160.48,258.58
45,05-03-2021,159.17,160.71,158.56,159.6,179.91
46,08-03-2021,160.48,161.32,158.95,159.17,238.74
47,09-03-2021,159.71,160.51,156.69,159.02,234.63
48,10-03-2021,160.02,160.09,157.49,158.03,203.58
49,12-03-2021,159.17,159.17,155.73,157.03,319.74
50,15-03-2021,157.53,157.64,154.28,157.22,426.99
51,16-03-2021,157.95,159.86,156.84,159.06,506.41
52,17-03-2021,162.39,163.69,159.6,161.16,816.05
53,18-03-2021,163.0,167.67,162.16,166.56,955.36
54,19-03-2021,167.59,173.06,164.95,170.62,1393.53
55,22-03-2021,170.88,173.26,169.51,172.95,478.24
56,23-03-2021,172.18,174.56,169.35,170.04,431.65
57,24-03-2021,169.12,170.5,164.72,165.26,286.73
58,25-03-2021,164.65,165.26,159.98,161.93,422.48
59,26-03-2021,163.96,164.11,160.97,161.39,270.84
60,30-03-2021,163.19,164.53,161.01,164.19,288.62
61,31-03-2021,163.8,167.82,162.77,167.21,378.9
62,01-04-2021,168.36,168.82,166.29,168.4,301.82
63,05-04-2021,166.52,168.36,161.09,162.66,325.87
64,06-04-2021,163.61,164.49,160.82,162.73,266.63
65,07-04-2021,162.77,164.68,162.58,163.61,157.9
66,08-04-2021,164.42,165.37,162.89,163.19,146.61
67,09-04-2021,163.58,165.26,162.66,163.08,169.94
68,12-04-2021,160.71,161.47,156.88,157.11,358.41
69,13-04-2021,158.41,160.48,157.64,159.71,210.27
70,15-04-2021,159.94,161.05,157.64,158.18,182.06
71,16-04-2021,159.17,160.13,158.03,159.14,138.25
72,19-04-2021,156.88,157.72,155.92,157.34,164.01
73,20-04-2021,157.8,158.41,154.97,155.77,221.88
74,22-04-2021,154.58,157.87,153.47,157.57,240.31
75,23-04-2021,156.31,158.41,156.31,157.15,203.81
76,26-04-2021,157.49,158.22,156.65,157.11,206.52
77,27-04-2021,157.11,158.37,156.92,157.19,118.86
78,28-04-2021,157.64,158.03,157.11,157.26,131.97
79,29-04-2021,158.49,158.83,156.15,156.34,136.01
80,30-04-2021,156.04,157.41,154.58,155.04,171.31
81,03-05-2021,153.97,154.47,153.05,153.78,214.05
82,04-05-2021,153.97,154.85,152.36,152.75,189.63
83,05-05-2021,154.16,154.58,152.67,154.12,143.97
84,06-05-2021,154.81,157.61,154.66,155.16,148.72
85,07-05-2021,155.31,157.99,155.31,157.15,202.13
86,10-05-2021,158.52,158.75,156.88,157.3,169.23
87,11-05-2021,156.04,158.03,155.92,156.11,142.77
88,12-05-2021,156.04,157.07,155.23,155.54,171.75
89,14-05-2021,156.88,163.15,156.11,162.43,640.21
90,17-05-2021,165.91,166.06,161.97,162.7,394.65
91,18-05-2021,163.84,164.23,160.44,160.74,316.53
92,19-05-2021,160.74,161.78,158.83,158.98,253.45
93,20-05-2021,159.52,160.17,158.26,158.41,216.89
94,21-05-2021,158.87,160.59,158.72,159.98,235.1
95,24-05-2021,160.32,162.27,158.98,161.85,299.78
96,25-05-2021,163.0,163.31,160.9,161.39,263.11
97,26-05-2021,162.08,162.58,160.93,161.16,182.53
98,27-05-2021,161.47,163.88,160.93,161.59,493.86
99,28-05-2021,162.62,163.38,161.89,162.92,265.83
100,31-05-2021,164.53,166.75,164.07,165.76,758.53
101,01-06-2021,166.83,167.9,163.96,164.72,402.48
102,02-06-2021,161.09,162.58,159.63,159.94,1003.77
103,03-06-2021,161.28,161.28,159.71,159.98,484.54
104,04-06-2021,160.32,160.48,159.17,159.75,312.86
105,07-06-2021,161.01,162.54,160.86,161.82,326.44
106,08-06-2021,162.39,163.96,161.62,163.5,220.8
107,09-06-2021,163.77,164.34,161.85,162.62,258.46
108,10-06-2021,164.33,166.45,163.38,164.8,319.03
109,11-06-2021,165.59,165.71,163.58,163.7,222.49
110,14-06-2021,163.74,164.13,161.57,163.23,183.59
111,15-06-2021,163.42,164.09,162.99,163.03,154.26
112,16-06-2021,163.03,164.84,163.03,163.66,208.79
113,17-06-2021,162.95,163.78,161.42,161.93,223.04
114,18-06-2021,162.2,162.56,159.45,161.06,244.75
115,21-06-2021,159.92,162.2,159.37,160.98,198.09
116,22-06-2021,162.28,162.4,160.9,161.49,187.38
117,23-06-2021,161.93,162.08,160.31,160.59,130.6
118,24-06-2021,160.98,161.14,159.49,160.04,232.99
119,25-06-2021,160.63,161.89,160.43,161.45,144.12
120,28-06-2021,162.12,162.12,160.12,160.31,151.9
121,29-06-2021,160.31,161.65,159.96,160.08,138.39
122,30-06-2021,160.86,160.94,159.49,159.6,165.56
123,01-07-2021,159.76,160.47,159.17,159.84,105.84
124,02-07-2021,160.08,160.39,159.25,159.37,131.88
125,05-07-2021,159.84,160.71,159.6,160.35,106.43
126,06-07-2021,160.04,160.47,159.25,159.45,115.16
127,07-07-2021,159.45,161.57,159.29,160.43,185.68
128,08-07-2021,160.23,161.02,158.9,159.05,217.31
129,09-07-2021,159.05,159.33,158.19,158.54,122.9
130,12-07-2021,159.05,159.49,158.23,158.34,135.89
131,13-07-2021,159.05,159.21,158.54,158.93,112.48
132,14-07-2021,158.93,161.53,158.82,160.71,212.69
133,15-07-2021,160.94,164.17,159.76,162.4,299.63
134,16-07-2021,163.54,165.08,163.15,163.7,301.37
135,19-07-2021,162.83,164.96,162.48,163.58,170.99
136,20-07-2021,163.93,164.8,162.52,162.83,245.68
137,22-07-2021,162.99,163.97,162.08,162.99,190.17
138,23-07-2021,162.99,168.19,162.6,167.24,462.42
139,26-07-2021,168.5,169.56,165.98,166.26,490.84
140,27-07-2021,166.93,167.71,163.74,164.29,253.78
141,28-07-2021,164.01,165.35,163.34,164.64,153.04
142,29-07-2021,164.64,165.51,161.93,162.24,162.05
143,30-07-2021,162.28,163.07,161.1,161.38,155.16
144,02-08-2021,162.56,163.38,161.77,163.23,100.47
145,03-08-2021,163.38,166.06,162.56,165.27,191.8
146,04-08-2021,166.06,166.22,163.86,164.25,114.22
147,05-08-2021,164.25,170.67,162.91,169.49,489.95
148,06-08-2021,169.6,170.08,167.4,168.7,244.9
149,09-08-2021,169.29,170.98,167.48,168.34,211.42
150,10-08-2021,168.5,168.86,164.21,165.23,188.55
151,11-08-2021,165.23,165.82,163.34,164.29,160.12
152,12-08-2021,165.55,168.66,164.05,164.49,287.59
153,13-08-2021,165.23,167.16,164.72,166.49,195.77
154,16-08-2021,166.45,167.91,165.75,166.06,116.21
155,17-08-2021,165.98,166.53,164.41,164.72,81.61
156,18-08-2021,165.04,166.53,164.05,164.53,111.49
157,20-08-2021,162.99,165.9,162.75,164.49,201.69
158,23-08-2021,164.96,165.51,162.2,162.44,103.19
159,24-08-2021,162.99,162.99,161.18,162.01,129.71
160,25-08-2021,162.52,163.7,162.2,162.52,109.95
161,26-08-2021,162.52,162.87,160.9,161.1,154.08
162,27-08-2021,161.42,162.87,161.34,162.12,108.8
163,30-08-2021,162.2,163.93,162.2,163.78,125.5
164,31-08-2021,163.82,166.61,163.19,166.38,268.02
165,01-09-2021,166.14,167.16,164.8,164.96,168.67
166,02-09-2021,164.56,166.53,164.56,165.16,148.73
167,03-09-2021,165.16,166.34,165.16,165.82,106.23
168,06-09-2021,166.14,166.3,164.6,164.8,110.42
169,07-09-2021,166.06,168.78,165.47,166.73,389.33
170,08-09-2021,167.12,167.71,165.12,166.34,178.97
171,09-09-2021,166.18,168.42,165.79,167.44,197.85
172,13-09-2021,167.99,169.41,166.77,168.62,166.62
173,14-09-2021,169.21,171.06,168.66,170.16,203.78
174,15-09-2021,170.94,171.02,169.53,170.08,210.29
175,16-09-2021,170.82,183.97,170.31,181.69,1549.87
176,17-09-2021,183.46,186.85,180.39,182.01,825.64
177,20-09-2021,181.89,188.46,181.3,184.05,731.02
178,21-09-2021,185.0,190.9,182.44,190.15,588.54
179,22-09-2021,191.73,193.54,189.52,191.73,546.48
180,23-09-2021,192.91,193.38,190.31,190.94,226.3
181,24-09-2021,192.12,192.12,187.16,187.75,257.79
182,27-09-2021,188.82,190.43,185.43,187.95,237.72
183,28-09-2021,188.86,190.23,186.06,187.2,163.19
184,29-09-2021,185.82,190.08,185.59,187.48,160.45
185,30-09-2021,188.89,189.29,185.23,185.94,169.88
186,01-10-2021,185.19,186.61,183.38,185.31,165.71
187,04-10-2021,185.82,187.67,185.35,186.3,110.98
188,05-10-2021,186.14,186.97,184.64,184.8,95.79
189,06-10-2021,184.88,186.14,181.57,182.08,181.79
190,07-10-2021,183.46,185.0,182.91,183.42,107.71
191,08-10-2021,184.84,184.88,182.04,182.44,101.14
192,11-10-2021,182.67,188.58,182.44,187.44,220.0
193,12-10-2021,187.87,191.34,187.4,190.0,303.47
194,13-10-2021,190.98,197.56,189.09,196.22,520.91
195,14-10-2021,199.41,206.18,197.12,202.0,886.96
196,18-10-2021,205.51,208.89,202.63,206.73,626.15
197,19-10-2021,205.82,206.73,192.95,193.66,613.36
198,20-10-2021,193.66,195.67,190.82,194.17,496.64
199,21-10-2021,195.27,195.55,191.41,192.67,233.86
200,22-10-2021,192.67,193.54,184.01,186.3,369.06
201,25-10-2021,184.33,186.34,181.49,183.78,231.94
202,26-10-2021,184.33,188.19,183.15,186.38,196.63
203,27-10-2021,189.17,190.0,185.98,187.75,269.09
204,28-10-2021,185.12,185.78,176.49,177.24,480.65
205,29-10-2021,177.16,179.72,175.04,175.75,276.68
206,01-11-2021,176.49,179.17,175.19,178.62,240.91
207,02-11-2021,179.52,180.51,176.77,177.64,148.96
208,03-11-2021,177.95,178.62,174.56,175.15,185.31
209,04-11-2021,177.04,178.97,176.38,178.38,72.95
210,08-11-2021,180.86,181.65,177.71,180.94,210.51
211,09-11-2021,180.98,181.81,179.41,180.12,119.65
212,10-11-2021,179.09,183.34,178.9,181.77,139.48
213,11-11-2021,181.41,182.28,179.96,181.1,84.48
214,12-11-2021,182.04,184.21,180.43,183.38,123.12
215,15-11-2021,184.21,188.19,183.54,187.48,402.48
216,16-11-2021,188.23,188.7,185.04,185.39,152.41
217,17-11-2021,185.82,193.11,185.55,188.58,484.96
218,18-11-2021,188.97,191.34,186.06,187.01,210.05
219,22-11-2021,187.32,189.56,180.75,181.81,234.44
220,23-11-2021,180.43,183.23,180.43,182.36,139.51
221,24-11-2021,183.03,183.23,178.7,179.29,146.84
222,25-11-2021,178.74,182.83,177.75,182.12,248.25
223,26-11-2021,180.23,181.14,175.67,176.38,280.68
224,29-11-2021,174.8,176.1,173.38,174.41,229.85
225,30-11-2021,174.8,177.32,173.23,174.13,244.09
226,01-12-2021,174.8,175.82,173.7,174.72,134.96
227,02-12-2021,174.72,178.07,174.25,177.52,165.17
228,03-12-2021,177.16,178.11,174.29,174.53,143.26
229,06-12-2021,174.53,174.96,171.26,171.57,136.44
230,07-12-2021,172.36,174.76,171.73,173.74,92.47
231,08-12-2021,174.01,177.67,174.01,177.12,102.42
232,09-12-2021,175.59,186.18,175.59,185.35,397.15
233,10-12-2021,185.98,188.15,184.05,185.9,365.17
234,13-12-2021,187.4,187.99,184.37,184.72,229.04
235,14-12-2021,185.04,186.69,179.17,180.0,389.53
236,15-12-2021,181.1,182.83,175.9,176.41,359.88
237,16-12-2021,177.95,178.07,173.86,175.51,251.31
238,17-12-2021,175.43,175.47,170.67,171.61,308.27
239,20-12-2021,170.27,170.27,165.19,167.24,387.79
240,21-12-2021,168.5,169.64,166.18,167.32,201.43
241,22-12-2021,168.5,168.66,166.22,166.93,179.03
242,23-12-2021,168.42,172.01,167.87,171.1,230.65
243,24-12-2021,171.65,173.58,170.43,171.65,172.2
244,27-12-2021,171.97,172.01,169.8,171.3,84.67
245,28-12-2021,171.65,173.7,171.65,173.27,120.14
246,29-12-2021,173.23,173.46,170.31,170.67,119.23
247,30-12-2021,170.55,171.57,169.68,170.08,101.16
248,31-12-2021,170.78,172.28,170.19,171.69,78.76
249,03-01-2022,171.69,173.11,170.9,172.52,80.65
250,04-01-2022,172.83,174.56,172.48,173.42,93.99
251,05-01-2022,172.95,174.41,172.16,173.66,116.63
252,06-01-2022,172.44,173.54,171.81,172.2,92.95
253,07-01-2022,173.07,173.74,171.26,171.97,91.96
254,10-01-2022,173.15,176.93,172.36,175.82,164.51
255,11-01-2022,175.86,176.57,174.17,174.76,83.3
256,12-01-2022,175.19,176.1,174.49,175.39,136.66
257,13-01-2022,176.3,177.79,175.39,176.34,119.44
258,14-01-2022,176.34,177.01,175.04,175.27,109.77
259,17-01-2022,175.27,177.64,174.29,176.85,127.93
