S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,366.58,370.6,364.07,368.9,44.62
2,04-01-2021,371.08,383.48,370.22,381.58,88.73
3,05-01-2021,378.65,379.59,370.7,374.15,61.9
4,06-01-2021,376.0,385.61,374.63,380.26,79.11
5,07-01-2021,382.43,391.05,381.63,383.76,102.31
6,08-01-2021,388.4,388.54,377.23,381.35,75.6
7,11-01-2021,381.35,383.33,371.69,377.75,48.23
8,12-01-2021,377.65,390.91,375.86,378.22,67.09
9,13-01-2021,380.12,385.65,373.11,381.44,68.86
10,14-01-2021,382.77,384.0,372.97,375.24,48.86
11,15-01-2021,376.76,381.06,370.32,373.16,73.3
12,18-01-2021,372.5,372.97,355.46,362.65,106.05
13,19-01-2021,365.58,376.52,361.23,374.29,58.43
14,20-01-2021,373.92,381.39,372.45,379.5,56.05
15,21-01-2021,381.01,383.38,368.19,372.31,70.86
16,22-01-2021,374.86,376.23,352.33,355.36,87.79
17,25-01-2021,367.29,373.87,351.62,362.04,178.75
18,27-01-2021,360.28,361.61,351.72,356.17,85.76
19,28-01-2021,351.2,360.52,349.87,356.21,69.69
20,29-01-2021,361.66,362.13,343.81,347.27,79.81
21,01-02-2021,346.94,363.88,344.24,360.52,61.41
22,02-02-2021,364.12,370.79,356.59,368.24,74.5
23,03-02-2021,365.58,377.18,364.16,371.93,60.63
24,04-02-2021,371.93,380.54,369.61,378.93,62.83
25,05-02-2021,381.49,384.9,368.38,380.73,90.09
26,08-02-2021,382.96,396.87,379.78,395.36,90.09
27,09-02-2021,394.74,397.58,380.4,384.75,79.62
28,10-02-2021,388.11,391.85,378.65,388.82,80.08
29,11-02-2021,386.41,393.32,383.33,387.03,35.98
30,12-02-2021,386.08,388.97,381.11,382.25,46.68
31,15-02-2021,383.48,386.08,379.59,382.15,46.78
32,16-02-2021,382.15,399.38,382.15,385.89,105.95
33,17-02-2021,384.66,389.06,379.59,386.88,54.86
34,18-02-2021,388.11,392.61,384.33,385.89,58.9
35,19-02-2021,386.32,386.6,370.08,374.53,45.28
36,22-02-2021,375.0,391.76,375.0,384.42,93.72
37,23-02-2021,388.11,393.98,384.42,390.58,81.28
38,24-02-2021,392.85,403.83,378.65,386.32,105.71
39,25-02-2021,389.06,402.31,388.11,399.24,90.51
40,26-02-2021,390.06,398.81,371.12,374.34,114.34
41,01-03-2021,381.11,386.65,372.35,383.48,58.34
42,02-03-2021,385.09,392.8,379.59,391.24,50.56
43,03-03-2021,393.13,411.78,393.13,405.3,119.04
44,04-03-2021,392.94,398.91,389.11,392.0,86.55
45,05-03-2021,392.0,392.0,381.01,384.71,70.46
46,08-03-2021,389.96,393.32,384.8,386.08,41.77
47,09-03-2021,390.01,392.61,375.62,380.16,54.78
48,10-03-2021,384.85,393.13,381.96,391.9,65.36
49,12-03-2021,395.83,405.58,391.9,396.4,134.49
50,15-03-2021,400.33,408.7,392.75,406.72,101.47
51,16-03-2021,410.79,410.79,396.97,403.21,81.04
52,17-03-2021,403.21,403.21,395.21,399.95,47.39
53,18-03-2021,404.21,409.56,397.68,400.56,68.37
54,19-03-2021,397.68,422.48,388.11,417.03,111.16
55,22-03-2021,417.46,425.03,413.48,421.53,70.11
56,23-03-2021,421.25,423.38,416.04,418.22,50.66
57,24-03-2021,413.67,419.49,408.56,414.0,78.04
58,25-03-2021,413.72,418.6,405.63,414.62,108.71
59,26-03-2021,419.92,428.11,412.92,421.44,121.66
60,30-03-2021,430.71,445.1,428.06,442.5,176.46
61,31-03-2021,442.4,448.51,436.68,443.44,76.36
62,01-04-2021,445.43,485.57,444.91,481.59,357.36
63,05-04-2021,486.09,494.14,476.34,489.88,297.11
64,06-04-2021,495.08,512.41,492.86,508.76,265.33
65,07-04-2021,510.47,536.21,504.74,532.28,200.25
66,08-04-2021,541.47,604.89,533.18,581.32,720.06
67,09-04-2021,585.01,597.18,566.08,587.85,510.62
68,12-04-2021,576.49,588.56,565.51,571.9,270.47
69,13-04-2021,574.6,599.02,571.76,596.7,260.91
70,15-04-2021,603.94,609.62,583.12,595.52,240.07
71,16-04-2021,598.17,601.96,584.02,586.34,143.89
72,19-04-2021,567.97,592.11,563.33,582.93,170.45
73,20-04-2021,589.56,596.37,580.66,587.47,136.26
74,22-04-2021,582.83,616.25,578.95,606.55,228.59
75,23-04-2021,606.78,617.95,592.44,601.48,179.31
76,26-04-2021,607.73,625.43,604.18,620.79,165.07
77,27-04-2021,625.38,634.57,622.88,630.35,157.99
78,28-04-2021,634.0,639.92,615.92,627.28,155.59
79,29-04-2021,636.13,689.99,632.39,687.72,568.17
80,30-04-2021,681.19,700.5,673.47,679.53,364.5
81,03-05-2021,675.89,691.03,672.67,684.64,169.06
82,04-05-2021,689.09,698.13,673.28,677.21,137.9
83,05-05-2021,684.41,693.87,675.04,679.39,122.84
84,06-05-2021,682.8,702.39,679.67,690.84,183.65
85,07-05-2021,698.61,725.77,697.42,716.54,265.87
86,10-05-2021,725.02,731.74,715.69,718.15,151.05
87,11-05-2021,701.45,714.51,691.55,695.06,162.78
88,12-05-2021,700.5,702.3,662.63,670.11,144.11
89,14-05-2021,672.05,682.99,642.8,669.36,263.44
90,17-05-2021,670.11,683.84,657.0,676.27,127.07
91,18-05-2021,685.21,692.07,673.85,679.15,94.77
92,19-05-2021,674.99,681.9,666.52,668.17,65.62
93,20-05-2021,660.74,665.85,646.73,657.43,101.05
94,21-05-2021,663.91,668.22,657.9,660.93,73.41
95,24-05-2021,659.79,659.79,636.03,645.07,223.32
96,25-05-2021,652.22,676.36,651.32,663.39,220.59
97,26-05-2021,649.67,654.11,637.6,645.78,187.21
98,27-05-2021,648.34,657.29,641.81,645.45,151.11
99,28-05-2021,660.55,670.96,649.57,652.98,126.99
100,31-05-2021,656.95,676.08,649.33,672.95,116.86
101,01-06-2021,678.25,678.68,650.8,657.43,141.56
102,02-06-2021,659.79,671.2,659.37,668.36,96.53
103,03-06-2021,672.1,682.37,665.52,675.98,83.29
104,04-06-2021,670.25,687.25,665.52,682.7,96.54
105,07-06-2021,684.03,691.74,674.75,677.54,68.73
106,08-06-2021,676.17,676.17,655.06,669.73,82.31
107,09-06-2021,667.37,675.27,656.53,660.6,69.23
108,10-06-2021,663.87,680.62,662.63,668.12,85.43
109,11-06-2021,675.89,694.91,667.13,692.17,113.72
110,14-06-2021,693.54,697.85,676.5,690.23,104.7
111,15-06-2021,689.14,693.3,678.73,686.39,51.25
112,16-06-2021,681.57,689.99,665.99,667.75,90.16
113,17-06-2021,664.62,673.05,656.43,659.18,56.39
114,18-06-2021,658.37,659.23,621.08,634.8,135.06
115,21-06-2021,621.84,640.2,611.66,637.03,81.87
116,22-06-2021,639.92,646.07,637.31,639.21,53.98
117,23-06-2021,642.76,648.44,628.7,629.98,60.6
118,24-06-2021,633.86,645.12,629.41,642.76,69.85
119,25-06-2021,648.44,664.86,648.44,652.69,90.66
120,28-06-2021,655.91,663.91,646.31,658.23,56.7
121,29-06-2021,657.9,659.32,647.11,649.29,43.77
122,30-06-2021,650.38,660.74,646.21,647.39,61.13
123,01-07-2021,651.09,653.17,643.32,644.22,41.33
124,02-07-2021,644.7,646.49,631.87,635.47,55.0
125,05-07-2021,643.3,645.22,635.13,643.07,54.28
126,06-07-2021,643.07,651.62,639.91,643.45,47.91
127,07-07-2021,642.16,663.38,639.48,659.94,85.36
128,08-07-2021,657.64,660.94,637.23,638.76,71.0
129,09-07-2021,641.39,653.44,640.44,651.48,78.14
130,12-07-2021,654.78,672.7,650.81,663.81,116.32
131,13-07-2021,667.2,672.46,663.38,670.45,68.33
132,14-07-2021,672.94,674.71,663.57,669.5,59.97
133,15-07-2021,669.11,676.71,665.34,668.25,47.35
134,16-07-2021,672.46,675.8,669.78,672.55,35.9
135,19-07-2021,666.25,680.92,663.38,667.58,53.77
136,20-07-2021,666.87,667.2,645.6,651.91,58.3
137,22-07-2021,659.46,690.72,658.65,684.93,94.73
138,23-07-2021,694.83,694.92,680.58,685.89,87.31
139,26-07-2021,697.31,697.31,670.07,673.46,146.46
140,27-07-2021,678.53,686.22,672.27,679.29,68.4
141,28-07-2021,680.58,693.39,670.5,689.86,83.29
142,29-07-2021,693.49,724.65,691.15,715.38,185.14
143,30-07-2021,713.23,724.41,701.18,704.43,99.72
144,02-08-2021,708.69,718.29,701.14,713.75,69.72
145,03-08-2021,713.08,713.08,696.26,707.64,69.39
146,04-08-2021,708.3,720.73,703.91,714.28,66.81
147,05-08-2021,714.28,731.63,707.83,729.57,86.13
148,06-08-2021,733.63,742.24,722.36,723.93,89.74
149,09-08-2021,728.23,728.86,709.69,714.37,51.2
150,10-08-2021,715.86,716.91,687.85,690.29,63.82
151,11-08-2021,694.92,718.82,694.92,716.05,119.09
152,12-08-2021,719.82,721.02,708.69,715.86,35.06
153,13-08-2021,713.94,724.12,700.08,716.0,56.11
154,16-08-2021,712.13,736.6,706.58,728.04,90.95
155,17-08-2021,725.13,728.81,703.38,711.41,64.82
156,18-08-2021,715.0,715.86,700.56,704.91,59.06
157,20-08-2021,690.14,690.14,651.43,654.39,131.26
158,23-08-2021,665.29,669.78,634.7,654.01,117.81
159,24-08-2021,659.65,666.25,652.86,661.13,82.84
160,25-08-2021,665.29,670.07,650.0,653.68,55.39
161,26-08-2021,652.86,654.78,639.77,642.35,56.6
162,27-08-2021,643.21,651.33,642.11,647.61,49.78
163,30-08-2021,652.91,663.38,652.91,656.26,58.92
164,31-08-2021,657.88,661.9,650.43,657.26,53.99
165,01-09-2021,657.64,658.6,645.22,646.79,43.17
166,02-09-2021,651.0,658.6,648.08,654.82,36.35
167,03-09-2021,655.83,664.57,652.29,660.41,41.45
168,06-09-2021,666.25,666.25,651.53,656.35,51.79
169,07-09-2021,659.03,667.01,652.39,653.63,35.56
170,08-09-2021,653.82,660.99,651.62,656.73,32.89
171,09-09-2021,653.68,660.99,652.91,658.55,23.81
172,13-09-2021,662.66,669.11,657.16,663.76,37.79
173,14-09-2021,665.67,671.03,661.71,663.04,31.86
174,15-09-2021,666.25,667.2,656.73,665.91,28.72
175,16-09-2021,669.16,670.02,657.64,659.03,33.72
176,17-09-2021,661.47,661.47,639.19,652.19,78.05
177,20-09-2021,640.34,640.34,600.39,605.26,103.41
178,21-09-2021,605.31,642.35,600.96,639.43,142.89
179,22-09-2021,642.16,653.25,636.8,648.61,81.47
180,23-09-2021,655.06,656.93,644.36,647.37,40.4
181,24-09-2021,647.37,649.04,622.04,630.07,73.63
182,27-09-2021,631.31,634.46,617.78,620.03,58.89
183,28-09-2021,621.32,638.43,619.5,631.69,47.36
184,29-09-2021,629.83,654.11,624.76,649.8,73.45
185,30-09-2021,653.05,653.05,636.95,638.81,49.34
186,01-10-2021,630.88,656.4,629.83,644.5,51.93
187,04-10-2021,644.74,656.5,632.89,651.09,56.18
188,05-10-2021,651.1,660.37,647.27,649.37,41.86
189,06-10-2021,650.0,653.82,626.62,630.16,59.94
190,07-10-2021,636.61,640.44,629.92,637.14,30.42
191,08-10-2021,640.48,652.86,635.18,636.47,38.27
192,11-10-2021,641.44,648.08,637.28,642.73,22.58
193,12-10-2021,642.73,650.95,636.04,644.02,29.31
194,13-10-2021,644.07,661.47,641.39,651.38,56.02
195,14-10-2021,659.55,668.16,652.82,662.28,47.51
196,18-10-2021,664.81,695.21,664.81,684.22,94.93
197,19-10-2021,690.62,690.62,658.07,661.04,41.64
198,20-10-2021,661.47,665.0,645.6,654.92,32.57
199,21-10-2021,660.84,663.33,626.19,644.36,58.11
200,22-10-2021,646.17,659.55,629.01,638.33,101.63
201,25-10-2021,640.44,648.08,624.23,644.5,39.88
202,26-10-2021,648.75,666.68,644.74,663.71,42.39
203,27-10-2021,663.71,668.64,652.0,654.68,33.31
204,28-10-2021,652.77,654.2,634.75,638.0,30.8
205,29-10-2021,640.44,654.58,633.75,639.62,36.13
206,01-11-2021,650.0,660.27,642.83,658.55,32.35
207,02-11-2021,662.8,662.8,641.87,643.16,32.05
208,03-11-2021,647.56,653.39,643.83,650.23,22.66
209,04-11-2021,650.23,650.23,650.23,650.23,0.0
210,08-11-2021,652.86,657.59,638.57,655.59,29.19
211,09-11-2021,655.73,660.84,645.36,646.79,24.95
212,10-11-2021,645.22,646.22,623.42,633.17,68.71
213,11-11-2021,633.17,640.29,631.12,637.95,38.68
214,12-11-2021,642.4,645.93,634.08,641.73,25.43
215,15-11-2021,645.22,645.26,629.01,632.31,31.44
216,16-11-2021,628.97,644.26,626.77,635.56,27.96
217,17-11-2021,631.16,642.06,629.54,633.12,28.83
218,18-11-2021,633.75,637.47,614.63,621.85,40.1
219,22-11-2021,626.05,634.22,616.59,628.01,39.45
