S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,1205.72,1221.65,1205.72,1218.87,20.58
2,04-01-2021,1226.39,1242.88,1223.57,1235.41,40.15
3,05-01-2021,1228.27,1233.91,1217.04,1227.61,28.34
4,06-01-2021,1229.21,1249.89,1221.69,1234.85,46.16
5,07-01-2021,1249.89,1265.67,1245.19,1258.3,42.71
6,08-01-2021,1268.49,1299.65,1265.86,1290.67,49.85
7,11-01-2021,1298.75,1301.53,1263.98,1268.68,32.52
8,12-01-2021,1272.44,1284.52,1263.09,1268.49,28.36
9,13-01-2021,1272.44,1290.3,1263.32,1271.03,43.9
10,14-01-2021,1276.2,1305.99,1274.55,1293.68,51.69
11,15-01-2021,1293.77,1301.1,1264.03,1272.58,25.88
12,18-01-2021,1264.17,1272.3,1246.27,1255.57,31.86
13,19-01-2021,1259.33,1298.75,1256.46,1287.33,38.86
14,20-01-2021,1286.54,1309.14,1280.47,1299.36,39.58
15,21-01-2021,1310.97,1311.91,1279.06,1288.7,29.85
16,22-01-2021,1279.96,1292.17,1267.27,1280.05,32.83
17,25-01-2021,1287.48,1312.29,1261.16,1279.3,48.48
18,27-01-2021,1286.35,1308.81,1249.98,1277.94,88.96
19,28-01-2021,1263.7,1282.87,1259.28,1264.31,29.63
20,29-01-2021,1279.96,1286.54,1245.28,1254.3,51.31
21,01-02-2021,1264.69,1373.93,1256.65,1361.58,113.17
22,02-02-2021,1385.21,1497.04,1385.21,1428.63,143.5
23,03-02-2021,1437.84,1464.15,1414.34,1436.48,61.98
24,04-02-2021,1433.14,1456.63,1419.04,1437.65,39.58
25,05-02-2021,1441.97,1453.81,1420.08,1425.15,32.7
26,08-02-2021,1429.52,1475.43,1428.44,1458.32,52.23
27,09-02-2021,1463.21,1479.66,1451.93,1472.09,38.25
28,10-02-2021,1466.03,1469.79,1436.62,1459.31,25.79
29,11-02-2021,1456.07,1465.94,1434.6,1438.31,27.2
30,12-02-2021,1442.54,1450.99,1424.78,1429.71,18.67
31,15-02-2021,1435.02,1450.99,1429.71,1445.03,19.17
32,16-02-2021,1447.24,1479.19,1446.3,1456.12,38.39
33,17-02-2021,1450.99,1472.61,1440.66,1455.08,23.4
34,18-02-2021,1449.3,1457.76,1423.88,1432.76,24.47
35,19-02-2021,1432.06,1453.81,1408.56,1417.92,30.44
36,22-02-2021,1419.89,1420.88,1359.93,1364.72,61.68
37,23-02-2021,1373.93,1407.77,1372.05,1396.77,37.34
38,24-02-2021,1397.15,1439.72,1397.15,1434.64,23.8
39,25-02-2021,1441.6,1447.8,1411.52,1415.71,31.68
40,26-02-2021,1392.73,1403.54,1348.7,1355.61,55.79
41,01-03-2021,1368.3,1396.49,1351.57,1384.13,24.94
42,02-03-2021,1390.19,1399.92,1370.32,1396.16,20.89
43,03-03-2021,1403.54,1419.04,1392.12,1406.73,21.84
44,04-03-2021,1384.27,1404.34,1370.18,1374.5,35.3
45,05-03-2021,1366.04,1388.22,1352.41,1375.39,33.07
46,08-03-2021,1388.97,1433.14,1381.45,1423.93,41.5
47,09-03-2021,1433.14,1440.0,1401.94,1417.45,37.8
48,10-03-2021,1431.26,1442.3,1416.69,1432.39,22.11
49,12-03-2021,1434.36,1470.73,1412.61,1422.8,48.85
50,15-03-2021,1428.44,1436.05,1375.16,1394.37,31.81
51,16-03-2021,1398.65,1406.83,1369.24,1373.75,32.34
52,17-03-2021,1387.09,1403.02,1345.51,1351.05,51.78
53,18-03-2021,1367.87,1381.17,1334.46,1342.08,33.82
54,19-03-2021,1329.77,1336.2,1295.56,1326.24,99.21
55,22-03-2021,1324.13,1332.02,1308.39,1315.72,29.64
56,23-03-2021,1317.45,1331.17,1313.88,1319.76,25.65
57,24-03-2021,1315.67,1322.25,1278.13,1286.68,42.38
58,25-03-2021,1279.02,1305.33,1279.02,1288.51,38.95
59,26-03-2021,1302.79,1323.19,1298.75,1314.07,30.94
60,30-03-2021,1323.19,1342.17,1311.49,1337.8,28.01
61,31-03-2021,1337.85,1345.37,1325.44,1333.43,24.01
62,01-04-2021,1345.74,1360.64,1334.93,1357.58,13.81
63,05-04-2021,1352.32,1352.32,1298.19,1319.24,25.49
64,06-04-2021,1321.21,1330.99,1309.37,1316.61,18.24
65,07-04-2021,1317.55,1331.83,1305.57,1319.57,18.41
66,08-04-2021,1325.07,1348.37,1325.07,1333.67,16.45
67,09-04-2021,1328.83,1331.64,1312.94,1319.52,20.15
68,12-04-2021,1309.98,1309.98,1251.76,1264.12,37.55
69,13-04-2021,1266.1,1298.75,1266.1,1290.95,20.64
70,15-04-2021,1295.89,1307.3,1276.29,1291.85,26.26
71,16-04-2021,1278.55,1309.37,1273.66,1277.28,37.53
72,19-04-2021,1259.28,1265.11,1227.33,1231.51,41.57
73,20-04-2021,1240.49,1258.77,1238.33,1251.3,29.89
74,22-04-2021,1231.09,1258.81,1228.51,1256.28,23.98
75,23-04-2021,1249.89,1263.65,1235.27,1243.21,20.63
76,26-04-2021,1249.93,1260.41,1243.31,1255.43,14.32
77,27-04-2021,1258.34,1304.81,1255.43,1297.48,43.04
78,28-04-2021,1301.43,1315.62,1289.83,1293.02,32.2
79,29-04-2021,1300.59,1305.85,1271.97,1276.81,22.21
80,30-04-2021,1268.68,1282.78,1255.62,1259.71,19.68
81,03-05-2021,1245.66,1269.9,1239.69,1261.63,16.53
82,04-05-2021,1268.68,1269.53,1250.83,1257.03,20.3
83,05-05-2021,1261.35,1265.63,1244.25,1258.01,18.13
84,06-05-2021,1263.04,1274.84,1255.29,1259.19,23.34
85,07-05-2021,1265.86,1277.98,1258.34,1261.82,23.62
86,10-05-2021,1265.86,1314.59,1265.86,1310.97,39.29
87,11-05-2021,1296.87,1315.57,1293.21,1300.26,19.76
88,12-05-2021,1296.87,1339.16,1294.05,1301.85,42.83
89,14-05-2021,1310.03,1338.13,1291.28,1330.24,45.58
90,17-05-2021,1346.68,1354.2,1285.78,1303.22,96.2
91,18-05-2021,1320.37,1336.34,1312.85,1331.93,33.12
92,19-05-2021,1328.83,1348.56,1315.67,1318.91,32.15
93,20-05-2021,1325.82,1341.0,1317.22,1324.83,19.96
94,21-05-2021,1329.77,1338.88,1322.34,1332.63,21.85
95,24-05-2021,1334.46,1370.18,1325.07,1356.31,50.36
96,25-05-2021,1372.05,1373.89,1355.23,1363.55,28.92
97,26-05-2021,1371.02,1387.65,1365.29,1384.18,32.31
98,27-05-2021,1387.04,1395.55,1373.7,1393.53,37.47
99,28-05-2021,1397.52,1409.32,1385.12,1389.06,23.16
100,31-05-2021,1383.61,1387.09,1369.75,1379.29,24.05
101,01-06-2021,1377.65,1402.6,1374.87,1385.82,20.78
102,02-06-2021,1379.85,1385.78,1367.4,1382.44,24.69
103,03-06-2021,1390.94,1423.74,1384.46,1419.84,30.25
104,04-06-2021,1427.45,1454.05,1425.53,1444.93,56.78
105,07-06-2021,1452.36,1474.96,1447.94,1463.96,31.31
106,08-06-2021,1466.97,1487.65,1452.92,1455.83,39.45
107,09-06-2021,1456.63,1461.33,1422.14,1427.78,30.26
108,10-06-2021,1433.14,1441.6,1423.74,1428.16,15.84
109,11-06-2021,1429.38,1435.16,1408.38,1412.89,19.09
110,14-06-2021,1412.89,1427.97,1388.97,1424.45,20.05
111,15-06-2021,1428.44,1431.92,1415.14,1419.79,18.32
112,16-06-2021,1415.14,1424.68,1398.37,1401.09,15.05
113,17-06-2021,1391.79,1409.5,1391.08,1397.95,16.76
114,18-06-2021,1397.95,1401.14,1372.15,1387.09,46.5
115,21-06-2021,1372.05,1380.89,1360.07,1378.68,19.7
116,22-06-2021,1381.55,1414.16,1381.03,1408.89,38.62
117,23-06-2021,1414.34,1416.22,1387.18,1390.15,18.19
118,24-06-2021,1400.25,1422.05,1392.73,1413.45,27.62
