S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,291.56,292.54,288.15,289.76,3.98
2,01-07-2021,289.85,290.21,286.61,288.01,5.17
3,02-07-2021,288.54,289.66,287.18,288.57,3.02
4,05-07-2021,289.47,300.19,287.56,293.01,14.63
5,06-07-2021,293.31,295.15,288.71,289.33,6.19
6,07-07-2021,289.28,292.14,285.67,286.61,10.4
7,08-07-2021,287.6,291.18,284.78,289.37,7.25
8,09-07-2021,288.52,288.52,282.8,285.87,6.31
9,12-07-2021,287.56,288.53,281.85,282.4,11.49
10,13-07-2021,283.76,307.56,282.42,304.72,94.11
11,14-07-2021,306.63,314.23,300.51,305.93,79.66
12,15-07-2021,308.32,325.65,302.53,323.5,95.71
13,16-07-2021,325.09,332.87,318.29,327.08,61.04
14,19-07-2021,322.22,351.91,320.18,338.55,138.23
15,20-07-2021,338.98,341.84,324.18,326.17,34.51
16,22-07-2021,328.7,330.55,317.16,319.48,19.14
17,23-07-2021,320.51,322.03,311.94,313.01,13.06
18,26-07-2021,308.12,328.32,304.02,322.84,53.83
19,27-07-2021,324.45,329.46,315.75,318.83,27.55
20,28-07-2021,319.94,320.0,306.8,311.39,20.08
21,29-07-2021,311.37,314.23,305.58,306.66,11.2
22,30-07-2021,307.56,311.18,303.75,305.32,10.65
23,02-08-2021,307.11,307.83,302.21,303.17,11.63
24,03-08-2021,303.75,306.16,300.13,300.99,9.11
25,04-08-2021,303.18,303.78,294.58,299.15,12.57
26,05-08-2021,300.66,309.27,293.47,306.92,18.44
27,06-08-2021,306.99,311.14,303.99,306.03,13.58
28,09-08-2021,308.47,308.52,298.23,299.22,7.17
29,10-08-2021,301.66,305.64,290.08,291.45,22.65
30,11-08-2021,292.9,293.69,283.6,289.56,12.53
31,12-08-2021,290.99,292.33,286.25,287.56,15.84
32,13-08-2021,289.03,290.72,284.14,286.22,15.5
33,16-08-2021,286.45,288.1,281.76,284.37,22.22
34,17-08-2021,284.88,285.66,281.47,282.39,11.4
35,18-08-2021,282.61,293.99,282.42,286.52,28.66
36,20-08-2021,283.57,286.59,281.85,284.49,12.13
37,23-08-2021,286.04,288.32,279.01,281.6,7.2
38,24-08-2021,281.68,284.12,276.14,278.55,18.02
39,25-08-2021,280.69,284.14,278.05,279.33,19.75
40,26-08-2021,284.37,295.8,284.37,290.87,44.69
41,27-08-2021,292.69,295.99,288.32,289.44,43.13
42,30-08-2021,290.94,303.37,290.93,295.08,64.6
43,31-08-2021,298.13,301.23,291.72,294.54,32.31
44,01-09-2021,295.87,296.4,289.39,291.34,23.61
45,02-09-2021,292.4,302.2,291.54,299.85,33.65
46,03-09-2021,302.69,315.4,301.81,309.17,106.63
47,06-09-2021,311.91,326.08,307.65,319.03,108.87
48,07-09-2021,319.49,326.02,312.2,318.1,54.81
49,08-09-2021,319.86,323.53,313.85,315.94,29.13
50,09-09-2021,316.56,323.94,315.4,322.48,41.62
51,13-09-2021,322.97,323.61,315.07,316.23,23.02
52,14-09-2021,316.76,318.7,312.68,313.17,25.02
53,15-09-2021,312.88,316.1,309.58,312.36,19.48
54,16-09-2021,310.96,324.91,310.96,318.36,63.7
55,17-09-2021,320.82,321.23,307.09,309.8,30.71
56,20-09-2021,308.19,313.65,305.72,309.3,46.14
57,21-09-2021,307.64,318.89,306.29,317.82,39.56
58,22-09-2021,317.73,319.24,313.27,314.22,13.53
59,23-09-2021,314.53,322.07,312.8,316.28,26.9
60,24-09-2021,316.37,328.54,314.0,322.06,76.47
61,27-09-2021,325.86,335.78,322.4,333.5,74.05
62,28-09-2021,337.14,338.56,321.56,325.9,50.25
63,29-09-2021,321.42,326.52,319.85,323.31,14.7
64,30-09-2021,323.55,330.51,319.39,321.93,29.61
65,01-10-2021,320.45,325.69,319.67,324.49,15.97
66,04-10-2021,326.25,331.73,324.92,327.7,19.19
67,05-10-2021,327.43,334.79,326.46,327.59,26.26
68,06-10-2021,327.43,343.13,325.59,333.82,78.46
69,07-10-2021,338.11,366.45,333.84,353.23,112.79
70,08-10-2021,370.5,385.08,356.51,373.15,233.42
71,11-10-2021,380.42,405.19,376.77,394.53,166.51
72,12-10-2021,397.11,412.25,388.38,399.04,124.98
73,13-10-2021,400.01,403.71,391.74,393.3,33.94
74,14-10-2021,393.3,414.39,391.1,401.33,73.09
75,18-10-2021,392.08,401.19,373.75,383.96,96.62
76,19-10-2021,388.94,399.78,374.02,377.16,54.69
77,20-10-2021,375.58,381.68,367.81,374.19,29.99
78,21-10-2021,376.64,379.24,361.4,364.78,27.33
79,22-10-2021,366.83,373.21,346.06,348.15,42.5
