S.No,Date,Open,High,Low,Close,Volume
1,29-06-2021,946.37,955.2,943.93,945.6,271.44
2,30-06-2021,949.43,961.39,947.07,955.95,197.63
3,01-07-2021,959.28,961.61,948.86,950.2,125.34
4,02-07-2021,949.77,966.03,947.93,964.28,140.87
5,05-07-2021,967.64,975.38,965.39,973.86,117.02
6,06-07-2021,971.49,973.28,960.28,962.36,100.7
7,07-07-2021,963.7,963.7,950.22,955.68,104.55
8,08-07-2021,958.8,958.8,942.52,947.78,111.85
9,09-07-2021,945.69,947.37,935.77,938.08,90.38
10,12-07-2021,941.96,951.81,939.58,943.93,85.85
11,13-07-2021,951.13,952.51,945.72,950.99,67.17
12,14-07-2021,951.29,954.23,942.64,944.79,85.33
13,15-07-2021,948.86,948.86,941.39,943.13,94.48
14,16-07-2021,945.58,957.81,945.51,956.74,88.28
15,19-07-2021,951.13,962.0,947.62,950.65,83.54
16,20-07-2021,950.9,954.75,943.88,948.32,67.41
17,22-07-2021,959.73,961.95,950.29,960.5,79.72
18,23-07-2021,966.73,966.73,952.06,953.71,99.37
19,26-07-2021,954.75,960.64,938.04,940.64,123.9
20,27-07-2021,940.62,943.75,924.86,930.75,108.25
21,28-07-2021,932.11,932.11,913.2,922.75,128.98
22,29-07-2021,930.29,939.53,925.49,929.95,137.66
23,30-07-2021,932.11,936.61,919.92,921.82,113.51
24,02-08-2021,930.43,941.8,924.47,938.67,109.25
25,03-08-2021,946.6,947.05,934.91,945.58,118.17
26,04-08-2021,948.59,957.47,945.24,952.83,131.7
27,05-08-2021,957.6,975.95,953.05,966.64,212.52
28,06-08-2021,964.69,972.39,941.5,946.17,166.21
29,09-08-2021,942.52,946.51,935.95,940.78,74.94
30,10-08-2021,942.98,957.02,939.24,945.72,119.19
31,11-08-2021,949.75,960.19,943.61,958.96,91.85
32,12-08-2021,962.41,962.99,953.39,955.88,81.38
33,13-08-2021,958.96,973.73,955.18,971.8,127.81
34,16-08-2021,973.48,997.78,963.88,984.42,219.35
35,17-08-2021,982.31,989.72,972.8,980.23,126.58
36,18-08-2021,984.64,990.44,974.95,984.03,100.76
37,20-08-2021,970.6,983.74,967.89,972.98,94.26
