S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,386.94,388.68,382.64,383.46,183.38
2,01-07-2021,384.47,387.58,381.59,384.56,161.61
3,02-07-2021,384.47,389.13,383.28,388.22,164.24
4,05-07-2021,390.14,397.46,388.08,395.77,164.84
5,06-07-2021,394.9,399.29,391.69,393.11,201.95
6,07-07-2021,392.75,397.0,391.1,395.95,144.74
7,08-07-2021,395.9,398.28,386.11,388.26,214.33
8,09-07-2021,388.77,391.05,385.15,387.62,168.44
9,12-07-2021,390.14,393.57,388.4,391.01,128.87
10,13-07-2021,393.34,394.99,391.79,392.52,128.31
11,14-07-2021,392.43,395.45,390.05,394.3,127.67
12,15-07-2021,395.81,396.04,393.02,394.9,110.31
13,16-07-2021,395.17,395.63,391.01,393.34,87.14
14,19-07-2021,387.3,392.84,383.14,391.42,144.27
15,20-07-2021,390.6,390.6,383.19,385.02,146.23
16,22-07-2021,389.27,390.32,385.02,386.07,118.0
17,23-07-2021,386.85,393.3,383.74,392.34,177.05
18,26-07-2021,391.33,391.33,386.3,387.21,140.38
19,27-07-2021,387.99,396.31,387.85,393.3,241.2
20,28-07-2021,393.34,393.8,385.15,389.22,176.37
21,29-07-2021,389.68,405.78,389.22,403.91,352.64
22,30-07-2021,403.86,406.51,393.98,394.99,351.97
23,02-08-2021,397.69,399.47,394.99,397.82,169.26
24,03-08-2021,397.87,409.72,396.63,408.43,409.23
25,04-08-2021,410.4,427.6,403.86,417.99,1297.61
26,05-08-2021,421.7,423.07,401.03,404.18,585.96
27,06-08-2021,405.87,408.89,397.0,398.51,382.36
28,09-08-2021,400.57,404.14,394.26,396.45,221.96
29,10-08-2021,397.37,399.2,385.75,390.09,277.94
30,11-08-2021,393.16,395.99,387.08,391.56,238.28
31,12-08-2021,393.34,393.75,388.77,390.73,168.47
32,13-08-2021,391.15,395.4,388.77,394.44,209.09
33,16-08-2021,393.34,397.0,387.85,388.63,176.09
34,17-08-2021,388.63,389.55,379.85,385.57,229.58
35,18-08-2021,386.16,388.17,382.36,383.92,176.69
36,20-08-2021,379.62,381.77,370.61,372.03,255.42
37,23-08-2021,376.05,377.79,367.04,374.59,265.6
38,24-08-2021,374.59,383.05,373.4,382.0,190.12
39,25-08-2021,383.28,385.38,378.98,380.76,164.11
40,26-08-2021,379.16,380.35,375.05,375.73,158.98
41,27-08-2021,375.37,379.03,372.76,377.29,150.91
42,30-08-2021,379.07,387.21,378.25,386.66,203.09
43,31-08-2021,387.72,390.6,383.0,389.73,262.62
44,01-09-2021,391.05,395.67,388.9,393.25,187.77
45,02-09-2021,394.62,396.54,391.28,393.11,143.73
46,03-09-2021,394.48,397.27,391.69,394.62,142.34
47,06-09-2021,395.17,396.86,393.39,394.3,106.94
48,07-09-2021,394.3,394.9,388.86,392.52,149.29
49,08-09-2021,392.43,398.28,390.92,394.58,228.17
50,09-09-2021,393.57,396.82,393.34,395.45,96.62
51,13-09-2021,393.43,396.82,392.24,395.95,95.68
52,14-09-2021,397.92,399.52,395.4,396.09,99.82
53,15-09-2021,396.09,407.06,394.67,406.01,221.82
54,16-09-2021,406.93,426.36,405.0,424.17,426.37
55,17-09-2021,428.1,431.67,411.96,415.39,415.29
56,20-09-2021,411.09,414.84,398.51,400.16,183.77
57,21-09-2021,402.63,403.72,395.77,401.39,172.8
58,22-09-2021,401.48,405.05,398.92,401.44,143.21
59,23-09-2021,404.68,412.69,404.36,411.45,205.17
60,24-09-2021,412.64,413.37,402.49,403.17,107.31
61,27-09-2021,406.97,412.14,404.55,408.53,117.47
62,28-09-2021,410.9,416.94,402.12,406.97,192.41
63,29-09-2021,404.18,422.89,401.67,420.78,386.36
64,30-09-2021,420.74,425.27,412.92,414.38,265.3
65,01-10-2021,410.26,416.71,405.96,413.15,147.77
66,04-10-2021,415.11,424.81,413.1,423.67,162.47
67,05-10-2021,422.61,429.02,419.59,425.08,164.88
68,06-10-2021,425.36,430.85,414.98,418.22,190.57
69,07-10-2021,422.7,424.44,418.13,418.86,99.85
70,08-10-2021,422.52,424.44,415.52,418.95,165.21
71,11-10-2021,420.78,434.46,419.55,429.25,206.87
72,12-10-2021,429.93,443.1,428.19,441.82,337.64
73,13-10-2021,444.7,444.7,437.25,440.63,176.39
74,14-10-2021,440.91,451.79,440.91,448.78,234.32
75,18-10-2021,451.89,458.29,449.78,455.5,200.84
76,19-10-2021,457.69,461.22,442.05,446.58,206.45
77,20-10-2021,447.13,464.23,441.91,457.28,340.81
78,21-10-2021,461.86,463.32,449.83,460.07,208.08
79,22-10-2021,461.58,465.33,457.37,460.07,240.8
80,25-10-2021,463.32,471.51,455.41,463.32,356.19
