S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,645.37,650.51,641.75,642.89,37.69
2,01-07-2021,642.47,652.74,641.23,651.17,41.03
3,02-07-2021,652.46,656.27,645.61,648.41,50.72
4,05-07-2021,651.03,651.94,645.89,647.41,16.01
5,06-07-2021,645.32,650.08,639.99,640.8,26.82
6,07-07-2021,635.8,649.13,633.99,647.32,25.77
7,08-07-2021,644.37,648.08,633.04,634.76,25.48
8,09-07-2021,634.38,639.9,632.19,635.71,19.94
9,12-07-2021,636.37,640.42,634.28,636.33,15.55
10,13-07-2021,637.99,656.12,636.75,650.08,77.44
11,14-07-2021,649.08,659.03,648.18,652.89,26.63
12,15-07-2021,652.94,655.03,648.46,650.08,19.05
13,16-07-2021,651.89,662.12,649.75,655.41,34.79
14,19-07-2021,645.37,658.17,645.37,656.03,19.41
15,20-07-2021,655.79,658.27,641.42,643.85,27.25
16,22-07-2021,647.22,655.03,642.99,654.17,20.48
17,23-07-2021,653.13,665.26,648.75,660.55,39.56
18,26-07-2021,661.69,671.02,661.69,669.5,47.15
19,27-07-2021,671.02,671.69,641.37,655.12,53.27
20,28-07-2021,655.12,658.6,640.13,654.65,33.33
21,29-07-2021,654.65,671.92,647.89,669.12,43.97
22,30-07-2021,669.07,745.97,662.6,736.65,358.94
23,02-08-2021,747.16,763.25,727.27,737.65,186.61
24,03-08-2021,736.65,765.58,728.37,756.49,146.78
25,04-08-2021,752.87,759.44,742.12,747.88,57.96
26,05-08-2021,747.64,756.11,745.55,748.26,50.27
27,06-08-2021,748.59,758.06,743.88,747.35,40.64
28,09-08-2021,751.11,754.78,744.31,750.78,28.74
29,10-08-2021,751.87,760.3,744.5,755.11,56.56
30,11-08-2021,755.73,756.68,736.03,741.98,42.76
31,12-08-2021,742.4,743.59,735.88,741.12,28.21
32,13-08-2021,731.93,750.49,730.65,740.79,43.2
33,16-08-2021,737.84,745.26,733.89,743.17,23.1
34,17-08-2021,745.26,754.97,740.69,746.35,56.86
35,18-08-2021,750.02,753.25,741.74,745.16,40.36
36,20-08-2021,737.65,746.64,707.52,724.46,62.38
37,23-08-2021,730.05,734.82,716.49,724.65,23.75
38,24-08-2021,725.08,742.4,719.79,736.11,27.33
39,25-08-2021,734.82,740.54,724.89,733.91,22.55
40,26-08-2021,730.19,735.87,724.56,725.8,17.36
41,27-08-2021,725.99,741.5,723.46,736.53,24.33
42,30-08-2021,733.86,758.63,733.05,751.23,36.17
43,31-08-2021,751.47,764.4,747.89,757.77,74.35
44,01-09-2021,758.72,767.17,751.04,752.47,28.12
45,02-09-2021,754.19,759.3,752.28,753.86,26.8
46,03-09-2021,756.77,760.77,748.18,753.33,28.61
47,06-09-2021,753.33,756.86,744.12,748.42,46.13
48,07-09-2021,746.27,747.22,731.57,734.72,38.52
49,08-09-2021,732.24,743.36,728.66,741.93,25.49
50,09-09-2021,736.92,746.51,736.2,740.83,20.08
51,13-09-2021,740.83,747.22,736.39,744.65,19.36
52,14-09-2021,748.85,751.99,741.78,745.7,19.97
53,15-09-2021,748.85,749.85,743.22,744.98,13.94
54,16-09-2021,744.36,748.7,742.74,745.36,13.54
55,17-09-2021,749.13,751.9,731.62,734.72,40.53
56,20-09-2021,731.67,739.35,717.26,721.93,22.06
57,21-09-2021,721.93,731.33,716.73,729.57,21.24
58,22-09-2021,730.05,738.63,729.57,734.91,18.18
59,23-09-2021,735.87,741.69,731.1,734.67,21.1
60,24-09-2021,733.86,741.16,727.18,735.25,17.78
61,27-09-2021,736.2,739.11,725.37,728.18,28.63
62,28-09-2021,731.67,754.86,720.45,739.68,49.39
63,29-09-2021,748.18,782.29,736.11,774.23,185.65
64,30-09-2021,777.57,794.89,769.74,780.86,104.79
65,01-10-2021,774.9,792.74,768.5,788.83,57.3
66,04-10-2021,792.08,800.57,788.69,793.98,40.07
67,05-10-2021,790.17,796.27,777.71,783.01,29.87
68,06-10-2021,782.96,786.35,760.87,764.02,29.1
69,07-10-2021,771.13,788.59,767.36,785.63,40.89
70,08-10-2021,787.4,795.7,781.2,783.87,27.54
71,11-10-2021,788.26,797.99,780.43,794.51,29.89
72,12-10-2021,795.42,804.24,786.06,791.79,24.07
73,13-10-2021,790.12,808.11,789.45,804.05,41.13
74,14-10-2021,805.34,811.16,799.95,802.86,23.0
