S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,438.81,442.76,438.03,440.7,15.02
2,04-01-2021,445.24,453.96,442.9,449.24,32.07
3,05-01-2021,448.09,450.52,442.99,446.76,17.25
4,06-01-2021,447.17,463.33,442.3,450.89,75.9
5,07-01-2021,453.6,464.16,452.31,457.68,66.08
6,08-01-2021,463.61,467.37,455.66,459.11,41.56
7,11-01-2021,462.18,463.47,450.89,459.38,27.84
8,12-01-2021,459.11,491.24,455.94,480.23,159.35
9,13-01-2021,485.64,506.62,484.82,497.63,166.62
10,14-01-2021,503.18,508.69,490.42,492.12,57.34
11,15-01-2021,495.65,495.79,478.57,490.23,67.62
12,18-01-2021,490.23,491.34,462.55,468.7,56.26
13,19-01-2021,474.07,488.21,470.49,485.6,54.81
14,20-01-2021,486.47,498.59,483.16,492.16,60.82
15,21-01-2021,492.8,502.22,480.82,485.37,63.5
16,22-01-2021,488.31,493.26,474.72,476.83,35.89
17,25-01-2021,481.88,482.61,462.64,465.63,41.17
18,27-01-2021,466.41,472.79,449.19,452.54,54.31
19,28-01-2021,443.36,454.88,441.66,449.69,38.61
20,29-01-2021,462.78,463.38,433.03,436.43,56.01
21,01-02-2021,442.12,456.03,427.89,453.64,43.58
22,02-02-2021,458.65,480.59,457.13,477.1,49.1
23,03-02-2021,480.18,484.82,471.73,475.27,35.59
24,04-02-2021,475.27,491.24,471.04,486.38,43.76
25,05-02-2021,488.49,490.88,476.55,482.06,25.96
26,08-02-2021,486.47,495.83,482.93,491.93,27.8
27,09-02-2021,494.46,538.76,490.83,525.17,193.09
28,10-02-2021,530.45,530.54,507.4,515.16,78.25
29,11-02-2021,515.12,533.48,512.45,517.05,75.91
30,12-02-2021,519.71,522.83,508.92,515.07,29.89
31,15-02-2021,518.79,536.24,510.25,522.14,61.38
32,16-02-2021,525.22,541.65,522.33,535.96,91.04
33,17-02-2021,536.24,545.88,528.48,532.88,60.47
34,18-02-2021,538.07,550.33,534.58,542.76,78.11
35,19-02-2021,542.57,577.23,538.07,568.01,223.74
36,22-02-2021,574.8,590.41,565.62,585.04,160.21
37,23-02-2021,591.24,605.56,585.09,600.51,136.31
38,24-02-2021,605.1,621.63,595.46,617.31,63.77
39,25-02-2021,624.38,677.64,620.48,672.68,247.69
40,26-02-2021,670.3,695.55,654.23,679.02,274.65
41,01-03-2021,688.66,693.25,671.9,682.65,87.08
42,02-03-2021,684.07,684.99,663.96,673.65,78.04
43,03-03-2021,677.64,718.04,675.3,712.95,127.32
44,04-03-2021,702.34,727.27,697.61,709.14,101.05
45,05-03-2021,711.43,715.61,677.64,687.33,70.06
46,08-03-2021,698.76,713.45,691.46,705.65,71.24
47,09-03-2021,711.61,712.44,690.04,700.41,39.61
48,10-03-2021,706.56,710.88,700.6,704.27,28.69
49,12-03-2021,710.7,729.98,707.02,719.74,89.22
50,15-03-2021,725.39,729.43,702.71,718.27,56.71
51,16-03-2021,722.54,722.54,707.57,713.64,41.18
