S.No,Date,Open,High,Low,Close,Volume
1,01-01-2021,565.7,578.87,563.8,573.81,36.07
2,04-01-2021,579.01,579.01,570.0,576.2,21.21
3,05-01-2021,576.2,586.02,573.43,581.49,38.13
4,06-01-2021,584.78,585.55,567.99,577.1,21.68
5,07-01-2021,581.64,582.21,571.0,573.19,21.96
6,08-01-2021,578.87,584.31,574.86,581.49,34.59
7,11-01-2021,584.78,603.67,581.45,600.05,63.61
8,12-01-2021,603.48,605.68,591.46,595.56,45.63
9,13-01-2021,597.95,603.86,583.16,591.84,36.6
10,14-01-2021,594.23,594.32,580.63,585.74,35.76
11,15-01-2021,581.92,585.26,567.61,574.67,44.93
12,18-01-2021,573.81,573.81,554.26,557.83,33.47
13,19-01-2021,562.84,563.8,550.78,555.88,57.44
14,20-01-2021,560.94,574.96,556.74,569.19,61.57
15,21-01-2021,575.63,584.55,562.89,567.85,45.06
16,22-01-2021,571.62,578.97,555.78,557.83,43.07
17,25-01-2021,560.74,562.7,543.76,547.2,20.17
18,27-01-2021,546.63,561.46,540.47,546.29,36.62
19,28-01-2021,545.58,549.49,535.65,538.61,47.69
20,29-01-2021,547.58,547.58,528.74,534.03,35.93
21,01-02-2021,537.09,561.65,528.83,557.26,47.08
22,02-02-2021,562.84,568.95,541.04,548.87,57.13
23,03-02-2021,561.89,570.47,544.72,553.45,106.0
24,04-02-2021,558.07,562.84,550.97,560.98,38.16
25,05-02-2021,566.56,572.38,562.08,565.23,59.18
26,08-02-2021,567.61,576.96,567.52,569.62,39.71
27,09-02-2021,569.52,579.54,567.18,571.14,30.72
28,10-02-2021,573.1,578.06,569.81,573.1,24.36
29,11-02-2021,575.53,593.37,570.81,582.26,70.34
30,12-02-2021,587.84,587.84,575.72,579.54,36.22
31,15-02-2021,580.01,596.71,579.44,594.42,32.35
32,16-02-2021,600.91,605.72,589.12,599.43,64.19
33,17-02-2021,606.73,615.98,595.52,603.05,85.57
34,18-02-2021,608.11,613.79,592.56,595.28,44.57
35,19-02-2021,595.28,597.28,582.35,588.55,30.13
36,22-02-2021,590.51,594.85,583.83,589.84,30.2
37,23-02-2021,591.37,605.77,587.65,598.62,42.22
38,24-02-2021,623.9,623.9,586.69,597.14,104.8
39,25-02-2021,599.95,609.73,595.61,599.57,49.77
40,26-02-2021,596.23,597.09,576.68,581.11,55.47
41,01-03-2021,586.6,599.57,581.16,595.8,25.3
42,02-03-2021,599.57,606.73,593.37,603.24,30.51
43,03-03-2021,605.77,618.17,603.86,607.58,36.02
44,04-03-2021,605.68,614.21,599.86,602.05,26.21
45,05-03-2021,604.53,613.88,589.55,593.99,28.4
46,08-03-2021,598.04,599.28,586.69,587.69,19.4
47,09-03-2021,590.32,592.32,574.29,583.54,30.65
48,10-03-2021,588.41,594.94,586.69,592.37,27.78
49,12-03-2021,594.32,596.04,585.17,586.93,18.85
50,15-03-2021,588.7,590.32,574.67,579.68,27.66
51,16-03-2021,583.4,589.55,580.49,582.54,24.81
52,17-03-2021,583.83,584.21,572.48,575.58,22.63
53,18-03-2021,578.11,580.21,559.98,567.52,33.87
54,19-03-2021,562.84,579.68,550.49,572.62,48.74
55,22-03-2021,575.24,594.37,568.81,591.99,31.54
56,23-03-2021,592.42,610.54,591.99,604.91,49.41
57,24-03-2021,603.67,609.73,595.9,600.14,29.38
58,25-03-2021,604.82,605.01,582.88,586.55,29.81
59,26-03-2021,591.46,605.72,586.79,599.38,35.57
60,30-03-2021,601.81,608.25,589.12,599.95,198.95
61,31-03-2021,601.0,615.98,601.0,609.49,44.24
62,01-04-2021,611.5,622.9,611.16,620.22,38.44
63,05-04-2021,621.94,621.94,609.78,615.26,35.69
64,06-04-2021,615.5,647.75,608.73,643.5,76.37
65,07-04-2021,643.88,643.88,628.81,635.11,38.98
66,08-04-2021,636.35,646.03,636.11,639.83,24.78
67,09-04-2021,639.16,653.47,634.39,648.51,25.67
68,12-04-2021,643.93,644.5,620.08,625.42,42.01
69,13-04-2021,626.76,646.7,625.81,633.39,30.65
70,15-04-2021,632.29,642.98,617.36,628.95,31.94
71,16-04-2021,632.29,645.41,629.91,640.4,27.08
72,19-04-2021,631.53,638.02,621.51,633.53,26.2
73,20-04-2021,646.17,665.87,635.63,648.8,82.3
74,22-04-2021,649.37,649.37,632.48,634.87,30.13
75,23-04-2021,636.3,644.6,630.57,634.01,23.29
76,26-04-2021,636.3,643.93,631.58,639.35,18.45
77,27-04-2021,643.88,648.6,637.35,642.69,22.59
78,28-04-2021,645.84,661.1,643.93,645.98,39.01
79,29-04-2021,647.13,649.13,635.34,640.93,32.47
80,30-04-2021,640.11,646.79,634.44,638.68,22.06
81,03-05-2021,631.39,651.09,630.57,645.93,19.86
82,04-05-2021,649.65,654.71,612.02,615.55,74.01
83,05-05-2021,619.13,625.8,610.59,619.17,33.32
84,06-05-2021,621.99,624.8,608.78,623.04,40.0
85,07-05-2021,606.73,612.45,585.74,600.05,145.99
86,10-05-2021,598.14,607.63,592.42,604.01,50.27
87,11-05-2021,599.09,619.99,596.23,612.07,46.19
