S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,119.29,119.77,117.64,118.03,301.0
2,01-07-2021,118.71,118.71,116.97,117.3,185.71
3,02-07-2021,117.93,118.51,116.58,116.92,227.9
4,05-07-2021,117.88,122.67,117.69,121.7,616.07
5,06-07-2021,121.8,122.28,117.98,118.9,310.63
6,07-07-2021,118.9,120.35,118.08,119.72,197.73
7,08-07-2021,119.96,122.62,118.32,119.29,338.7
8,09-07-2021,118.9,120.64,117.64,120.3,240.78
9,12-07-2021,121.8,122.09,119.33,119.67,267.31
10,13-07-2021,120.06,121.07,118.85,119.91,193.17
11,14-07-2021,120.83,121.8,119.96,120.4,232.76
12,15-07-2021,120.69,122.28,120.01,120.3,225.23
13,16-07-2021,121.22,121.22,119.53,120.01,134.8
14,19-07-2021,122.04,124.17,120.45,121.61,656.14
15,20-07-2021,121.46,122.14,117.16,117.74,488.22
16,22-07-2021,119.29,120.06,118.32,119.58,208.91
17,23-07-2021,120.74,121.27,118.51,118.8,183.44
18,26-07-2021,118.9,119.62,118.03,118.51,148.39
19,27-07-2021,118.71,119.62,116.19,117.11,162.93
20,28-07-2021,117.4,117.79,114.45,116.34,194.51
21,29-07-2021,116.72,119.87,116.68,118.66,163.66
22,30-07-2021,118.51,122.43,118.22,120.83,301.63
23,02-08-2021,122.33,129.53,121.36,129.0,1023.56
24,03-08-2021,129.92,130.98,127.79,128.18,504.58
25,04-08-2021,128.57,130.16,125.76,127.26,337.58
26,05-08-2021,127.74,130.89,125.28,130.06,399.52
27,06-08-2021,130.74,132.24,129.82,130.64,477.43
28,09-08-2021,132.43,132.43,125.96,127.65,668.75
29,10-08-2021,128.03,129.29,122.81,125.71,315.26
30,11-08-2021,125.96,127.26,122.28,125.28,322.23
31,12-08-2021,125.91,129.73,125.52,129.19,318.99
32,13-08-2021,129.87,130.02,127.6,128.13,237.15
33,16-08-2021,128.13,129.58,127.26,127.7,174.73
34,17-08-2021,127.7,128.52,124.22,126.73,217.55
35,18-08-2021,127.31,127.41,125.76,126.1,180.82
36,20-08-2021,124.7,125.86,121.07,121.99,274.02
37,23-08-2021,122.86,123.59,117.64,120.78,304.35
38,24-08-2021,120.83,122.38,119.53,121.7,228.1
39,25-08-2021,122.19,123.25,121.32,121.85,181.44
40,26-08-2021,122.23,122.38,120.4,121.46,169.68
41,27-08-2021,121.46,123.35,121.03,123.01,127.08
42,30-08-2021,124.12,125.76,123.73,124.84,175.46
43,31-08-2021,125.96,126.34,123.97,124.75,243.01
44,01-09-2021,125.38,129.77,124.41,128.95,311.66
45,02-09-2021,129.39,130.31,128.18,129.15,252.77
46,03-09-2021,129.58,130.93,128.81,129.39,190.01
47,06-09-2021,129.92,130.11,127.6,127.79,143.05
48,07-09-2021,127.99,128.13,124.94,125.71,145.61
49,08-09-2021,126.25,129.05,125.18,128.81,163.52
50,09-09-2021,128.76,129.82,127.36,128.32,144.54
51,13-09-2021,128.32,128.32,126.05,126.68,137.72
52,14-09-2021,127.12,128.86,126.92,128.57,133.06
53,15-09-2021,128.66,137.56,128.37,135.38,689.17
54,16-09-2021,135.33,137.27,133.88,135.57,244.91
55,17-09-2021,136.15,136.78,131.56,133.3,275.61
56,20-09-2021,133.01,134.7,128.76,129.82,215.35
57,21-09-2021,130.26,131.76,126.83,131.32,225.26
58,22-09-2021,132.38,134.99,131.85,133.25,213.22
59,23-09-2021,134.56,140.07,134.12,138.86,428.9
60,24-09-2021,140.17,140.5,134.08,134.46,290.41
61,27-09-2021,135.62,135.72,132.19,134.12,181.92
62,28-09-2021,135.33,138.09,134.41,135.38,291.97
63,29-09-2021,135.14,153.46,134.27,146.55,1267.47
64,30-09-2021,147.42,155.83,146.26,153.46,1113.02
65,01-10-2021,153.46,159.45,151.38,158.29,903.11
66,04-10-2021,160.71,166.75,158.53,162.98,937.88
67,05-10-2021,163.37,178.59,162.74,173.42,1611.89
68,06-10-2021,176.75,176.75,167.04,170.08,1012.33
