S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,101.85,102.71,100.28,100.6,804.33
2,01-07-2021,101.06,101.48,99.73,100.34,561.49
3,02-07-2021,100.55,100.62,97.46,97.96,757.34
4,05-07-2021,98.83,100.19,97.96,99.76,767.99
5,06-07-2021,99.92,101.59,99.19,100.66,914.68
6,07-07-2021,100.72,105.64,99.9,105.09,1674.56
7,08-07-2021,105.64,106.07,101.86,102.6,1241.06
8,09-07-2021,102.79,107.29,102.45,106.88,1785.94
9,12-07-2021,107.88,108.53,105.07,105.81,1664.78
10,13-07-2021,106.76,107.23,105.48,105.96,791.55
11,14-07-2021,106.24,107.6,105.12,107.34,834.14
12,15-07-2021,107.46,109.16,106.73,108.31,965.56
13,16-07-2021,109.06,110.49,108.58,110.25,849.69
14,19-07-2021,108.57,111.32,108.11,109.21,890.46
15,20-07-2021,109.69,109.72,105.64,106.36,857.99
16,22-07-2021,107.71,110.21,107.62,109.78,789.4
17,23-07-2021,110.33,111.72,109.86,110.5,864.19
18,26-07-2021,111.16,112.82,110.21,111.93,867.84
19,27-07-2021,113.4,115.08,112.8,114.75,1034.14
20,28-07-2021,114.87,118.14,112.64,117.71,1283.51
21,29-07-2021,118.57,127.78,117.97,125.78,3006.1
22,30-07-2021,125.53,127.0,123.13,123.69,1404.93
23,02-08-2021,124.7,124.78,121.2,121.6,976.89
24,03-08-2021,121.94,122.53,119.9,121.35,864.06
25,04-08-2021,122.45,124.87,121.17,122.13,1128.94
26,05-08-2021,122.05,125.04,119.65,124.75,1622.18
27,06-08-2021,124.96,125.65,122.97,123.22,967.4
28,09-08-2021,123.66,124.46,121.2,121.78,785.95
29,10-08-2021,121.76,122.28,117.9,118.45,845.16
30,11-08-2021,119.87,123.29,119.37,122.99,1453.54
31,12-08-2021,123.83,124.58,122.16,123.78,1094.31
32,13-08-2021,121.16,127.34,119.92,126.05,2896.99
33,16-08-2021,127.97,132.33,126.96,131.03,2711.45
34,17-08-2021,131.03,132.29,128.64,129.67,1897.09
35,18-08-2021,130.17,130.98,128.34,129.39,1233.17
36,20-08-2021,124.62,124.78,117.52,118.63,2734.01
37,23-08-2021,120.9,121.58,113.03,117.16,2292.57
38,24-08-2021,119.18,122.45,118.75,121.13,1760.76
39,25-08-2021,122.28,122.97,119.07,119.89,1256.5
40,26-08-2021,119.9,120.28,117.71,118.58,915.79
41,27-08-2021,118.92,120.25,118.65,119.36,739.41
42,30-08-2021,120.64,124.61,120.56,124.23,1344.44
43,31-08-2021,124.61,125.82,123.49,125.06,2475.21
44,01-09-2021,125.15,125.52,121.33,121.7,881.29
45,02-09-2021,121.68,123.49,121.59,122.89,614.8
46,03-09-2021,123.14,125.3,122.15,124.49,845.24
47,06-09-2021,124.78,125.21,122.73,123.92,695.87
48,07-09-2021,124.52,125.82,122.51,123.21,635.27
49,08-09-2021,122.97,124.41,122.33,123.3,467.62
50,09-09-2021,122.45,125.21,122.45,124.78,531.3
51,13-09-2021,124.78,126.94,123.88,126.2,567.02
52,14-09-2021,127.28,127.28,124.96,125.24,550.38
53,15-09-2021,125.24,126.22,124.56,125.48,441.75
54,16-09-2021,125.9,126.93,123.43,123.9,560.68
55,17-09-2021,123.92,124.21,117.28,119.51,1957.2
56,20-09-2021,116.42,116.58,107.57,108.06,2823.84
57,21-09-2021,108.48,111.84,106.32,111.43,2559.35
58,22-09-2021,112.05,113.66,110.65,112.61,1112.42
59,23-09-2021,114.69,115.51,112.63,113.72,994.63
60,24-09-2021,113.83,114.18,108.52,109.7,1328.66
61,27-09-2021,109.69,111.13,108.75,109.56,866.89
62,28-09-2021,109.82,111.83,108.92,110.46,810.07
63,29-09-2021,109.52,112.95,109.28,111.72,949.46
64,30-09-2021,112.37,113.52,110.71,111.15,751.46
65,01-10-2021,109.95,113.06,109.09,111.92,903.75
66,04-10-2021,111.92,114.5,110.42,114.19,969.02
67,05-10-2021,113.31,114.93,112.98,113.56,579.52
68,06-10-2021,113.82,114.57,109.79,110.37,863.17
69,07-10-2021,111.68,112.69,110.69,111.18,460.34
70,08-10-2021,112.28,115.91,111.79,112.21,1072.2
71,11-10-2021,112.54,114.47,111.93,113.24,634.97
72,12-10-2021,113.24,115.12,112.54,114.62,609.7
73,13-10-2021,114.31,118.71,113.66,116.79,1328.57
74,14-10-2021,118.49,119.92,116.76,118.58,822.74
75,18-10-2021,122.28,122.86,119.96,121.68,1092.32
76,19-10-2021,122.54,123.02,117.07,117.88,875.69
77,20-10-2021,118.32,118.66,114.4,115.84,697.58
78,21-10-2021,117.0,117.1,111.22,113.37,835.76
79,22-10-2021,113.83,114.23,109.61,111.78,807.13
80,25-10-2021,112.28,113.49,109.28,111.53,641.85
81,26-10-2021,112.37,116.5,112.23,115.87,772.29
82,27-10-2021,116.07,116.56,113.94,114.36,724.18
83,28-10-2021,113.39,113.48,111.34,112.07,930.77
84,29-10-2021,111.27,115.01,111.24,113.48,791.48
85,01-11-2021,115.56,118.39,114.69,117.7,968.75
86,02-11-2021,118.14,118.14,113.04,113.28,721.61
87,03-11-2021,114.25,114.87,113.14,114.35,573.02
88,04-11-2021,114.78,115.12,114.18,114.34,67.44
89,08-11-2021,115.63,116.22,112.63,115.84,549.37
90,09-11-2021,115.8,117.31,114.59,115.21,475.65
91,10-11-2021,114.52,114.61,110.99,111.98,1188.04
92,11-11-2021,112.53,114.22,111.1,112.07,1366.39
93,12-11-2021,115.56,115.56,109.61,111.01,2323.96
94,15-11-2021,111.68,112.02,107.06,107.4,1210.82
95,16-11-2021,107.4,108.75,105.53,105.97,1231.49
96,17-11-2021,105.64,106.71,104.79,105.21,878.02
97,18-11-2021,105.52,105.92,101.93,102.33,1010.84
98,22-11-2021,102.46,103.21,98.83,100.47,962.1
99,23-11-2021,100.73,104.26,100.48,102.8,938.3
100,24-11-2021,103.52,103.74,101.0,101.63,676.71
101,25-11-2021,101.76,102.33,100.55,101.21,475.03
102,26-11-2021,99.85,99.99,95.4,95.92,1064.55
103,29-11-2021,95.92,98.05,92.71,96.13,939.3
104,30-11-2021,95.8,97.27,91.67,92.38,1335.6
105,01-12-2021,94.17,94.6,91.97,93.35,937.91
106,02-12-2021,93.39,96.24,92.62,95.93,912.87
107,03-12-2021,96.15,97.81,95.05,96.41,1007.38
108,06-12-2021,96.07,98.4,95.05,95.62,821.59
109,07-12-2021,96.68,99.65,96.67,99.07,850.54
110,08-12-2021,99.95,101.5,99.08,101.15,744.85
111,09-12-2021,101.93,101.93,99.95,101.49,521.24
112,10-12-2021,101.19,102.53,100.69,101.76,481.21
113,13-12-2021,102.45,103.4,100.18,100.49,535.38
114,14-12-2021,99.94,101.58,98.91,100.65,535.23
115,15-12-2021,100.9,101.38,99.08,99.52,443.08
116,16-12-2021,100.38,100.79,98.61,99.45,424.6
117,17-12-2021,99.52,99.93,97.02,97.63,474.35
118,20-12-2021,96.33,96.34,91.93,92.53,735.26
119,21-12-2021,94.0,96.95,93.57,95.3,702.68
120,22-12-2021,96.15,97.53,95.72,97.35,436.69
121,23-12-2021,98.14,98.9,96.6,97.24,462.15
122,24-12-2021,97.45,97.74,95.19,96.19,409.36
123,27-12-2021,95.81,96.99,95.06,96.74,275.89
124,28-12-2021,97.19,97.58,96.76,97.23,288.08
125,29-12-2021,96.58,97.16,95.55,96.26,419.35
