S.No,Date,Open,High,Low,Close,Volume
1,30-06-2021,603.66,608.35,598.82,606.59,15.15
2,01-07-2021,610.99,622.72,606.98,610.3,35.33
3,02-07-2021,611.43,614.66,594.57,598.28,23.01
4,05-07-2021,604.05,604.05,595.45,597.65,17.12
5,06-07-2021,598.28,605.12,593.39,594.61,11.07
6,07-07-2021,598.28,598.28,588.16,590.8,12.1
7,08-07-2021,589.48,597.5,582.64,585.47,12.49
8,09-07-2021,588.26,588.41,579.95,586.26,15.69
9,12-07-2021,589.43,594.27,585.28,587.18,13.47
10,13-07-2021,591.05,597.3,586.21,596.33,20.05
11,14-07-2021,598.28,600.19,592.42,599.36,12.53
12,15-07-2021,603.12,603.12,592.9,595.64,11.16
13,16-07-2021,597.74,601.6,593.69,597.94,12.18
14,19-07-2021,596.13,596.13,579.71,587.92,23.17
15,20-07-2021,589.97,589.97,568.86,569.98,17.3
16,22-07-2021,568.95,575.85,564.75,568.27,22.65
17,23-07-2021,570.42,571.64,561.62,569.3,14.48
18,26-07-2021,572.47,575.31,568.27,571.74,7.29
19,27-07-2021,572.86,582.54,566.66,568.02,12.8
20,28-07-2021,570.91,570.91,559.18,562.75,10.05
21,29-07-2021,564.6,568.46,545.78,549.25,22.37
22,30-07-2021,551.41,591.44,551.41,566.31,98.83
23,02-08-2021,571.89,573.69,557.42,559.37,21.39
24,03-08-2021,561.13,561.13,553.61,558.98,17.98
25,04-08-2021,562.11,566.9,553.9,555.95,12.26
26,05-08-2021,559.37,559.42,551.36,554.83,4.9
27,06-08-2021,556.78,565.92,554.97,557.17,16.09
28,09-08-2021,558.2,562.31,549.65,553.17,6.75
29,10-08-2021,554.29,558.2,539.14,543.34,13.11
30,11-08-2021,545.1,549.89,531.85,548.28,17.38
31,12-08-2021,548.42,552.68,538.75,539.63,10.67
32,13-08-2021,541.58,544.42,535.23,540.95,18.98
33,16-08-2021,535.23,540.46,492.21,526.18,31.97
34,17-08-2021,528.14,529.56,511.86,517.92,16.87
35,18-08-2021,517.14,518.27,509.32,513.23,22.66
36,20-08-2021,511.28,512.74,497.59,499.06,15.91
37,23-08-2021,502.67,503.7,488.79,490.06,13.43
38,24-08-2021,491.72,498.71,483.9,496.66,17.16
39,25-08-2021,496.66,512.6,496.66,507.61,28.07
40,26-08-2021,509.52,511.03,495.15,497.79,11.88
41,27-08-2021,499.15,501.99,495.05,499.64,11.62
42,30-08-2021,501.5,511.52,493.73,508.15,19.87
43,31-08-2021,524.96,524.96,506.58,513.38,43.09
44,01-09-2021,517.14,521.93,511.37,517.97,16.2
45,02-09-2021,521.05,521.83,513.48,518.27,11.43
46,03-09-2021,518.9,533.52,517.63,528.29,22.66
47,06-09-2021,533.37,537.52,527.45,534.2,14.6
48,07-09-2021,535.72,545.69,529.46,541.39,19.31
49,08-09-2021,546.47,546.47,531.8,534.35,19.41
50,09-09-2021,532.59,535.81,526.53,532.54,14.21
51,13-09-2021,526.53,534.44,526.53,533.42,7.74
52,14-09-2021,534.25,538.55,532.1,537.62,12.74
53,15-09-2021,537.67,542.31,533.08,536.06,8.66
54,16-09-2021,537.67,541.58,531.51,532.49,11.6
55,17-09-2021,536.69,548.38,529.36,534.84,30.39
56,20-09-2021,532.59,537.43,523.15,533.17,13.63
57,21-09-2021,533.17,535.37,508.34,521.2,21.19
58,22-09-2021,523.1,528.87,519.1,527.99,7.9
59,23-09-2021,530.83,532.68,525.35,527.6,10.58
60,24-09-2021,529.56,531.36,521.1,525.16,13.74
61,27-09-2021,527.41,544.51,525.94,542.75,23.27
62,28-09-2021,547.5,549.35,531.85,543.14,15.55
63,29-09-2021,537.87,544.86,530.88,538.4,9.67
64,30-09-2021,537.67,546.22,535.91,537.13,13.39
65,01-10-2021,538.55,556.98,532.73,551.31,35.19
66,04-10-2021,561.13,562.11,545.2,547.94,28.43
67,05-10-2021,546.47,556.24,541.92,549.4,19.11
68,06-10-2021,552.82,553.31,527.94,531.8,20.25
69,07-10-2021,535.52,550.57,532.0,545.25,28.73
70,08-10-2021,555.27,556.0,542.61,547.2,17.81
71,11-10-2021,548.42,554.19,543.93,546.52,16.8
72,12-10-2021,546.47,567.0,546.03,560.99,44.45
73,13-10-2021,566.07,573.45,561.13,564.26,15.88
74,14-10-2021,566.07,575.5,558.25,570.71,24.13
75,18-10-2021,570.71,577.65,561.03,572.77,20.22
76,19-10-2021,578.73,585.38,564.26,570.18,23.98
77,20-10-2021,567.98,577.56,558.05,566.31,10.95
78,21-10-2021,569.83,575.06,553.31,564.11,14.29
79,22-10-2021,600.24,618.66,585.52,605.91,184.56
80,25-10-2021,605.12,606.1,578.78,586.06,28.76
81,26-10-2021,590.26,615.24,586.55,611.87,25.26
82,27-10-2021,613.73,614.7,606.79,611.82,13.8
83,28-10-2021,610.79,641.78,608.35,637.34,74.08
84,29-10-2021,638.36,666.42,623.94,647.7,60.7
85,01-11-2021,647.7,663.49,640.41,656.25,33.96
86,02-11-2021,661.87,690.96,661.82,682.35,69.21
87,03-11-2021,684.31,698.97,680.35,690.71,36.62
88,04-11-2021,696.04,697.9,689.2,692.86,2.74
89,08-11-2021,693.11,703.37,689.78,696.28,15.32
90,09-11-2021,738.07,795.7,710.41,715.05,258.44
91,10-11-2021,715.05,739.88,705.47,736.61,36.83
92,11-11-2021,734.16,748.63,726.39,730.3,33.44
93,12-11-2021,735.14,735.14,702.69,712.71,40.94
94,15-11-2021,716.08,727.32,714.47,719.65,21.39
95,16-11-2021,723.41,733.92,716.96,721.55,24.2
96,17-11-2021,721.46,732.45,719.75,723.12,17.55
97,18-11-2021,724.39,725.37,703.37,707.62,18.34
98,22-11-2021,707.62,714.86,689.2,693.94,17.15
99,23-11-2021,680.54,703.86,680.54,696.77,16.43
100,24-11-2021,717.25,717.25,684.6,686.41,29.66
101,25-11-2021,686.26,697.02,683.67,685.77,20.2
102,26-11-2021,684.11,684.21,659.87,661.63,13.24
103,29-11-2021,659.18,678.98,639.34,668.96,16.88
104,30-11-2021,669.64,679.18,659.04,671.11,65.21
105,01-12-2021,674.34,682.35,660.36,663.0,18.03
106,02-12-2021,660.85,667.69,654.25,665.0,10.32
107,03-12-2021,662.8,670.33,654.69,657.23,7.85
108,06-12-2021,656.45,658.5,643.79,646.33,10.68
109,07-12-2021,648.38,661.82,648.38,651.31,6.44
110,08-12-2021,659.33,669.2,648.82,667.25,8.79
111,09-12-2021,669.64,670.57,658.89,669.3,8.72
112,10-12-2021,669.64,675.51,663.34,666.96,10.66
113,13-12-2021,668.67,676.39,658.01,660.16,7.8
